Bulgaria, Total live births
Last modified: 01/12/2022
Year         Total
1947     170161.97
1948     175770.95
1949     177734.02
1950     182571.03
1951     152803.00
1952     154013.97
1953     153219.96
1954     149901.93
1955     150978.00
1956     147909.97
1957     141035.00
1958     138293.94
1959     136891.97
1960     140081.98
1961     137861.01
1962     134148.01
1963     132143.00
1964     130958.00
1965     125791.01
1966     123039.00
1967     124581.99
1968     141460.01
1969     143060.00
1970     138744.97
1971     135422.00
1972     131316.01
1973     139713.00
1974     149196.01
1975     144668.01
1976     144929.01
1977     141701.98
1978     136441.99
1979     135357.98
1980     128190.00
1981     124372.01
1982     124165.96
1983     122992.97
1984     122303.00
1985     118955.00
1986     120078.06
1987     116673.04
1988     117440.00
1989     112288.95
1990     105181.98
1991      95909.97
1992      89134.04
1993      84399.99
1994      79441.99
1995      71967.00
1996      72188.00
1997      64125.00
1998      65361.00
1999      72291.00
2000      73679.02
2001      68179.99
2002      66499.01
2003      67359.03
2004      69885.97
2005      71074.99
2006      73977.99
2007      75348.97
2008      77712.01
2009      80955.96
2010      75512.99
2011      70846.05
2012      69120.96
2013      66577.99
2014      67585.04
2015      65949.98
2016      64983.97
2017      63954.98
2018      62197.04
2019      61538.03
2020      59086.04
2021      58677.99
