Czechia, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 02/02/2023
Year    adjTFR
1951     2.484
1952     2.555
1953     2.438
1954     2.403
1955     2.352
1956     2.274
1957     2.239
1958     2.097
1959     1.994
1960     2.118
1961     2.078
1962     2.100
1963     2.462
1964     2.419
1965     2.087
1966     1.899
1967     1.890
1968     1.860
1969     1.897
1970     2.077
1971     2.072
1972     2.032
1973     2.250
1974     2.310
1975     2.266
1976     2.243
1977     2.199
1978     2.207
1979     2.138
1980     2.054
1981     2.006
1982     1.973
1983     1.978
1984     2.034
1985     2.098
1986     2.076
1987     2.012
1988     2.052
1989     1.952
1990     1.926
1991     1.926
1992     1.867
1993     2.036
1994     2.078
1995     1.968
1996     1.782
1997     1.708
1998     1.629
1999     1.644
2000     1.777
2001     1.699
2002     1.632
2003     1.697
2004     1.773
2005     1.801
2006     1.752
2007     1.833
2008     1.811
2009     1.718
2010     1.779
2011     1.636
2012     1.621
2013     1.595
2014     1.657
2015     1.677
2016     1.711
2017     1.823
2018     1.867
2019     1.840
2020     1.947
