Czechia, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 02/02/2023
Year    Age        ASFR
1950     12-    0.00000
1950     13     0.00004
1950     14     0.00058
1950     15     0.00235
1950     16     0.01155
1950     17     0.03386
1950     18     0.07020
1950     19     0.11741
1950     20     0.15668
1950     21     0.18520
1950     22     0.20065
1950     23     0.19975
1950     24     0.20045
1950     25     0.19088
1950     26     0.17531
1950     27     0.15861
1950     28     0.14241
1950     29     0.12771
1950     30     0.11550
1950     31     0.10371
1950     32     0.09048
1950     33     0.08316
1950     34     0.07343
1950     35     0.07246
1950     36     0.05982
1950     37     0.05190
1950     38     0.04561
1950     39     0.03742
1950     40     0.02930
1950     41     0.02256
1950     42     0.01604
1950     43     0.01097
1950     44     0.00629
1950     45     0.00365
1950     46     0.00184
1950     47     0.00080
1950     48     0.00033
1950     49     0.00013
1950     50     0.00007
1950     51     0.00004
1950     52     0.00002
1950     53     0.00001
1950     54     0.00000
1950     55+    0.00000
1951     12-    0.00000
1951     13     0.00003
1951     14     0.00044
1951     15     0.00236
1951     16     0.01066
1951     17     0.03611
1951     18     0.07383
1951     19     0.12109
1951     20     0.16463
1951     21     0.19106
1951     22     0.19998
1951     23     0.20659
1951     24     0.19593
1951     25     0.18684
1951     26     0.17188
1951     27     0.15711
1951     28     0.14213
1951     29     0.12529
1951     30     0.11310
1951     31     0.09956
1951     32     0.08986
1951     33     0.07533
1951     34     0.06936
1951     35     0.06035
1951     36     0.05906
1951     37     0.05103
1951     38     0.04426
1951     39     0.03486
1951     40     0.02756
1951     41     0.02121
1951     42     0.01545
1951     43     0.00976
1951     44     0.00576
1951     45     0.00343
1951     46     0.00170
1951     47     0.00070
1951     48     0.00027
1951     49     0.00010
1951     50     0.00005
1951     51     0.00003
1951     52     0.00002
1951     53     0.00001
1951     54     0.00000
1951     55+    0.00000
1952     12-    0.00000
1952     13     0.00003
1952     14     0.00044
1952     15     0.00188
1952     16     0.01022
1952     17     0.03515
1952     18     0.07351
1952     19     0.11963
1952     20     0.16275
1952     21     0.18651
1952     22     0.20036
1952     23     0.20269
1952     24     0.19565
1952     25     0.18343
1952     26     0.17125
1952     27     0.15136
1952     28     0.13754
1952     29     0.12569
1952     30     0.11134
1952     31     0.09589
1952     32     0.08569
1952     33     0.07548
1952     34     0.06484
1952     35     0.06226
1952     36     0.05243
1952     37     0.05192
1952     38     0.03931
1952     39     0.03403
1952     40     0.02648
1952     41     0.02022
1952     42     0.01361
1952     43     0.00860
1952     44     0.00552
1952     45     0.00326
1952     46     0.00149
1952     47     0.00052
1952     48     0.00017
1952     49     0.00005
