Czechia, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 02/02/2023
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1950     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1950     13     0.00004     0.00003     0.00001     0.00000     0.00000     0.00000
1950     14     0.00058     0.00053     0.00005     0.00000     0.00000     0.00000
1950     15     0.00235     0.00224     0.00011     0.00000     0.00000     0.00000
1950     16     0.01155     0.01098     0.00051     0.00007     0.00000     0.00000
1950     17     0.03386     0.03090     0.00270     0.00023     0.00003     0.00000
1950     18     0.07020     0.06063     0.00869     0.00079     0.00009     0.00000
1950     19     0.11741     0.09233     0.02205     0.00276     0.00026     0.00001
1950     20     0.15668     0.11098     0.03805     0.00683     0.00075     0.00007
1950     21     0.18520     0.11653     0.05423     0.01245     0.00167     0.00032
1950     22     0.20065     0.11262     0.06596     0.01801     0.00344     0.00062
1950     23     0.19975     0.09959     0.07046     0.02290     0.00546     0.00134
1950     24     0.20045     0.08457     0.07667     0.02857     0.00812     0.00252
1950     25     0.19088     0.06993     0.07594     0.03111     0.01003     0.00387
1950     26     0.17531     0.05470     0.06811     0.03389     0.01257     0.00603
1950     27     0.15861     0.04304     0.06046     0.03404     0.01315     0.00792
1950     28     0.14241     0.03064     0.05257     0.03385     0.01472     0.01062
1950     29     0.12771     0.02464     0.04329     0.03127     0.01574     0.01277
1950     30     0.11550     0.01869     0.03624     0.02965     0.01652     0.01440
1950     31     0.10371     0.01395     0.02951     0.02712     0.01635     0.01679
1950     32     0.09048     0.01155     0.02419     0.02355     0.01455     0.01663
1950     33     0.08316     0.00995     0.02139     0.02200     0.01355     0.01628
1950     34     0.07343     0.00825     0.01634     0.01931     0.01317     0.01635
1950     35     0.07246     0.00701     0.01642     0.01825     0.01258     0.01820
1950     36     0.05982     0.00543     0.01206     0.01485     0.01068     0.01680
1950     37     0.05190     0.00498     0.00984     0.01211     0.00937     0.01560
1950     38     0.04561     0.00439     0.00803     0.01062     0.00798     0.01459
1950     39     0.03742     0.00320     0.00609     0.00825     0.00669     0.01320
1950     40     0.02930     0.00234     0.00446     0.00613     0.00469     0.01168
1950     41     0.02256     0.00203     0.00351     0.00399     0.00354     0.00948
