Czechia, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 02/02/2023
Year   Age   Cohort      ASFR
1950   12-       .    0.00000
1950   13     1937    0.00002
1950   13     1936    0.00006
1950   14     1936    0.00039
1950   14     1935    0.00077
1950   15     1935    0.00185
1950   15     1934    0.00287
1950   16     1934    0.00893
1950   16     1933    0.01426
1950   17     1933    0.02884
1950   17     1932    0.03894
1950   18     1932    0.06317
1950   18     1931    0.07747
1950   19     1931    0.10964
1950   19     1930    0.12532
1950   20     1930    0.15113
1950   20     1929    0.16264
1950   21     1929    0.18162
1950   21     1928    0.18893
1950   22     1928    0.19953
1950   22     1927    0.20184
1950   23     1927    0.19989
1950   23     1926    0.19960
1950   24     1926    0.20124
1950   24     1925    0.19964
1950   25     1925    0.19302
1950   25     1924    0.18867
1950   26     1924    0.17801
1950   26     1923    0.17254
1950   27     1923    0.16125
1950   27     1922    0.15574
1950   28     1922    0.14491
1950   28     1921    0.13976
1950   29     1921    0.12977
1950   29     1920    0.12534
1950   30     1920    0.11741
1950   30     1919    0.11342
1950   31     1919    0.10546
1950   31     1918    0.10125
1950   32     1918    0.09210
1950   32     1917    0.08883
1950   33     1917    0.08470
1950   33     1916    0.08180
1950   34     1916    0.07432
1950   34     1915    0.07276
1950   35     1915    0.07397
1950   35     1914    0.07137
1950   36     1914    0.06148
1950   36     1913    0.05822
1950   37     1913    0.05304
1950   37     1912    0.05075
1950   38     1912    0.04686
1950   38     1911    0.04437
1950   39     1911    0.03881
1950   39     1910    0.03606
1950   40     1910    0.03052
1950   40     1909    0.02808
1950   41     1909    0.02368
1950   41     1908    0.02142
1950   42     1908    0.01698
1950   42     1907    0.01509
1950   43     1907    0.01185
1950   43     1906    0.01010
1950   44     1906    0.00683
1950   44     1905    0.00571
1950   45     1905    0.00403
1950   45     1904    0.00328
1950   46     1904    0.00207
1950   46     1903    0.00160
1950   47     1903    0.00092
1950   47     1902    0.00069
1950   48     1902    0.00038
1950   48     1901    0.00028
1950   49     1901    0.00015
1950   49     1900    0.00012
1950   50     1900    0.00008
1950   50     1899    0.00006
1950   51     1899    0.00004
1950   51     1898    0.00004
1950   52     1898    0.00002
1950   52     1897    0.00002
1950   53     1897    0.00001
1950   53     1896    0.00001
1950   54     1896    0.00000
1950   54     1895    0.00000
1950   55+       .    0.00000
1951   12-       .    0.00000
1951   13     1938    0.00001
1951   13     1937    0.00004
1951   14     1937    0.00029
1951   14     1936    0.00060
1951   15     1936    0.00180
1951   15     1935    0.00295
1951   16     1935    0.00830
1951   16     1934    0.01310
1951   17     1934    0.03022
1951   17     1933    0.04220
