Czechia, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 02/02/2023
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1950   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1950   13     1937    0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1950   13     1936    0.00006     0.00005     0.00001     0.00000     0.00000     0.00000
1950   14     1936    0.00039     0.00035     0.00004     0.00000     0.00000     0.00000
1950   14     1935    0.00077     0.00071     0.00006     0.00000     0.00000     0.00000
1950   15     1935    0.00185     0.00176     0.00009     0.00000     0.00000     0.00000
1950   15     1934    0.00287     0.00274     0.00012     0.00000     0.00000     0.00000
1950   16     1934    0.00893     0.00854     0.00038     0.00002     0.00000     0.00000
1950   16     1933    0.01426     0.01349     0.00064     0.00012     0.00000     0.00000
1950   17     1933    0.02884     0.02658     0.00205     0.00020     0.00001     0.00000
1950   17     1932    0.03894     0.03526     0.00337     0.00025     0.00006     0.00000
1950   18     1932    0.06317     0.05523     0.00722     0.00063     0.00008     0.00000
1950   18     1931    0.07747     0.06620     0.01022     0.00095     0.00010     0.00000
1950   19     1931    0.10964     0.08785     0.01931     0.00225     0.00022     0.00000
1950   19     1930    0.12532     0.09689     0.02483     0.00327     0.00031     0.00003
1950   20     1930    0.15113     0.10907     0.03537     0.00600     0.00063     0.00006
1950   20     1929    0.16264     0.11302     0.04093     0.00773     0.00087     0.00009
1950   21     1929    0.18162     0.11656     0.05186     0.01148     0.00147     0.00026
1950   21     1928    0.18893     0.11650     0.05670     0.01347     0.00189     0.00038
1950   22     1928    0.19953     0.11412     0.06460     0.01714     0.00310     0.00056
1950   22     1927    0.20184     0.11102     0.06739     0.01893     0.00380     0.00069
1950   23     1927    0.19989     0.10194     0.06963     0.02206     0.00508     0.00119
1950   23     1926    0.19960     0.09716     0.07131     0.02378     0.00585     0.00151
1950   24     1926    0.20124     0.08712     0.07625     0.02785     0.00771     0.00230
1950   24     1925    0.19964     0.08197     0.07710     0.02929     0.00854     0.00275
1950   25     1925    0.19302     0.07241     0.07665     0.03068     0.00967     0.00360
1950   25     1924    0.18867     0.06737     0.07520     0.03156     0.01039     0.00415
1950   26     1924    0.17801     0.05692     0.06945     0.03366     0.01229     0.00567
1950   26     1923    0.17254     0.05242     0.06673     0.03413     0.01286     0.00640
1950   27     1923    0.16125     0.04502     0.06167     0.03402     0.01298     0.00756
1950   27     1922    0.15574     0.04089     0.05915     0.03406     0.01333     0.00831
1950   28     1922    0.14491     0.03202     0.05404     0.03411     0.01452     0.01021
1950   28     1921    0.13976     0.02918     0.05101     0.03357     0.01494     0.01106
1950   29     1921    0.12977     0.02559     0.04453     0.03159     0.01560     0.01247
1950   29     1920    0.12534     0.02355     0.04186     0.03091     0.01590     0.01311
1950   30     1920    0.11741     0.01954     0.03735     0.02998     0.01646     0.01408
1950   30     1919    0.11342     0.01778     0.03504     0.02929     0.01658     0.01474
1950   31     1919    0.10546     0.01441     0.03035     0.02757     0.01651     0.01662
1950   31     1918    0.10125     0.01329     0.02833     0.02648     0.01613     0.01702
1950   32     1918    0.09210     0.01187     0.02482     0.02395     0.01478     0.01668
1950   32     1917    0.08883     0.01123     0.02355     0.02315     0.01432     0.01658
1950   33     1917    0.08470     0.01024     0.02214     0.02237     0.01365     0.01630
1950   33     1916    0.08180     0.00969     0.02073     0.02167     0.01345     0.01626
1950   34     1916    0.07432     0.00852     0.01671     0.01964     0.01326     0.01618
1950   34     1915    0.07276     0.00804     0.01606     0.01906     0.01311     0.01649
1950   35     1915    0.07397     0.00730     0.01695     0.01873     0.01284     0.01815
1950   35     1914    0.07137     0.00680     0.01604     0.01790     0.01239     0.01824
1950   36     1914    0.06148     0.00558     0.01257     0.01536     0.01094     0.01702
1950   36     1913    0.05822     0.00529     0.01157     0.01435     0.01043     0.01659
1950   37     1913    0.05304     0.00507     0.01017     0.01243     0.00959     0.01578
1950   37     1912    0.05075     0.00489     0.00951     0.01178     0.00914     0.01542
1950   38     1912    0.04686     0.00455     0.00835     0.01096     0.00820     0.01479
1950   38     1911    0.04437     0.00422     0.00771     0.01028     0.00777     0.01440
1950   39     1911    0.03881     0.00337     0.00639     0.00862     0.00699     0.01344
1950   39     1910    0.03606     0.00304     0.00580     0.00788     0.00639     0.01297
1950   40     1910    0.03052     0.00242     0.00465     0.00651     0.00493     0.01200
1950   40     1909    0.02808     0.00226     0.00426     0.00575     0.00445     0.01136
1950   41     1909    0.02368     0.00215     0.00375     0.00423     0.00372     0.00985
1950   41     1908    0.02142     0.00192     0.00327     0.00376     0.00337     0.00911
1950   42     1908    0.01698     0.00133     0.00220     0.00312     0.00271     0.00761
1950   42     1907    0.01509     0.00116     0.00189     0.00272     0.00238     0.00694
1950   43     1907    0.01185     0.00089     0.00146     0.00193     0.00181     0.00576
1950   43     1906    0.01010     0.00077     0.00121     0.00164     0.00146     0.00502
1950   44     1906    0.00683     0.00057     0.00075     0.00117     0.00078     0.00355
1950   44     1905    0.00571     0.00042     0.00063     0.00100     0.00070     0.00296
1950   45     1905    0.00403     0.00017     0.00046     0.00071     0.00074     0.00194
1950   45     1904    0.00328     0.00013     0.00038     0.00058     0.00063     0.00156
1950   46     1904    0.00207     0.00009     0.00027     0.00036     0.00035     0.00100
1950   46     1903    0.00160     0.00007     0.00022     0.00028     0.00024     0.00080
1950   47     1903    0.00092     0.00005     0.00014     0.00015     0.00008     0.00049
1950   47     1902    0.00069     0.00004     0.00011     0.00011     0.00005     0.00038
1950   48     1902    0.00038     0.00003     0.00006     0.00005     0.00001     0.00021
1950   48     1901    0.00028     0.00003     0.00005     0.00004     0.00001     0.00016
1950   49     1901    0.00015     0.00002     0.00002     0.00002     0.00000     0.00008
1950   49     1900    0.00012     0.00002     0.00002     0.00001     0.00000     0.00006
1950   50     1900    0.00008     0.00002     0.00001     0.00001     0.00000     0.00004
1950   50     1899    0.00006     0.00002     0.00001     0.00001     0.00000     0.00003
1950   51     1899    0.00004     0.00001     0.00001     0.00000     0.00000     0.00002
1950   51     1898    0.00004     0.00001     0.00001     0.00000     0.00000     0.00001
1950   52     1898    0.00002     0.00001     0.00001     0.00000     0.00000     0.00001
1950   52     1897    0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
1950   53     1897    0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1950   53     1896    0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1950   54     1896    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
