Czechia, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 02/02/2023
Year    ARDY   Cohort        ASFR
1950     12-    1938+     0.00000
1950     13     1937      0.00001
1950     14     1936      0.00023
1950     15     1935      0.00133
1950     16     1934      0.00602
1950     17     1933      0.02179
1950     18     1932      0.05147
1950     19     1931      0.09417
1950     20     1930      0.13852
1950     21     1929      0.17242
1950     22     1928      0.19435
1950     23     1927      0.20083
1950     24     1926      0.20044
1950     25     1925      0.19626
1950     26     1924      0.18316
1950     27     1923      0.16674
1950     28     1922      0.15008
1950     29     1921      0.13471
1950     30     1920      0.12128
1950     31     1919      0.11002
1950     32     1918      0.09668
1950     33     1917      0.08677
1950     34     1916      0.07806
1950     35     1915      0.07337
1950     36     1914      0.06643
1950     37     1913      0.05563
1950     38     1912      0.04881
1950     39     1911      0.04160
1950     40     1910      0.03329
1950     41     1909      0.02589
1950     42     1908      0.01921
1950     43     1907      0.01347
1950     44     1906      0.00847
1950     45     1905      0.00487
1950     46     1904      0.00268
1950     47     1903      0.00126
1950     48     1902      0.00053
1950     49     1901      0.00021
1950     50     1900      0.00010
1950     51     1899      0.00005
1950     52     1898      0.00003
1950     53     1897      0.00001
1950     54     1896      0.00001
1950     55+    1895-     0.00000
1951     12-    1939+     0.00000
1951     13     1938      0.00001
1951     14     1937      0.00017
1951     15     1936      0.00122
1951     16     1935      0.00573
1951     17     1934      0.02198
1951     18     1933      0.05485
1951     19     1932      0.09770
1951     20     1931      0.14444
1951     21     1930      0.17974
1951     22     1929      0.19656
1951     23     1928      0.20412
1951     24     1927      0.20173
1951     25     1926      0.19147
1951     26     1925      0.17944
1951     27     1924      0.16429
1951     28     1923      0.14950
1951     29     1922      0.13321
1951     30     1921      0.11894
1951     31     1920      0.10597
1951     32     1919      0.09504
1951     33     1918      0.08216
1951     34     1917      0.07224
1951     35     1916      0.06468
1951     36     1915      0.05988
1951     37     1914      0.05531
1951     38     1913      0.04777
1951     39     1912      0.03954
1951     40     1911      0.03111
1951     41     1910      0.02434
1951     42     1909      0.01833
1951     43     1908      0.01249
1951     44     1907      0.00760
1951     45     1906      0.00452
1951     46     1905      0.00250
1951     47     1904      0.00114
1951     48     1903      0.00045
1951     49     1902      0.00017
1951     50     1901      0.00007
1951     51     1900      0.00004
1951     52     1899      0.00002
1951     53     1898      0.00001
1951     54     1897      0.00000
1951     55+    1896-     0.00000
1952     12-    1940+     0.00000
1952     13     1939      0.00001
1952     14     1938      0.00017
1952     15     1937      0.00103
1952     16     1936      0.00509
1952     17     1935      0.02143
1952     18     1934      0.05422
1952     19     1933      0.09694
1952     20     1932      0.14268
1952     21     1931      0.17644
1952     22     1930      0.19445
1952     23     1929      0.20244
1952     24     1928      0.19969
1952     25     1927      0.18953
1952     26     1926      0.17756
1952     27     1925      0.16111
1952     28     1924      0.14394
1952     29     1923      0.13149
1952     30     1922      0.11837
1952     31     1921      0.10322
1952     32     1920      0.09043
1952     33     1919      0.08093
1952     34     1918      0.06963
1952     35     1917      0.06366
1952     36     1916      0.05722
1952     37     1915      0.05265
1952     38     1914      0.04573
1952     39     1913      0.03659
1952     40     1912      0.03026
1952     41     1911      0.02336
1952     42     1910      0.01684
1952     43     1909      0.01094
1952     44     1908      0.00696
1952     45     1907      0.00436
1952     46     1906      0.00231
1952     47     1905      0.00094
1952     48     1904      0.00031
1952     49     1903      0.00010
1952     50     1902      0.00004
