Czechia, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 02/02/2023
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1950     12-    1938+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1950     13     1937      0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1950     14     1936      0.00023     0.00021     0.00002     0.00000     0.00000     0.00000
1950     15     1935      0.00133     0.00125     0.00008     0.00000     0.00000     0.00000
1950     16     1934      0.00602     0.00575     0.00026     0.00001     0.00000     0.00000
1950     17     1933      0.02179     0.02026     0.00137     0.00016     0.00000     0.00000
1950     18     1932      0.05147     0.04559     0.00536     0.00045     0.00007     0.00000
1950     19     1931      0.09417     0.07744     0.01494     0.00163     0.00016     0.00000
1950     20     1930      0.13852     0.10312     0.03022     0.00466     0.00047     0.00004
1950     21     1929      0.17242     0.11484     0.04656     0.00966     0.00118     0.00018
1950     22     1928      0.19435     0.11529     0.06074     0.01535     0.00251     0.00047
1950     23     1927      0.20083     0.10630     0.06855     0.02055     0.00447     0.00095
1950     24     1926      0.20044     0.09201     0.07385     0.02587     0.00680     0.00191
1950     25     1925      0.19626     0.07709     0.07687     0.03000     0.00912     0.00318
1950     26     1924      0.18316     0.06197     0.07223     0.03265     0.01137     0.00494
1950     27     1923      0.16674     0.04861     0.06413     0.03407     0.01292     0.00700
1950     28     1922      0.15008     0.03626     0.05649     0.03409     0.01395     0.00930
1950     29     1921      0.13471     0.02736     0.04773     0.03257     0.01527     0.01177
1950     30     1920      0.12128     0.02150     0.03955     0.03043     0.01619     0.01361
1950     31     1919      0.11002     0.01634     0.03304     0.02856     0.01655     0.01554
1950     32     1918      0.09668     0.01258     0.02658     0.02522     0.01546     0.01685
1950     33     1917      0.08677     0.01073     0.02285     0.02276     0.01399     0.01644
1950     34     1916      0.07806     0.00910     0.01872     0.02066     0.01336     0.01622
1950     35     1915      0.07337     0.00767     0.01651     0.01890     0.01298     0.01732
1950     36     1914      0.06643     0.00619     0.01431     0.01663     0.01167     0.01763
1950     37     1913      0.05563     0.00518     0.01087     0.01339     0.01001     0.01618
1950     38     1912      0.04881     0.00472     0.00893     0.01137     0.00867     0.01511
1950     39     1911      0.04160     0.00379     0.00705     0.00945     0.00738     0.01392
