Czechia, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 02/02/2023
Year    Age        Total
1950     12-        0.05
1950     13         2.19
1950     14        30.78
1950     15       131.03
1950     16       674.19
1950     17      2071.59
1950     18      4505.29
1950     19      7943.28
1950     20     10632.05
1950     21     12631.62
1950     22     13637.91
1950     23     14044.03
1950     24     14471.15
1950     25     14035.03
1950     26     13403.84
1950     27     12167.49
1950     28     11130.19
1950     29      9290.66
1950     30      7908.27
1950     31      4353.25
1950     32      3126.89
1950     33      3048.87
1950     34      3331.96
1950     35      4473.28
1950     36      4371.25
1950     37      3852.10
1950     38      3392.98
1950     39      2823.81
1950     40      2234.64
1950     41      1704.49
1950     42      1185.34
1950     43       805.23
1950     44       448.13
1950     45       253.70
1950     46       128.11
1950     47        55.79
1950     48        22.63
1950     49         8.90
1950     50         4.59
1950     51         2.49
1950     52         1.22
1950     53         0.54
1950     54         0.16
1950     55+        0.00
1951     12-        0.04
1951     13         1.49
1951     14        23.49
1951     15       126.08
1951     16       595.40
1951     17      2108.41
1951     18      4516.02
1951     19      7768.20
1951     20     11128.43
1951     21     12944.65
1951     22     13616.09
1951     23     14016.37
1951     24     13750.19
1951     25     13462.00
1951     26     12606.43
1951     27     11979.00
1951     28     10877.27
1951     29      9770.53
1951     30      8207.49
1951     31      6800.54
1951     32      3762.51
1951     33      2596.73
1951     34      2535.69
1951     35      2730.82
1951     36      3636.43
1951     37      3718.48
1951     38      3276.19
1951     39      2585.73
1951     40      2073.39
1951     41      1612.08
1951     42      1162.78
1951     43       718.48
1951     44       421.28
1951     45       243.39
1951     46       117.33
1951     47        48.48
1951     48        18.35
1951     49         6.75
1951     50         3.47
1951     51         1.94
1951     52         1.00
1951     53         0.46
1951     54         0.14
1951     55+        0.00
1952     12-        0.04
1952     13         1.73
1952     14        23.25
1952     15       100.05
1952     16       547.31
1952     17      1966.10
1952     18      4294.40
1952     19      7319.09
1952     20     10438.84
1952     21     12597.05
1952     22     13555.59
1952     23     13778.72
1952     24     13252.43
1952     25     12852.21
1952     26     12312.91
1952     27     11073.21
1952     28     10461.87
1952     29      9596.38
1952     30      8661.85
1952     31      6940.90
1952     32      5839.27
1952     33      3152.77
1952     34      2229.25
1952     35      2270.27
1952     36      2366.32
1952     37      3187.78
1952     38      2856.60
1952     39      2511.41
1952     40      1958.10
1952     41      1516.85
1952     42      1031.58
1952     43       645.36
1952     44       405.23
1952     45       237.76
1952     46       105.32
1952     47        36.10
1952     48        11.52
1952     49         3.52
1952     50         1.84
1952     51         1.11
1952     52         0.63
1952     53         0.32
1952     54         0.10
1952     55+        0.00
1953     12-        0.04
1953     13         1.29
1953     14        19.68
1953     15       109.03
1953     16       438.12
1953     17      1575.43
1953     18      3934.07
1953     19      6835.86
1953     20      9646.63
1953     21     11872.23
1953     22     13521.68
1953     23     13326.63
1953     24     13089.57
1953     25     12103.30
1953     26     11248.07
1953     27     10389.83
1953     28      9703.64
1953     29      9122.48
1953     30      8100.21
1953     31      7362.00
1953     32      6059.65
1953     33      5218.42
1953     34      2736.74
1953     35      1902.52
1953     36      1880.51
1953     37      1927.52
1953     38      2388.65
1953     39      2284.62
1953     40      1887.52
1953     41      1393.38
1953     42       994.27
1953     43       689.18
1953     44       423.12
1953     45       195.04
1953     46        92.15
1953     47        40.12
1953     48        17.18
1953     49         7.62
1953     50         4.48
1953     51         2.54
1953     52         1.27
1953     53         0.57
1953     54         0.16
1953     55+        0.00
1954     12-        0.05
1954     13         2.14
1954     14        27.82
1954     15       103.02
1954     16       415.08
1954     17      1453.29
1954     18      3543.69
1954     19      6602.28
1954     20      9449.84
1954     21     11554.26
1954     22     12948.53
1954     23     13331.60
1954     24     13049.54
1954     25     11952.34
1954     26     11012.16
1954     27     10045.97
1954     28      9396.84
1954     29      8547.68
1954     30      7875.54
1954     31      6978.37
1954     32      6445.27
1954     33      5121.00
1954     34      4372.86
1954     35      2371.47
1954     36      1585.31
1954     37      1553.30
1954     38      1534.30
1954     39      1900.38
1954     40      1688.33
1954     41      1373.27
1954     42       892.17
