Czechia, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 02/02/2023
Year    Age        Total          B1          B2          B3          B4         B5p
1950     12-        0.05        0.04        0.01        0.00        0.00        0.00
1950     13         2.19        1.83        0.35        0.00        0.00        0.00
1950     14        30.78       28.11        2.66        0.00        0.00        0.00
1950     15       131.03      125.09        5.95        0.00        0.00        0.00
1950     16       674.19      640.53       29.70        3.96        0.00        0.00
1950     17      2071.59     1890.30      165.45       13.86        1.98        0.00
1950     18      4505.29     3890.80      557.92       50.61        5.95        0.00
1950     19      7943.28     6246.44     1491.51      186.49       17.85        0.99
1950     20     10632.05     7530.79     2581.96      463.75       50.61        4.94
1950     21     12631.62     7948.04     3698.50      849.34      114.01       21.71
1950     22     13637.91     7654.40     4482.91     1224.01      234.11       42.48
1950     23     14044.03     7001.76     4953.67     1610.30      383.74       94.55
1950     24     14471.15     6105.64     5535.15     2062.23      586.09      182.03
1950     25     14035.03     5141.61     5583.71     2287.78      737.31      284.62
1950     26     13403.84     4182.42     5207.42     2591.28      961.37      461.34
1950     27     12167.49     3301.57     4638.53     2611.15     1008.56      607.69
1950     28     11130.19     2394.87     4108.66     2645.57     1150.73      830.36
1950     29      9290.66     1792.36     3149.18     2275.14     1145.10      928.89
1950     30      7908.27     1279.90     2481.35     2030.20     1130.99      985.82
1950     31      4353.25      585.35     1238.79     1138.21      686.34      704.56
1950     32      3126.89      399.12      835.98      814.02      502.98      574.80
1950     33      3048.87      364.67      784.20      806.48      496.68      596.84
1950     34      3331.96      374.18      741.51      876.34      597.81      742.11
1950     35      4473.28      432.72     1013.72     1126.44      776.72     1123.68
1950     36      4371.25      396.87      881.15     1085.10      780.50     1227.62
1950     37      3852.10      369.62      730.41      898.75      695.48     1157.82
1950     38      3392.98      326.31      597.41      789.74      593.82     1085.68
1950     39      2823.81      241.47      459.58      622.22      504.58      995.95
1950     40      2234.64      178.22      340.02      467.58      357.86      890.97
1950     41      1704.49      153.59      265.09      301.74      267.69      716.35
1950     42      1185.34       92.07      151.15      216.12      188.25      537.74
1950     43       805.23       60.87       98.14      131.13      119.73      395.36
1950     44       448.13       35.69       49.22       77.59       52.95      232.68
1950     45       253.70       10.47       29.25       44.86       47.48      121.63
1950     46       128.11        5.44       16.95       22.37       20.49       62.87
1950     47        55.79        3.30        8.64        8.98        4.58       30.30
1950     48        22.63        2.12        3.82        3.03        0.76       12.90
1950     49         8.90        1.40        1.50        0.92        0.12        4.96
1950     50         4.59        1.17        0.84        0.43        0.00        2.16
1950     51         2.49        0.79        0.51        0.25        0.00        0.95
1950     52         1.22        0.45        0.29        0.14        0.00        0.34
1950     53         0.54        0.22        0.14        0.07        0.00        0.11
1950     54         0.16        0.07        0.04        0.03        0.00        0.03
1950     55+        0.00        0.00        0.00        0.00        0.00        0.00
1951     12-        0.04        0.04        0.00        0.00        0.00        0.00
1951     13         1.49        1.49        0.00        0.00        0.00        0.00
1951     14        23.49       23.49        0.00        0.00        0.00        0.00
1951     15       126.08      116.10        9.98        0.00        0.00        0.00
1951     16       595.40      559.12       33.33        2.95        0.00        0.00
1951     17      2108.41     1938.77      157.74       10.91        0.99        0.00
1951     18      4516.02     3875.81      596.64       40.60        2.97        0.00
1951     19      7768.20     6096.79     1471.07      177.55       17.82        4.96
1951     20     11128.43     7965.70     2577.52      510.93       68.34        5.95
1951     21     12944.65     8182.31     3731.97      881.95      130.60       17.81
1951     22     13616.09     7495.32     4424.81     1368.84      272.75       54.39
1951     23     14016.37     6812.48     4934.79     1713.56      452.67      102.86
1951     24     13750.19     5904.65     5135.21     1919.09      612.36      178.89
1951     25     13462.00     5015.67     5179.94     2222.42      749.53      294.44
1951     26     12606.43     3850.27     4919.53     2450.37      915.48      470.78
1951     27     11979.00     3138.75     4533.27     2593.01     1086.03      627.94
1951     28     10877.27     2428.96     3934.73     2508.90     1215.54      789.14
1951     29      9770.53     1870.00     3218.52     2485.17     1185.50     1011.35
1951     30      8207.49     1328.06     2522.69     2096.45     1177.28     1083.00
1951     31      6800.54      903.34     1930.35     1751.22     1080.43     1135.20
1951     32      3762.51      461.56      966.52      963.78      646.09      724.56
1951     33      2596.73      308.65      648.93      653.33      422.09      563.74
1951     34      2535.69      260.72      542.52      640.28      469.65      622.52
1951     35      2730.82      281.56      555.05      723.51      458.19      712.52
1951     36      3636.43      322.03      682.52      874.73      682.85     1074.29
1951     37      3718.48      329.36      613.41      895.58      665.30     1214.82
1951     38      3276.19      253.74      542.93      727.56      603.89     1148.07
1951     39      2585.73      200.71      387.51      571.58      475.73      950.18
1951     40      2073.39      176.74      306.74      440.04      362.61      787.27
1951     41      1612.08      109.42      249.96      308.13      286.62      657.94
