Czechia, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 02/02/2023
Year   Age    Cohort           Total
1950    12-        .            0.05
1950    13      1937            0.59
1950    13      1936            1.60
1950    14      1936           10.63
1950    14      1935           20.15
1950    15      1935           52.29
1950    15      1934           78.74
1950    16      1934          264.65
1950    16      1933          409.54
1950    17      1933          886.03
1950    17      1932         1185.56
1950    18      1932         2059.40
1950    18      1931         2445.89
1950    19      1931         3738.36
1950    19      1930         4204.92
1950    20      1930         5311.56
1950    20      1929         5320.49
1950    21      1929         6323.88
1950    21      1928         6307.74
1950    22      1928         6974.16
1950    22      1927         6663.75
1950    23      1927         7138.23
1950    23      1926         6905.80
1950    24      1926         7342.02
1950    24      1925         7129.13
1950    25      1925         7194.79
1950    25      1924         6840.24
1950    26      1924         6899.46
1950    26      1923         6504.38
1950    27      1923         6434.49
1950    27      1922         5733.00
1950    28      1922         5824.65
1950    28      1921         5305.54
1950    29      1921         5039.93
1950    29      1920         4250.73
1950    30      1920         4174.09
1950    30      1919         3734.18
1950    31      1919         2587.77
1950    31      1918         1765.48
1950    32      1918         1602.22
1950    32      1917         1524.67
1950    33      1917         1451.20
1950    33      1916         1597.67
1950    34      1916         1448.40
1950    34      1915         1883.56
1950    35      1915         1911.07
1950    35      1914         2562.21
1950    36      1914         2202.87
1950    36      1913         2168.38
1950    37      1913         1971.28
1950    37      1912         1880.82
1950    38      1912         1733.20
1950    38      1911         1659.78
1950    39      1911         1448.82
1950    39      1910         1374.99
1950    40      1910         1160.89
1950    40      1909         1073.75
1950    41      1909          903.40
1950    41      1908          801.09
1950    42      1908          633.67
1950    42      1907          551.67
1950    43      1907          432.46
1950    43      1906          372.77
1950    44      1906          251.34
1950    44      1905          196.79
1950    45      1905          138.53
1950    45      1904          115.17
1950    46      1904           72.51
1950    46      1903           55.60
1950    47      1903           31.78
1950    47      1902           24.01
1950    48      1902           13.11
1950    48      1901            9.52
1950    49      1901            5.03
1950    49      1900            3.87
1950    50      1900            2.56
1950    50      1899            2.03
