Czechia, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 02/02/2023
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1950    12-        .            0.05           0.04           0.01           0.00           0.00           0.00
1950    13      1937            0.59           0.48           0.11           0.00           0.00           0.00
1950    13      1936            1.60           1.35           0.24           0.00           0.00           0.00
1950    14      1936           10.63           9.58           1.05           0.00           0.00           0.00
1950    14      1935           20.15          18.53           1.61           0.00           0.00           0.00
1950    15      1935           52.29          49.72           2.57           0.00           0.00           0.00
1950    15      1934           78.74          75.37           3.38           0.00           0.00           0.00
1950    16      1934          264.65         252.87          11.22           0.56           0.00           0.00
1950    16      1933          409.54         387.66          18.48           3.40           0.00           0.00
1950    17      1933          886.03         816.70          62.86           6.19           0.28           0.00
1950    17      1932         1185.56        1073.60         102.59           7.67           1.70           0.00
1950    18      1932         2059.40        1800.65         235.36          20.62           2.77           0.00
1950    18      1931         2445.89        2090.15         322.56          29.99           3.18           0.00
1950    19      1931         3738.36        2995.35         658.50          76.86           7.51           0.14
1950    19      1930         4204.92        3251.09         833.01         109.63          10.34           0.85
1950    20      1930         5311.56        3833.47        1242.95         210.75          22.25           2.14
1950    20      1929         5320.49        3697.32        1339.01         253.00          28.36           2.80
1950    21      1929         6323.88        4058.53        1805.60         399.67          51.05           9.02
1950    21      1928         6307.74        3889.51        1892.90         449.67          62.96          12.69
1950    22      1928         6974.16        3988.99        2257.97         599.11         108.51          19.58
1950    22      1927         6663.75        3665.41        2224.94         624.90         125.60          22.90
1950    23      1927         7138.23        3640.25        2486.45         787.63         181.41          42.48
1950    23      1926         6905.80        3361.51        2467.22         822.67         202.33          52.07
1950    24      1926         7342.02        3178.67        2781.96        1016.22         281.26          83.91
1950    24      1925         7129.13        2926.97        2753.19        1046.01         304.83          98.12
1950    25      1925         7194.79        2699.24        2857.32        1143.47         360.61         134.15
1950    25      1924         6840.24        2442.37        2726.39        1144.31         376.70         150.47
1950    26      1924         6899.46        2206.29        2691.97        1304.81         476.46         219.92
1950    26      1923         6504.38        1976.13        2515.45        1286.47         484.91         241.42
1950    27      1923         6434.49        1796.34        2460.91        1357.38         518.02         301.84
1950    27      1922         5733.00        1505.23        2177.62        1253.77         490.54         305.85
1950    28      1922         5824.65        1287.12        2172.34        1371.07         583.56         410.56
1950    28      1921         5305.54        1107.75        1936.32        1274.50         567.17         419.80
1950    29      1921         5039.93         993.65        1729.42        1227.00         605.75         484.11
1950    29      1920         4250.73         798.71        1419.76        1048.14         539.35         444.78
1950    30      1920         4174.09         694.63        1327.65        1065.89         585.22         500.69
1950    30      1919         3734.18         585.27        1153.70         964.31         545.77         485.13
1950    31      1919         2587.77         353.54         744.80         676.50         405.07         407.86
1950    31      1918         1765.48         231.81         493.99         461.71         281.27         296.70
1950    32      1918         1602.22         206.44         431.77         416.71         257.14         290.17
1950    32      1917         1524.67         192.68         404.21         397.31         245.84         284.63
1950    33      1917         1451.20         175.42         379.34         383.31         233.94         279.19
1950    33      1916         1597.67         189.25         404.86         423.17         262.74         317.65
1950    34      1916         1448.40         166.03         325.71         382.83         258.51         315.31
1950    34      1915         1883.56         208.15         415.80         493.51         339.30         426.80
1950    35      1915         1911.07         188.58         437.88         483.82         331.81         468.99
1950    35      1914         2562.21         244.14         575.84         642.62         444.91         654.69
1950    36      1914         2202.87         199.94         450.40         550.54         392.15         609.84
1950    36      1913         2168.38         196.93         430.75         534.56         388.35         617.78
1950    37      1913         1971.28         188.29         377.93         462.07         356.60         586.38
1950    37      1912         1880.82         181.33         352.48         436.68         338.88         571.44
1950    38      1912         1733.20         168.45         308.96         405.38         303.34         547.06
1950    38      1911         1659.78         157.86         288.45         384.36         290.48         538.62
1950    39      1911         1448.82         125.72         238.54         321.91         261.09         501.56
1950    39      1910         1374.99         115.75         221.04         300.31         243.49         494.39
1950    40      1910         1160.89          91.93         177.01         247.63         187.68         456.65
1950    40      1909         1073.75          86.29         163.01         219.95         170.18         434.32
1950    41      1909          903.40          81.85         142.90         161.21         141.84         375.59
1950    41      1908          801.09          71.74         122.19         140.53         125.85         340.76
1950    42      1908          633.67          49.80          82.19         116.58         101.17         283.92
1950    42      1907          551.67          42.27          68.96          99.54          87.08         253.82
1950    43      1907          432.46          32.52          53.40          70.50          66.01         210.03
1950    43      1906          372.77          28.35          44.74          60.63          53.72         185.33
1950    44      1906          251.34          21.13          27.61          43.15          28.69         130.76
1950    44      1905          196.79          14.56          21.61          34.44          24.26         101.92
1950    45      1905          138.53           5.94          15.77          24.54          25.47          66.81
1950    45      1904          115.17           4.53          13.48          20.32          22.01          54.82
1950    46      1904           72.51           2.98           9.36          12.73          12.33          35.12
1950    46      1903           55.60           2.46           7.59           9.64           8.16          27.75
1950    47      1903           31.78           1.77           4.84           5.22           2.89          17.07
1950    47      1902           24.01           1.53           3.80           3.76           1.69          13.23
1950    48      1902           13.11           1.14           2.20           1.81           0.50           7.46
1950    48      1901            9.52           0.98           1.62           1.22           0.26           5.44
1950    49      1901            5.03           0.73           0.84           0.53           0.09           2.84
1950    49      1900            3.87           0.67           0.66           0.39           0.03           2.12
1950    50      1900            2.56           0.62           0.46           0.24           0.00           1.24
1950    50      1899            2.03           0.55           0.38           0.19           0.00           0.92
1950    51      1899            1.39           0.43           0.28           0.14           0.00           0.55
1950    51      1898            1.10           0.36           0.23           0.11           0.00           0.40
1950    52      1898            0.69           0.25           0.16           0.08           0.00           0.20
1950    52      1897            0.53           0.20           0.13           0.06           0.00           0.14
1950    53      1897            0.32           0.13           0.08           0.04           0.00           0.07
1950    53      1896            0.22           0.09           0.06           0.03           0.00           0.04
1950    54      1896            0.12           0.05           0.03           0.02           0.00           0.02
1950    54      1895            0.04           0.02           0.01           0.01           0.00           0.01
1950    55+        .            0.00           0.00           0.00           0.00           0.00           0.00
1951    12-        .            0.04           0.04           0.00           0.00           0.00           0.00
1951    13      1938            0.40           0.40           0.00           0.00           0.00           0.00
1951    13      1937            1.09           1.09           0.00           0.00           0.00           0.00
1951    14      1937            7.85           7.85           0.00           0.00           0.00           0.00
1951    14      1936           15.64          15.64           0.00           0.00           0.00           0.00
1951    15      1936           49.08          47.60           1.48           0.00           0.00           0.00
1951    15      1935           77.00          68.50           8.50           0.00           0.00           0.00
1951    16      1935          235.43         220.11          14.90           0.42           0.00           0.00
1951    16      1934          359.97         339.01          18.43           2.53           0.00           0.00
1951    17      1934          896.03         829.37          61.63           4.88           0.15           0.00
1951    17      1933         1212.38        1109.40          96.11           6.03           0.84           0.00
1951    18      1933         2048.98        1785.99         245.55          16.13           1.31           0.00
1951    18      1932         2467.04        2089.82         351.09          24.47           1.66           0.00
1951    19      1932         3691.41        2947.73         664.57          71.64           6.73           0.74
1951    19      1931         4076.79        3149.06         806.50         105.91          11.09           4.22
1951    20      1931         5404.23        3940.18        1208.58         223.79          28.70           2.98
1951    20      1930         5724.20        4025.52        1368.94         287.14          39.64           2.97
1951    21      1930         6606.31        4265.74        1849.57         422.57          60.83           7.59
1951    21      1929         6338.34        3916.57        1882.40         459.38          69.77          10.22
1951    22      1929         6913.86        3891.06        2212.82         661.50         124.94          23.55
1951    22      1928         6702.23        3604.26        2211.99         707.34         147.81          30.84
1951    23      1928         7222.95        3582.20        2514.76         860.05         217.88          48.05
1951    23      1927         6793.42        3230.28        2420.03         853.51         234.79          54.81
1951    24      1927         7046.43        3090.16        2612.28         960.28         300.10          83.61
1951    24      1926         6703.76        2814.49        2522.93         958.81         312.26          95.28
1951    25      1926         6879.14        2633.74        2635.88        1104.15         367.86         137.51
1951    25      1925         6582.86        2381.93        2544.06        1118.27         381.67         156.93
1951    26      1925         6484.14        2037.65        2535.84        1233.40         452.56         224.68
1951    26      1924         6122.29        1812.62        2383.69        1216.97         462.92         246.10
1951    27      1924         6167.66        1656.89        2348.45        1316.53         539.63         306.16
1951    27      1923         5811.34        1481.86        2184.82        1276.48         546.40         321.78
1951    28      1923         5759.96        1317.69        2106.53        1311.52         628.60         395.61
1951    28      1922         5117.31        1111.27        1828.20        1197.38         586.94         393.53
1951    29      1922         5117.35        1004.62        1707.70        1291.57         609.04         504.42
1951    29      1921         4653.18         865.38        1510.82        1193.60         576.46         506.93
1951    30      1921         4459.68         741.80        1386.37        1138.11         626.41         566.99
1951    30      1920         3747.81         586.26        1136.32         958.34         550.87         516.01
1951    31      1920         3594.27         487.61        1035.13         925.85         563.26         582.42
1951    31      1919         3206.27         415.73         895.22         825.37         517.17         552.78
1951    32      1919         2242.98         277.23         581.10         575.62         384.73         424.30
1951    32      1918         1519.53         184.33         385.42         388.16         261.36         300.26
1951    33      1918         1334.29         160.83         338.35         335.82         215.34         283.96
1951    33      1917         1262.44         147.82         310.58         317.51         206.75         279.78
1951    34      1917         1208.55         125.76         263.26         303.88         223.55         292.10
1951    34      1916         1327.14         134.96         279.26         336.40         246.10         330.42
1951    35      1916         1189.35         124.40         244.52         316.59         198.97         304.88
1951    35      1915         1541.47         157.16         310.53         406.92         259.22         407.64
1951    36      1915         1547.33         138.91         296.62         375.46         289.14         447.20
1951    36      1914         2089.10         183.12         385.90         499.27         393.71         627.09
1951    37      1914         1867.10         167.45         310.79         453.00         334.40         601.46
1951    37      1913         1851.38         161.91         302.62         442.58         330.90         613.36
1951    38      1913         1693.05         132.39         283.12         378.36         311.45         587.73
1951    38      1912         1583.14         121.35         259.81         349.20         292.44         560.34
1951    39      1912         1335.87         102.73         201.83         296.43         246.96         487.91
1951    39      1911         1249.86          97.98         185.68         275.15         228.77         462.27
1951    40      1911         1068.28          92.42         157.30         229.51         187.11         401.95
1951    40      1910         1005.11          84.32         149.44         210.53         175.50         385.32
1951    41      1910          842.50          57.46         133.05         164.27         150.13         337.58
1951    41      1909          769.58          51.96         116.91         143.86         136.49         320.36
1951    42      1909          625.17          46.83          78.45         103.34         106.02         290.52
1951    42      1908          537.61          40.48          64.46          89.63          91.47         251.57
1951    43      1908          392.27          28.51          45.72          75.25          70.00         172.78
1951    43      1907          326.21          23.27          37.67          62.04          57.61         145.63
1951    44      1907          227.36          15.62          25.79          37.49          37.10         111.36
1951    44      1906          193.92          12.67          22.61          32.68          31.07          94.90
1951    45      1906          138.16           7.80          17.90          27.14          21.49          63.81
1951    45      1905          105.23           5.89          13.85          20.69          15.34          49.46
1951    46      1905           65.92           3.98           8.45          11.67           7.76          34.06
1951    46      1904           51.41           3.23           6.26           8.14           5.18          28.60
1951    47      1904           28.11           1.93           2.79           3.09           1.82          18.49
1951    47      1903           20.37           1.42           1.79           1.83           1.05          14.28
1951    48      1903           10.63           0.75           0.68           0.59           0.32           8.29
1951    48      1902            7.72           0.55           0.41           0.33           0.17           6.27
1951    49      1902            3.84           0.25           0.17           0.12           0.06           3.25
1951    49      1901            2.91           0.20           0.06           0.04           0.02           2.60
