Czechia, Live births by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 02/02/2023
Cohort  Age        Total          B1          B2          B3          B4         B5p
1895     12-           .           .           .           .           .           .
1895     13            .           .           .           .           .           .
1895     14            .           .           .           .           .           .
1895     15            .           .           .           .           .           .
1895     16            .           .           .           .           .           .
1895     17            .           .           .           .           .           .
1895     18            .           .           .           .           .           .
1895     19            .           .           .           .           .           .
1895     20            .           .           .           .           .           .
1895     21            .           .           .           .           .           .
1895     22            .           .           .           .           .           .
1895     23            .           .           .           .           .           .
1895     24            .           .           .           .           .           .
1895     25            .           .           .           .           .           .
1895     26            .           .           .           .           .           .
1895     27            .           .           .           .           .           .
1895     28            .           .           .           .           .           .
1895     29            .           .           .           .           .           .
1895     30            .           .           .           .           .           .
1895     31            .           .           .           .           .           .
1895     32            .           .           .           .           .           .
1895     33            .           .           .           .           .           .
1895     34            .           .           .           .           .           .
1895     35            .           .           .           .           .           .
1895     36            .           .           .           .           .           .
1895     37            .           .           .           .           .           .
1895     38            .           .           .           .           .           .
1895     39            .           .           .           .           .           .
1895     40            .           .           .           .           .           .
1895     41            .           .           .           .           .           .
1895     42            .           .           .           .           .           .
1895     43            .           .           .           .           .           .
1895     44            .           .           .           .           .           .
1895     45            .           .           .           .           .           .
1895     46            .           .           .           .           .           .
1895     47            .           .           .           .           .           .
1895     48            .           .           .           .           .           .
1895     49            .           .           .           .           .           .
1895     50            .           .           .           .           .           .
1895     51            .           .           .           .           .           .
1895     52            .           .           .           .           .           .
1895     53            .           .           .           .           .           .
1895     54            .           .           .           .           .           .
1895     55+        0.00        0.00        0.00        0.00        0.00        0.00
1896     12-           .           .           .           .           .           .
1896     13            .           .           .           .           .           .
1896     14            .           .           .           .           .           .
1896     15            .           .           .           .           .           .
1896     16            .           .           .           .           .           .
1896     17            .           .           .           .           .           .
1896     18            .           .           .           .           .           .
1896     19            .           .           .           .           .           .
1896     20            .           .           .           .           .           .
1896     21            .           .           .           .           .           .
1896     22            .           .           .           .           .           .
1896     23            .           .           .           .           .           .
1896     24            .           .           .           .           .           .
1896     25            .           .           .           .           .           .
1896     26            .           .           .           .           .           .
1896     27            .           .           .           .           .           .
1896     28            .           .           .           .           .           .
1896     29            .           .           .           .           .           .
1896     30            .           .           .           .           .           .
1896     31            .           .           .           .           .           .
1896     32            .           .           .           .           .           .
1896     33            .           .           .           .           .           .
1896     34            .           .           .           .           .           .
1896     35            .           .           .           .           .           .
1896     36            .           .           .           .           .           .
1896     37            .           .           .           .           .           .
1896     38            .           .           .           .           .           .
1896     39            .           .           .           .           .           .
1896     40            .           .           .           .           .           .
1896     41            .           .           .           .           .           .
1896     42            .           .           .           .           .           .
1896     43            .           .           .           .           .           .
1896     44            .           .           .           .           .           .
1896     45            .           .           .           .           .           .
1896     46            .           .           .           .           .           .
1896     47            .           .           .           .           .           .
1896     48            .           .           .           .           .           .
1896     49            .           .           .           .           .           .
1896     50            .           .           .           .           .           .
1896     51            .           .           .           .           .           .
1896     52            .           .           .           .           .           .
1896     53            .           .           .           .           .           .
1896     54         0.16        0.07        0.03        0.02        0.00        0.04
1896     55+        0.00        0.00        0.00        0.00        0.00        0.00
1897     12-           .           .           .           .           .           .
1897     13            .           .           .           .           .           .
1897     14            .           .           .           .           .           .
1897     15            .           .           .           .           .           .
1897     16            .           .           .           .           .           .
1897     17            .           .           .           .           .           .
1897     18            .           .           .           .           .           .
1897     19            .           .           .           .           .           .
1897     20            .           .           .           .           .           .
1897     21            .           .           .           .           .           .
1897     22            .           .           .           .           .           .
1897     23            .           .           .           .           .           .
1897     24            .           .           .           .           .           .
1897     25            .           .           .           .           .           .
1897     26            .           .           .           .           .           .
1897     27            .           .           .           .           .           .
1897     28            .           .           .           .           .           .
1897     29            .           .           .           .           .           .
1897     30            .           .           .           .           .           .
1897     31            .           .           .           .           .           .
1897     32            .           .           .           .           .           .
1897     33            .           .           .           .           .           .
1897     34            .           .           .           .           .           .
1897     35            .           .           .           .           .           .
1897     36            .           .           .           .           .           .
1897     37            .           .           .           .           .           .
1897     38            .           .           .           .           .           .
1897     39            .           .           .           .           .           .
1897     40            .           .           .           .           .           .
1897     41            .           .           .           .           .           .
1897     42            .           .           .           .           .           .
1897     43            .           .           .           .           .           .
1897     44            .           .           .           .           .           .
1897     45            .           .           .           .           .           .
1897     46            .           .           .           .           .           .
1897     47            .           .           .           .           .           .
1897     48            .           .           .           .           .           .
1897     49            .           .           .           .           .           .
1897     50            .           .           .           .           .           .
1897     51            .           .           .           .           .           .
1897     52            .           .           .           .           .           .
1897     53         0.51        0.20        0.08        0.04        0.00        0.19
1897     54         0.13        0.05        0.00        0.00        0.01        0.08
1897     55+        0.00        0.00        0.00        0.00        0.00        0.00
1898     12-           .           .           .           .           .           .
1898     13            .           .           .           .           .           .
1898     14            .           .           .           .           .           .
1898     15            .           .           .           .           .           .
1898     16            .           .           .           .           .           .
1898     17            .           .           .           .           .           .
1898     18            .           .           .           .           .           .
1898     19            .           .           .           .           .           .
1898     20            .           .           .           .           .           .
1898     21            .           .           .           .           .           .
1898     22            .           .           .           .           .           .
1898     23            .           .           .           .           .           .
1898     24            .           .           .           .           .           .
1898     25            .           .           .           .           .           .
1898     26            .           .           .           .           .           .
1898     27            .           .           .           .           .           .
1898     28            .           .           .           .           .           .
1898     29            .           .           .           .           .           .
1898     30            .           .           .           .           .           .
1898     31            .           .           .           .           .           .
1898     32            .           .           .           .           .           .
1898     33            .           .           .           .           .           .
1898     34            .           .           .           .           .           .
1898     35            .           .           .           .           .           .
1898     36            .           .           .           .           .           .
1898     37            .           .           .           .           .           .
1898     38            .           .           .           .           .           .
1898     39            .           .           .           .           .           .
1898     40            .           .           .           .           .           .
1898     41            .           .           .           .           .           .
1898     42            .           .           .           .           .           .
1898     43            .           .           .           .           .           .
1898     44            .           .           .           .           .           .
1898     45            .           .           .           .           .           .
1898     46            .           .           .           .           .           .
1898     47            .           .           .           .           .           .
1898     48            .           .           .           .           .           .
1898     49            .           .           .           .           .           .
1898     50            .           .           .           .           .           .
1898     51            .           .           .           .           .           .
1898     52         1.13        0.36        0.16        0.08        0.00        0.53
1898     53         0.40        0.09        0.00        0.00        0.04        0.27
1898     54         0.11        0.01        0.01        0.01        0.03        0.06
1898     55+        0.00        0.00        0.00        0.00        0.00        0.00
1899     12-           .           .           .           .           .           .
1899     13            .           .           .           .           .           .
1899     14            .           .           .           .           .           .
1899     15            .           .           .           .           .           .
1899     16            .           .           .           .           .           .
1899     17            .           .           .           .           .           .
1899     18            .           .           .           .           .           .
1899     19            .           .           .           .           .           .
1899     20            .           .           .           .           .           .
1899     21            .           .           .           .           .           .
1899     22            .           .           .           .           .           .
1899     23            .           .           .           .           .           .
1899     24            .           .           .           .           .           .
1899     25            .           .           .           .           .           .
1899     26            .           .           .           .           .           .
1899     27            .           .           .           .           .           .
1899     28            .           .           .           .           .           .
1899     29            .           .           .           .           .           .
1899     30            .           .           .           .           .           .
1899     31            .           .           .           .           .           .
1899     32            .           .           .           .           .           .
1899     33            .           .           .           .           .           .
1899     34            .           .           .           .           .           .
1899     35            .           .           .           .           .           .
1899     36            .           .           .           .           .           .
1899     37            .           .           .           .           .           .
1899     38            .           .           .           .           .           .
1899     39            .           .           .           .           .           .
1899     40            .           .           .           .           .           .
1899     41            .           .           .           .           .           .
1899     42            .           .           .           .           .           .
1899     43            .           .           .           .           .           .
1899     44            .           .           .           .           .           .
1899     45            .           .           .           .           .           .
1899     46            .           .           .           .           .           .
1899     47            .           .           .           .           .           .
1899     48            .           .           .           .           .           .
1899     49            .           .           .           .           .           .
1899     50            .           .           .           .           .           .
1899     51         2.25        0.55        0.28        0.14        0.00        1.29
1899     52         0.84        0.12        0.00        0.00        0.07        0.65
1899     53         0.42        0.05        0.04        0.04        0.10        0.18
1899     54         0.16        0.03        0.04        0.03        0.03        0.03
1899     55+        0.00        0.00        0.00        0.00        0.00        0.00
1900     12-           .           .           .           .           .           .
1900     13            .           .           .           .           .           .
1900     14            .           .           .           .           .           .
1900     15            .           .           .           .           .           .
1900     16            .           .           .           .           .           .
1900     17            .           .           .           .           .           .
1900     18            .           .           .           .           .           .
1900     19            .           .           .           .           .           .
1900     20            .           .           .           .           .           .
1900     21            .           .           .           .           .           .
1900     22            .           .           .           .           .           .
1900     23            .           .           .           .           .           .
1900     24            .           .           .           .           .           .
