Czechia, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 02/02/2023
Year  ARDY   Cohort       Total
1950    12-   1938+        0.01
1950    13    1937         0.63
1950    14    1936        12.23
1950    15    1935        72.44
1950    16    1934       343.39
1950    17    1933      1295.57
1950    18    1932      3244.96
1950    19    1931      6184.25
1950    20    1930      9516.48
1950    21    1929     11644.37
1950    22    1928     13281.90
1950    23    1927     13801.98
1950    24    1926     14247.82
1950    25    1925     14323.92
1950    26    1924     13739.70
1950    27    1923     12938.87
1950    28    1922     11557.65
1950    29    1921     10345.47
1950    30    1920      8424.82
1950    31    1919      6321.95
1950    32    1918      3367.70
1950    33    1917      2975.87
1950    34    1916      3046.07
1950    35    1915      3794.63
1950    36    1914      4765.08
1950    37    1913      4139.66
1950    38    1912      3614.02
1950    39    1911      3108.60
1950    40    1910      2535.88
1950    41    1909      1977.15
1950    42    1908      1434.76
1950    43    1907       984.13
1950    44    1906       624.11
1950    45    1905       335.32
1950    46    1904       187.68
1950    47    1903        87.38
1950    48    1902        37.12
1950    49    1901        14.55
1950    50    1900         6.43
1950    51    1899         3.42
1950    52    1898         1.79
1950    53    1897         0.85
1950    54    1896         0.34
1950    55+   1895-        0.04
1951    12-   1939+        0.01
1951    13    1938         0.43
1951    14    1937         8.94
1951    15    1936        64.72
1951    16    1935       312.43
1951    17    1934      1256.00
1951    18    1933      3261.36
1951    19    1932      6158.45
1951    20    1931      9481.02
1951    21    1930     12330.51
1951    22    1929     13252.20
1951    23    1928     13925.18
1951    24    1927     13839.85
1951    25    1926     13582.90
1951    26    1925     13067.00
1951    27    1924     12289.95
1951    28    1923     11571.30
1951    29    1922     10234.66
1951    30    1921      9112.86
1951    31    1920      7342.08
1951    32    1919      5449.25
1951    33    1918      2853.82
1951    34    1917      2470.99
1951    35    1916      2516.49
1951    36    1915      3088.80
1951    37    1914      3956.20
1951    38    1913      3544.43
1951    39    1912      2919.01
1951    40    1911      2318.14
1951    41    1910      1847.61
1951    42    1909      1394.75
1951    43    1908       929.88
1951    44    1907       553.57
1951    45    1906       332.08
1951    46    1905       171.15
1951    47    1904        79.52
1951    48    1903        31.00
1951    49    1902        11.56
1951    50    1901         4.83
1951    51    1900         2.63
1951    52    1899         1.42
1951    53    1898         0.71
1951    54    1897         0.29
1951    55+   1896-        0.04
1952    12-   1940+        0.01
1952    13    1939         0.51
1952    14    1938         9.24
1952    15    1937        55.14
1952    16    1936       271.23
1952    17    1935      1170.73
1952    18    1934      3101.01
1952    19    1933      5766.52
1952    20    1932      8993.20
1952    21    1931     11578.60
1952    22    1930     13322.41
1952    23    1929     13626.92
1952    24    1928     13599.21
1952    25    1927     12983.54
1952    26    1926     12572.93
1952    27    1925     11706.00
1952    28    1924     10740.36
1952    29    1923     10152.19
1952    30    1922      9074.66
1952    31    1921      7889.08
1952    32    1920      6248.98
1952    33    1919      4630.15
1952    34    1918      2412.29
1952    35    1917      2172.10
1952    36    1916      2220.29
1952    37    1915      2708.90
1952    38    1914      3262.06
1952    39    1913      2707.26
1952    40    1912      2227.16
1952    41    1911      1736.30
1952    42    1910      1274.98
1952    43    1909       829.58
1952    44    1908       516.48
1952    45    1907       316.10
1952    46    1906       168.92
1952    47    1905        63.92
1952    48    1904        21.83
1952    49    1903         6.63
1952    50    1902         2.53
1952    51    1901         1.44
1952    52    1900         0.85
1952    53    1899         0.47
1952    54    1898         0.20
1952    55+   1897-        0.03
1953    12-   1941+        0.01
1953    13    1940         0.39
1953    14    1939         7.47
1953    15    1938        55.46
1953    16    1937       244.66
1953    17    1936       920.70
1953    18    1935      2686.57
1953    19    1934      5412.49
1953    20    1933      8257.14
1953    21    1932     10897.30
1953    22    1931     12744.61
1953    23    1930     13659.04
1953    24    1929     13134.18
1953    25    1928     12667.83
1953    26    1927     11603.80
1953    27    1926     10766.72
1953    28    1925     10049.91
1953    29    1924      9417.37
1953    30    1923      8703.67
1953    31    1922      7667.64
1953    32    1921      6790.64
1953    33    1920      5533.62
1953    34    1919      4093.31
1953    35    1918      2075.74
1953    36    1917      1826.75
1953    37    1916      1829.46
1953    38    1915      2108.88
1953    39    1914      2517.85
1953    40    1913      2110.96
1953    41    1912      1632.17
1953    42    1911      1184.64
1953    43    1910       840.67
1953    44    1909       557.23
1953    45    1908       297.47
1953    46    1907       136.35
1953    47    1906        63.80
1953    48    1905        26.36
1953    49    1904        11.75
1953    50    1903         5.82
1953    51    1902         3.46
1953    52    1901         1.84
1953    53    1900         0.90
1953    54    1899         0.35
1953    55+   1898-        0.04
1954    12-   1942+        0.01
1954    13    1941         0.62
1954    14    1940        11.41
1954    15    1939        60.44
1954    16    1938       226.61
1954    17    1937       862.07
1954    18    1936      2433.45
1954    19    1935      5063.39
1954    20    1934      8114.92
1954    21    1933     10534.14
1954    22    1932     12406.19
1954    23    1931     13149.06
1954    24    1930     13397.39
1954    25    1929     12411.45
1954    26    1928     11519.22
1954    27    1927     10454.20
1954    28    1926      9680.73
1954    29    1925      8981.86
1954    30    1924      8202.56
1954    31    1923      7495.03
1954    32    1922      6669.63
1954    33    1921      5848.95
1954    34    1920      4641.74
1954    35    1919      3483.54
1954    36    1918      1767.70
1954    37    1917      1516.26
1954    38    1916      1484.24
1954    39    1915      1682.83
1954    40    1914      1936.35
1954    41    1913      1552.86
1954    42    1912      1118.45
1954    43    1911       757.55
1954    44    1910       474.14
1954    45    1909       245.71
1954    46    1908       120.74
1954    47    1907        54.68
1954    48    1906        23.39
1954    49    1905         8.90
1954    50    1904         4.38
1954    51    1903         2.60
1954    52    1902         1.47
1954    53    1901         0.75
1954    54    1900         0.31
1954    55+   1899-        0.04
1955    12-   1943+        0.01
1955    13    1942         0.43
1955    14    1941         8.74
1955    15    1940        66.85
1955    16    1939       296.12
1955    17    1938       983.49
1955    18    1937      2487.44
1955    19    1936      4908.81
1955    20    1935      7822.24
1955    21    1934     10396.46
1955    22    1933     12025.07
1955    23    1932     12829.50
1955    24    1931     12818.83
1955    25    1930     12633.21
1955    26    1929     11400.91
1955    27    1928     10358.79
1955    28    1927      9453.74
1955    29    1926      8805.33
1955    30    1925      7887.08
1955    31    1924      7278.78
1955    32    1923      6611.45
1955    33    1922      5693.20
1955    34    1921      5027.41
1955    35    1920      3960.02
1955    36    1919      2888.15
1955    37    1918      1430.16
1955    38    1917      1217.36
1955    39    1916      1165.30
1955    40    1915      1298.73
1955    41    1914      1414.88
1955    42    1913      1031.04
1955    43    1912       726.05
1955    44    1911       452.34
1955    45    1910       254.18
1955    46    1909       129.61
1955    47    1908        61.13
1955    48    1907        27.02
1955    49    1906        11.92
1955    50    1905         5.62
1955    51    1904         3.43
1955    52    1903         1.86
1955    53    1902         0.93
1955    54    1901         0.37
1955    55+   1900-        0.04
1956    12-   1944+        0.01
1956    13    1943         0.61
1956    14    1942        11.13
1956    15    1941        72.96
1956    16    1940       378.89
1956    17    1939      1231.24
1956    18    1938      2721.79
1956    19    1937      5274.53
1956    20    1936      7930.29
1956    21    1935     10180.76
1956    22    1934     11795.68
1956    23    1933     12328.06
1956    24    1932     12559.40
1956    25    1931     12169.08
1956    26    1930     11476.29
1956    27    1929     10026.52
1956    28    1928      9151.79
1956    29    1927      8328.14
1956    30    1926      7535.99
1956    31    1925      6728.22
1956    32    1924      6003.69
1956    33    1923      5539.12
1956    34    1922      4830.73
1956    35    1921      4220.40
1956    36    1920      3328.32
1956    37    1919      2381.16
1956    38    1918      1158.71
1956    39    1917       910.70
1956    40    1916       871.34
1956    41    1915       953.77
1956    42    1914       955.78
1956    43    1913       616.58
1956    44    1912       398.79
1956    45    1911       246.78
1956    46    1910       121.32
1956    47    1909        47.01
1956    48    1908        14.94
1956    49    1907         4.40
1956    50    1906         1.73
1956    51    1905         1.02
1956    52    1904         0.66
1956    53    1903         0.39
1956    54    1902         0.19
1956    55+   1901-        0.02
1957    12-   1945+        0.01
1957    13    1944         0.50
1957    14    1943        10.44
1957    15    1942        66.13
1957    16    1941       360.69
1957    17    1940      1466.53
1957    18    1939      3215.07
1957    19    1938      5489.43
1957    20    1937      8063.94
1957    21    1936      9947.45
1957    22    1935     11408.65
1957    23    1934     11955.84
1957    24    1933     11700.12
1957    25    1932     11324.58
1957    26    1931     10577.98
1957    27    1930      9851.22
1957    28    1929      8503.44
1957    29    1928      7678.18
1957    30    1927      6853.85
1957    31    1926      6265.38
1957    32    1925      5646.48
1957    33    1924      4985.04
1957    34    1923      4521.10
1957    35    1922      3880.02
