Czechia, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 02/02/2023
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1950    12-   1938+        0.01        0.01        0.00        0.00        0.00        0.00
1950    13    1937         0.63        0.51        0.12        0.00        0.00        0.00
1950    14    1936        12.23       10.93        1.29        0.00        0.00        0.00
1950    15    1935        72.44       68.25        4.18        0.00        0.00        0.00
1950    16    1934       343.39      328.24       14.60        0.56        0.00        0.00
1950    17    1933      1295.57     1204.36       81.34        9.59        0.28        0.00
1950    18    1932      3244.96     2874.25      337.95       28.29        4.47        0.00
1950    19    1931      6184.25     5085.50      981.06      106.85       10.69        0.14
1950    20    1930      9516.48     7084.56     2075.96      320.38       32.59        2.99
1950    21    1929     11644.37     7755.85     3144.61      652.67       79.41       11.82
1950    22    1928     13281.90     7878.50     4150.87     1048.78      171.47       32.27
1950    23    1927     13801.98     7305.66     4711.39     1412.53      307.01       65.38
1950    24    1926     14247.82     6540.18     5249.18     1838.89      483.59      135.98
1950    25    1925     14323.92     5626.21     5610.51     2189.48      665.44      232.27
1950    26    1924     13739.70     4648.66     5418.36     2449.12      853.16      370.39
1950    27    1923     12938.87     3772.47     4976.36     2643.85     1002.93      543.26
1950    28    1922     11557.65     2792.35     4349.96     2624.84     1074.10      716.41
1950    29    1921     10345.47     2101.40     3665.74     2501.50     1172.92      903.91
1950    30    1920      8424.82     1493.34     2747.41     2114.03     1124.57      945.47
1950    31    1919      6321.95      938.81     1898.50     1640.81      950.84      892.99
1950    32    1918      3367.70      438.25      925.76      878.42      538.41      586.87
1950    33    1917      2975.87      368.10      783.55      780.62      479.78      563.82
1950    34    1916      3046.07      355.28      730.57      806.00      521.25      632.96
1950    35    1915      3794.63      396.73      853.68      977.33      671.11      895.79
1950    36    1914      4765.08      444.08     1026.24     1193.16      837.06     1264.53
1950    37    1913      4139.66      385.22      808.68      996.63      744.95     1204.16
1950    38    1912      3614.02      349.78      661.44      842.06      642.22     1118.50
1950    39    1911      3108.60      283.58      526.99      706.27      551.57     1040.18
1950    40    1910      2535.88      207.68      398.05      547.94      431.17      951.04
1950    41    1909      1977.15      168.14      305.91      381.16      312.02      809.91
1950    42    1908      1434.76      121.54      204.38      257.11      227.02      624.68
1950    43    1907       984.13       74.79      122.36      170.04      153.09      463.85
1950    44    1906       624.11       49.48       72.35      103.78       82.41      316.09
1950    45    1905       335.32       20.50       37.38       58.98       49.73      168.73
1950    46    1904       187.68        7.51       22.84       33.05       34.34       89.94
1950    47    1903        87.38        4.23       12.43       14.86       11.05       44.82
1950    48    1902        37.12        2.67        6.00        5.57        2.19       20.69
1950    49    1901        14.55        1.71        2.46        1.75        0.35        8.28
1950    50    1900         6.43        1.29        1.12        0.63        0.03        3.36
1950    51    1899         3.42        0.98        0.66        0.33        0.00        1.47
1950    52    1898         1.79        0.61        0.39        0.19        0.00        0.60
1950    53    1897         0.85        0.33        0.21        0.10        0.00        0.21
1950    54    1896         0.34        0.14        0.09        0.05        0.00        0.06
1950    55+   1895-        0.04        0.02        0.01        0.01        0.00        0.01
1951    12-   1939+        0.01        0.01        0.00        0.00        0.00        0.00
1951    13    1938         0.43        0.43        0.00        0.00        0.00        0.00
1951    14    1937         8.94        8.94        0.00        0.00        0.00        0.00
1951    15    1936        64.72       63.24        1.48        0.00        0.00        0.00
1951    16    1935       312.43      288.61       23.40        0.42        0.00        0.00
1951    17    1934      1256.00     1168.38       80.06        7.41        0.15        0.00
1951    18    1933      3261.36     2895.39      341.66       22.16        2.15        0.00
1951    19    1932      6158.45     5037.55     1015.66       96.11        8.39        0.74
1951    20    1931      9481.02     7089.24     2015.08      329.70       39.79        7.20
1951    21    1930     12330.51     8291.26     3218.51      709.71      100.47       10.56
1951    22    1929     13252.20     7807.63     4095.22     1120.88      194.71       33.77
1951    23    1928     13925.18     7186.46     4726.75     1567.39      365.69       78.89
1951    24    1927     13839.85     6320.44     5032.31     1813.79      534.89      138.42
1951    25    1926     13582.90     5448.23     5158.81     2062.96      680.12      232.79
1951    26    1925     13067.00     4419.58     5079.90     2351.67      834.23      381.61
1951    27    1924     12289.95     3469.51     4732.14     2533.50     1002.55      552.26
1951    28    1923     11571.30     2799.55     4291.35     2588.00     1175.00      717.39
1951    29    1922     10234.66     2115.89     3535.90     2488.95     1195.98      897.95
1951    30    1921      9112.86     1607.18     2897.19     2331.71     1202.87     1073.92
1951    31    1920      7342.08     1073.87     2171.45     1884.19     1114.13     1098.43
1951    32    1919      5449.25      692.96     1476.32     1400.99      901.90      977.08
1951    33    1918      2853.82      345.16      723.77      723.98      476.70      584.22
1951    34    1917      2470.99      273.58      573.84      621.39      430.30      571.88
1951    35    1916      2516.49      259.36      523.78      652.99      445.07      635.30
1951    36    1915      3088.80      296.07      607.15      782.38      548.36      854.84
1951    37    1914      3956.20      350.57      696.69      952.27      728.11     1228.55
1951    38    1913      3544.43      294.30      585.74      820.94      642.35     1201.09
1951    39    1912      2919.01      224.08      461.64      645.63      539.40     1048.25
1951    40    1911      2318.14      190.40      342.98      504.66      415.88      864.22
1951    41    1910      1847.61      141.78      282.49      374.80      325.63      722.90
1951    42    1909      1394.75       98.79      195.36      247.20      242.51      610.88
1951    43    1908       929.88       68.99      110.18      164.88      161.47      424.35
1951    44    1907       553.57       38.89       63.46       99.53       94.71      256.99
1951    45    1906       332.08       20.47       40.51       59.82       52.56      158.71
1951    46    1905       171.15        9.87       22.30       32.36       23.10       83.52
1951    47    1904        79.52        5.16        9.05       11.23        7.00       47.09
1951    48    1903        31.00        2.17        2.47        2.42        1.37       22.57
1951    49    1902        11.56        0.80        0.58        0.45        0.23        9.52
1951    50    1901         4.83        0.36        0.06        0.04        0.02        4.36
1951    51    1900         2.63        0.27        0.00        0.00        0.00        2.36
