Czechia, Crude birth rate
Last modified: 02/02/2023
Year      CBR
1950    21.12
1951    20.62
1952    19.84
1953    18.85
1954    18.26
1955    17.85
1956    17.36
1957    16.50
1958    14.97
1959    13.56
1960    13.51
1961    13.69
1962    13.92
1963    15.47
1964    15.97
1965    15.19
1966    14.50
1967    14.19
1968    14.06
1969    14.63
1970    15.09
1971    15.70
1972    16.61
1973    18.36
1974    19.49
1975    19.12
1976    18.57
1977    17.91
1978    17.54
1979    16.80
1980    14.97
1981    14.04
1982    13.77
1983    13.34
1984    13.29
1985    13.19
1986    12.94
1987    12.71
1988    12.87
1989    12.45
1990    12.67
1991    12.55
1992    11.80
1993    11.73
1994    10.32
1995     9.32
1996     8.78
1997     8.82
1998     8.82
1999     8.73
2000     8.88
2001     8.87
2002     9.06
2003     9.14
2004     9.52
2005     9.94
2006    10.27
2007    11.09
2008    11.52
2009    11.36
2010    11.20
2011    10.35
2012    10.33
2013    10.16
2014    10.45
2015    10.53
2016    10.70
2017    10.86
2018    10.81
2019    10.64
2020    10.45
2021    10.62
