Czechia, Crude birth rate by birth order
Last modified: 02/02/2023
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1950    21.12     7.98     6.38     3.40     1.59     1.76
1951    20.62     7.82     6.13     3.33     1.61     1.73
1952    19.84     7.55     5.85     3.19     1.59     1.66
1953    18.85     6.91     5.66     3.13     1.54     1.61
1954    18.26     6.57     5.67     2.99     1.47     1.56
1955    17.85     6.38     5.59     2.92     1.43     1.53
1956    17.36     6.33     5.42     2.77     1.37     1.47
1957    16.50     6.18     5.10     2.56     1.25     1.41
1958    14.97     5.91     4.83     2.22     0.96     1.05
1959    13.56     5.86     4.53     1.80     0.67     0.70
1960    13.51     6.02     4.45     1.73     0.64     0.67
1961    13.69     6.24     4.54     1.70     0.60     0.61
1962    13.92     6.46     4.62     1.74     0.56     0.55
1963    15.47     7.02     5.22     1.99     0.62     0.61
1964    15.97     7.17     5.37     2.14     0.67     0.62
1965    15.19     6.96     5.09     1.90     0.64     0.60
1966    14.50     6.93     4.83     1.66     0.55     0.54
1967    14.19     7.13     4.65     1.47     0.46     0.47
1968    14.06     7.23     4.62     1.36     0.44     0.41
1969    14.63     7.51     4.86     1.41     0.45     0.41
1970    15.09     7.66     5.25     1.42     0.41     0.36
1971    15.70     7.73     5.74     1.48     0.43     0.33
1972    16.61     7.76     6.41     1.68     0.44     0.33
1973    18.36     7.85     7.61     2.05     0.50     0.34
1974    19.49     8.18     8.05     2.38     0.55     0.33
1975    19.12     8.04     7.80     2.45     0.53     0.30
1976    18.57     7.76     7.51     2.45     0.55     0.30
1977    17.91     7.42     7.26     2.40     0.55     0.28
1978    17.54     7.20     7.08     2.43     0.55     0.28
1979    16.80     6.82     6.78     2.42     0.53     0.25
1980    14.97     6.29     5.97     2.02     0.47     0.23
1981    14.04     5.91     5.60     1.87     0.44     0.22
1982    13.77     5.90     5.39     1.83     0.44     0.22
1983    13.34     5.96     5.03     1.73     0.41     0.20
1984    13.29     6.09     4.97     1.64     0.40     0.20
1985    13.19     6.08     4.95     1.58     0.39     0.19
1986    12.94     6.00     4.86     1.53     0.37     0.18
1987    12.71     5.93     4.79     1.44     0.37     0.17
1988    12.87     6.00     4.84     1.50     0.37     0.16
1989    12.45     5.91     4.65     1.40     0.34     0.16
1990    12.67     6.06     4.71     1.40     0.34     0.16
1991    12.55     6.28     4.46     1.31     0.34     0.16
1992    11.80     5.88     4.23     1.22     0.32     0.16
1993    11.73     5.69     4.31     1.21     0.34     0.18
1994    10.32     4.92     3.81     1.11     0.31     0.16
1995     9.32     4.32     3.59     0.97     0.29     0.15
1996     8.78     4.09     3.38     0.90     0.27     0.15
1997     8.82     4.16     3.36     0.90     0.24     0.15
1998     8.82     4.20     3.35     0.88     0.24     0.15
1999     8.73     4.20     3.28     0.87     0.24     0.14
2000     8.88     4.29     3.31     0.89     0.24     0.15
2001     8.87     4.24     3.34     0.90     0.24     0.14
2002     9.06     4.37     3.36     0.93     0.25     0.15
2003     9.14     4.43     3.40     0.93     0.24     0.14
2004     9.52     4.68     3.48     0.96     0.25     0.14
2005     9.94     4.86     3.70     1.00     0.25     0.14
2006    10.27     5.03     3.79     1.04     0.26     0.16
2007    11.09     5.23     4.20     1.21     0.29     0.16
2008    11.52     5.49     4.36     1.23     0.28     0.16
2009    11.36     5.38     4.34     1.19     0.29     0.16
2010    11.20     5.19     4.35     1.20     0.29     0.17
2011    10.35     4.86     4.02     1.06     0.27     0.15
2012    10.33     4.90     3.98     1.04     0.25     0.16
2013    10.16     4.86     3.81     1.06     0.26     0.16
2014    10.45     4.96     3.92     1.12     0.28     0.17
2015    10.53     5.06     3.92     1.10     0.27     0.17
2016    10.70     5.22     3.92     1.12     0.28     0.16
2017    10.86     5.29     3.97     1.14     0.29     0.17
2018    10.81     5.19     4.03     1.13     0.29     0.18
2019    10.64     5.08     4.00     1.12     0.27     0.17
2020    10.45     4.97     3.93     1.11     0.26     0.18
2021    10.62     4.93     4.14     1.12     0.26     0.16
