Czechia, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 02/02/2023
Cohort  Age     CCFR
1935    12         .
1935    13         .
1935    14         .
1935    15     0.000
1935    16     0.002
1935    17     0.013
1935    18     0.045
1935    19     0.113
1935    20     0.230
1935    21     0.395
1935    22     0.594
1935    23     0.801
1935    24     0.993
1935    25     1.167
1935    26     1.322
1935    27     1.459
1935    28     1.585
1935    29     1.701
1935    30     1.798
1935    31     1.872
1935    32     1.927
1935    33     1.968
1935    34     2.001
1935    35     2.027
1935    36     2.048
1935    37     2.066
1935    38     2.080
1935    39     2.092
1935    40     2.100
1935    41     2.105
1935    42     2.109
1935    43     2.111
1935    44     2.112
1935    45     2.113
1935    46     2.113
1935    47     2.113
1935    48     2.113
1935    49     2.113
1935    50     2.113
1935    51     2.113
1935    52     2.113
1935    53     2.113
1935    54     2.113
1935    55     2.113
1936    12         .
1936    13         .
1936    14     0.000
1936    15     0.000
1936    16     0.003
1936    17     0.011
1936    18     0.039
1936    19     0.105
1936    20     0.225
1936    21     0.392
1936    22     0.586
1936    23     0.785
1936    24     0.972
1936    25     1.146
1936    26     1.303
1936    27     1.449
1936    28     1.584
1936    29     1.698
1936    30     1.786
1936    31     1.852
1936    32     1.903
1936    33     1.943
1936    34     1.977
1936    35     2.003
1936    36     2.026
1936    37     2.044
1936    38     2.060
1936    39     2.071
1936    40     2.079
1936    41     2.084
1936    42     2.088
1936    43     2.090
1936    44     2.091
1936    45     2.092
1936    46     2.092
1936    47     2.092
1936    48     2.092
1936    49     2.092
1936    50     2.092
1936    51     2.092
1936    52     2.092
1936    53     2.092
1936    54     2.092
1936    55     2.092
1937    12         .
1937    13     0.000
1937    14     0.000
1937    15     0.000
1937    16     0.002
1937    17     0.010
1937    18     0.038
1937    19     0.107
1937    20     0.233
1937    21     0.400
1937    22     0.592
1937    23     0.788
1937    24     0.979
1937    25     1.157
1937    26     1.324
1937    27     1.479
1937    28     1.612
1937    29     1.715
1937    30     1.796
1937    31     1.857
1937    32     1.906
1937    33     1.946
1937    34     1.982
1937    35     2.011
1937    36     2.036
1937    37     2.057
1937    38     2.073
1937    39     2.085
1937    40     2.093
1937    41     2.098
1937    42     2.101
1937    43     2.103
1937    44     2.104
1937    45     2.104
1937    46     2.105
1937    47     2.105
1937    48     2.105
1937    49     2.105
1937    50     2.105
1937    51     2.105
1937    52     2.105
1937    53     2.105
1937    54     2.105
1937    55     2.105
1938    12     0.000
1938    13     0.000
1938    14     0.000
1938    15     0.000
1938    16     0.002
1938    17     0.011
1938    18     0.041
1938    19     0.113
1938    20     0.238
1938    21     0.404
1938    22     0.594
1938    23     0.791
1938    24     0.983
1938    25     1.168
1938    26     1.342
1938    27     1.488
1938    28     1.607
1938    29     1.700
1938    30     1.775
1938    31     1.834
1938    32     1.883
1938    33     1.925
1938    34     1.962
1938    35     1.994
1938    36     2.022
1938    37     2.043
1938    38     2.060
1938    39     2.072
1938    40     2.080
1938    41     2.085
1938    42     2.088
1938    43     2.089
1938    44     2.090
1938    45     2.091
1938    46     2.091
1938    47     2.091
1938    48     2.091
1938    49     2.091
1938    50     2.091
1938    51     2.091
1938    52     2.091
1938    53     2.091
1938    54     2.091
1938    55     2.091
1939    12     0.000
1939    13     0.000
1939    14     0.000
1939    15     0.000
1939    16     0.003
1939    17     0.014
1939    18     0.049
1939    19     0.123
1939    20     0.250
1939    21     0.421
1939    22     0.613
1939    23     0.815
1939    24     1.014
1939    25     1.203
1939    26     1.367
1939    27     1.500
1939    28     1.607
1939    29     1.694
1939    30     1.764
1939    31     1.825
1939    32     1.875
1939    33     1.920
1939    34     1.960
1939    35     1.995
1939    36     2.023
1939    37     2.044
1939    38     2.060
1939    39     2.071
1939    40     2.078
1939    41     2.083
1939    42     2.086
1939    43     2.088
1939    44     2.089
1939    45     2.089
1939    46     2.090
1939    47     2.090
1939    48     2.090
1939    49     2.090
1939    50     2.090
1939    51     2.090
1939    52     2.090
1939    53     2.090
1939    54     2.090
1939    55     2.090
1940    12     0.000
1940    13     0.000
1940    14     0.000
1940    15     0.000
1940    16     0.003
1940    17     0.015
1940    18     0.050
1940    19     0.123
1940    20     0.254
1940    21     0.431
1940    22     0.632
1940    23     0.844
1940    24     1.051
1940    25     1.234
1940    26     1.383
1940    27     1.508
1940    28     1.607
1940    29     1.692
1940    30     1.763
1940    31     1.827
1940    32     1.882
1940    33     1.930
1940    34     1.974
1940    35     2.010
1940    36     2.038
1940    37     2.059
1940    38     2.074
1940    39     2.085
1940    40     2.091
1940    41     2.096
1940    42     2.099
1940    43     2.101
1940    44     2.102
1940    45     2.102
1940    46     2.102
1940    47     2.102
1940    48     2.102
1940    49     2.102
1940    50     2.102
1940    51     2.102
1940    52     2.102
1940    53     2.102
1940    54     2.102
1940    55     2.102
1941    12     0.000
1941    13     0.000
1941    14     0.000
1941    15     0.000
1941    16     0.002
1941    17     0.012
1941    18     0.043
1941    19     0.115
1941    20     0.244
1941    21     0.421
1941    22     0.628
1941    23     0.841
1941    24     1.036
1941    25     1.203
1941    26     1.341
1941    27     1.458
1941    28     1.555
1941    29     1.641
1941    30     1.716
1941    31     1.783
1941    32     1.843
1941    33     1.897
1941    34     1.943
1941    35     1.977
1941    36     2.004
1941    37     2.024
1941    38     2.039
1941    39     2.048
1941    40     2.055
1941    41     2.059
1941    42     2.061
1941    43     2.063
1941    44     2.063
1941    45     2.064
1941    46     2.064
1941    47     2.064
1941    48     2.064
1941    49     2.064
1941    50     2.064
1941    51     2.064
1941    52     2.064
1941    53     2.064
1941    54     2.064
1941    55     2.064
1942    12     0.000
1942    13     0.000
1942    14     0.000
1942    15     0.000
1942    16     0.002
1942    17     0.010
1942    18     0.037
1942    19     0.107
1942    20     0.237
1942    21     0.418
1942    22     0.629
1942    23     0.831
1942    24     1.010
1942    25     1.166
1942    26     1.298
1942    27     1.412
1942    28     1.512
1942    29     1.602
1942    30     1.683
1942    31     1.757
1942    32     1.824
1942    33     1.880
1942    34     1.924
1942    35     1.957
1942    36     1.983
1942    37     2.003
1942    38     2.016
1942    39     2.025
1942    40     2.031
1942    41     2.035
1942    42     2.037
1942    43     2.038
1942    44     2.039
1942    45     2.039
1942    46     2.040
1942    47     2.040
1942    48     2.040
1942    49     2.040
1942    50     2.040
1942    51     2.040
1942    52     2.040
1942    53     2.040
1942    54     2.040
1942    55     2.040
1943    12     0.000
1943    13     0.000
1943    14     0.000
1943    15     0.000
1943    16     0.002
1943    17     0.009
1943    18     0.037
1943    19     0.108
1943    20     0.246
1943    21     0.437
1943    22     0.644
1943    23     0.837
1943    24     1.009
1943    25     1.161
1943    26     1.294
1943    27     1.412
1943    28     1.518
1943    29     1.614
1943    30     1.704
1943    31     1.787
1943    32     1.856
1943    33     1.910
1943    34     1.952
1943    35     1.986
1943    36     2.013
1943    37     2.030
1943    38     2.042
1943    39     2.051
1943    40     2.057
1943    41     2.061
1943    42     2.063
1943    43     2.064
1943    44     2.065
1943    45     2.065
1943    46     2.066
1943    47     2.066
1943    48     2.066
1943    49     2.066
1943    50     2.066
1943    51     2.066
1943    52     2.066
1943    53     2.066
1943    54     2.066
1943    55     2.066
1944    12     0.000
1944    13     0.000
1944    14     0.000
1944    15     0.000
1944    16     0.001
1944    17     0.009
1944    18     0.035
1944    19     0.109
1944    20     0.252
1944    21     0.438
1944    22     0.633
1944    23     0.817
1944    24     0.983
1944    25     1.132
1944    26     1.267
1944    27     1.391
1944    28     1.502
1944    29     1.605
1944    30     1.702
1944    31     1.783
1944    32     1.849
1944    33     1.901
1944    34     1.942
1944    35     1.974
1944    36     1.997
1944    37     2.013
1944    38     2.025
1944    39     2.033
1944    40     2.038
1944    41     2.042
1944    42     2.044
1944    43     2.045
1944    44     2.046
1944    45     2.046
1944    46     2.046
1944    47     2.046
1944    48     2.046
1944    49     2.046
1944    50     2.046
1944    51     2.046
1944    52     2.046
1944    53     2.046
1944    54     2.046
1944    55     2.046
1945    12     0.000
1945    13     0.000
1945    14     0.000
1945    15     0.000
1945    16     0.001
1945    17     0.008
1945    18     0.036
1945    19     0.112
1945    20     0.250
1945    21     0.428
1945    22     0.615
1945    23     0.792
1945    24     0.955
1945    25     1.104
1945    26     1.242
1945    27     1.371
1945    28     1.490
1945    29     1.603
1945    30     1.699
1945    31     1.776
1945    32     1.838
1945    33     1.886
1945    34     1.926
1945    35     1.955
1945    36     1.975
1945    37     1.990
1945    38     2.001
1945    39     2.009
1945    40     2.014
1945    41     2.017
1945    42     2.019
1945    43     2.021
1945    44     2.021
1945    45     2.022
1945    46     2.022
1945    47     2.022
1945    48     2.022
1945    49     2.022
1945    50     2.022
1945    51     2.022
1945    52     2.022
1945    53     2.022
1945    54     2.022
1945    55     2.022
1946    12     0.000
1946    13     0.000
1946    14     0.000
1946    15     0.000
1946    16     0.001
1946    17     0.008
1946    18     0.035
1946    19     0.108
1946    20     0.240
1946    21     0.415
1946    22     0.600
1946    23     0.780
1946    24     0.950
1946    25     1.108
1946    26     1.257
1946    27     1.401
1946    28     1.536
1946    29     1.653
1946    30     1.749
1946    31     1.825
1946    32     1.886
1946    33     1.935
1946    34     1.972
1946    35     1.999
1946    36     2.018
1946    37     2.034
1946    38     2.044
1946    39     2.052
1946    40     2.057
1946    41     2.060
1946    42     2.062
1946    43     2.064
1946    44     2.064
1946    45     2.065
1946    46     2.065
1946    47     2.065
1946    48     2.065
1946    49     2.065
1946    50     2.065
1946    51     2.065
1946    52     2.065
1946    53     2.065
1946    54     2.065
1946    55     2.065
1947    12     0.000
1947    13     0.000
1947    14     0.000
1947    15     0.000
1947    16     0.001
1947    17     0.008
1947    18     0.034
1947    19     0.104
1947    20     0.234
1947    21     0.404
1947    22     0.589
1947    23     0.773
1947    24     0.948
1947    25     1.116
1947    26     1.281
1947    27     1.440
1947    28     1.579
1947    29     1.693
1947    30     1.785
1947    31     1.859
1947    32     1.919
1947    33     1.964
1947    34     1.996
1947    35     2.022
1947    36     2.040
1947    37     2.055
1947    38     2.065
1947    39     2.073
1947    40     2.078
1947    41     2.082
1947    42     2.084
1947    43     2.085
1947    44     2.086
1947    45     2.086
1947    46     2.086
1947    47     2.086
1947    48     2.086
1947    49     2.086
1947    50     2.086
1947    51     2.086
1947    52     2.086
1947    53     2.086
1947    54     2.086
1947    55     2.086
1948    12     0.000
1948    13     0.000
1948    14     0.000
1948    15     0.000
1948    16     0.001
1948    17     0.008
1948    18     0.034
1948    19     0.102
1948    20     0.230
1948    21     0.401
1948    22     0.588
1948    23     0.773
1948    24     0.954
1948    25     1.138
1948    26     1.317
1948    27     1.476
1948    28     1.608
1948    29     1.717
1948    30     1.804
1948    31     1.875
1948    32     1.930
1948    33     1.969
1948    34     2.000
1948    35     2.024
1948    36     2.043
1948    37     2.056
1948    38     2.066
1948    39     2.074
1948    40     2.079
1948    41     2.082
1948    42     2.084
1948    43     2.086
1948    44     2.086
1948    45     2.087
1948    46     2.087
1948    47     2.087
1948    48     2.087
1948    49     2.087
1948    50     2.087
1948    51     2.087
1948    52     2.087
1948    53     2.087
1948    54     2.087
1948    55     2.087
1949    12     0.000
1949    13     0.000
1949    14     0.000
1949    15     0.000
1949    16     0.001
1949    17     0.009
1949    18     0.035
1949    19     0.103
1949    20     0.231
1949    21     0.405
1949    22     0.592
1949    23     0.784
1949    24     0.981
1949    25     1.179
1949    26     1.359
1949    27     1.512
1949    28     1.639
1949    29     1.744
1949    30     1.829
1949    31     1.894
1949    32     1.943
1949    33     1.981
1949    34     2.011
1949    35     2.034
1949    36     2.053
1949    37     2.067
1949    38     2.077
1949    39     2.084
1949    40     2.090
1949    41     2.093
1949    42     2.095
1949    43     2.097
1949    44     2.098
1949    45     2.098
1949    46     2.098
1949    47     2.098
1949    48     2.098
1949    49     2.098
1949    50     2.098
1949    51     2.098
1949    52     2.098
1949    53     2.098
1949    54     2.098
1949    55     2.098
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.000
1950    16     0.001
1950    17     0.008
1950    18     0.034
1950    19     0.104
1950    20     0.235
1950    21     0.408
1950    22     0.601
1950    23     0.810
1950    24     1.023
1950    25     1.225
1950    26     1.398
1950    27     1.545
1950    28     1.668
1950    29     1.769
1950    30     1.848
1950    31     1.906
1950    32     1.953
1950    33     1.990
1950    34     2.019
1950    35     2.042
1950    36     2.061
1950    37     2.075
1950    38     2.086
1950    39     2.094
1950    40     2.099
1950    41     2.103
1950    42     2.105
1950    43     2.107
1950    44     2.108
1950    45     2.108
1950    46     2.108
1950    47     2.108
1950    48     2.108
1950    49     2.108
1950    50     2.108
1950    51     2.108
1950    52     2.108
1950    53     2.108
1950    54     2.108
1950    55     2.108
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.000
1951    16     0.001
1951    17     0.008
1951    18     0.034
1951    19     0.104
1951    20     0.233
1951    21     0.407
1951    22     0.609
1951    23     0.833
1951    24     1.053
1951    25     1.250
1951    26     1.419
1951    27     1.563
1951    28     1.683
1951    29     1.776
1951    30     1.848
1951    31     1.905
1951    32     1.950
1951    33     1.986
1951    34     2.016
1951    35     2.039
1951    36     2.058
1951    37     2.073
1951    38     2.084
1951    39     2.091
1951    40     2.097
1951    41     2.102
1951    42     2.104
1951    43     2.106
1951    44     2.106
1951    45     2.107
1951    46     2.107
1951    47     2.107
1951    48     2.107
1951    49     2.107
1951    50     2.107
1951    51     2.107
1951    52     2.107
1951    53     2.107
1951    54     2.107
1951    55     2.107
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.000
1952    16     0.001
1952    17     0.008
1952    18     0.035
1952    19     0.104
1952    20     0.232
1952    21     0.411
1952    22     0.626
1952    23     0.854
1952    24     1.070
