Czechia, Cohort fertility tables, birth orders 1 to 5+
Last modified: 02/02/2023
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1935    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1935    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1935    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1935    15    22   10000   0.00217   0.00217      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1935    16    98    9978   0.00987   0.00982     22     6     22   0.09435   0.29341      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1935    17   296    9880   0.03042   0.02997    120    23    113   0.09223   0.20330      6      1      6   0.03378   0.09328      0      0      0         .         .      0      0      0         .         .       0        .
1935    18   599    9584   0.06451   0.06249    416    75    386   0.11532   0.19354     29      5     29   0.07429   0.16456      1      1      1         .         .      0      0      0         .         .       0        .
1935    19   974    8985   0.11461   0.10839   1015   177    911   0.13555   0.19484    104     20     99   0.11000   0.19783      5      1      5   0.08469   0.24877      1      0      1   0.25829   0.51466       0     4.00
1935    20  1223    8011   0.16524   0.15263   1989   364   1707   0.17013   0.21295    282     57    257   0.13960   0.22289     25      6     23   0.12184   0.25695      2      1      2   0.20064   0.53654       0     4.17
1935    21  1298    6789   0.21134   0.19114   3211   551   2566   0.18746   0.21473    645    115    563   0.14778   0.20496     82     21     74   0.16868   0.27620      8      3      8   0.14490   0.33786       1     4.16
1935    22  1157    5491   0.23556   0.21074   4509   702   3313   0.19827   0.21189   1196    172    999   0.13580   0.17186    198     34    169   0.14395   0.20237     28      8     28   0.16975   0.27261       4     4.14
1935    23   928    4334   0.23989   0.21419   5666   739   3768   0.19119   0.19600   1898    198   1529   0.10981   0.12923    369     41    307   0.10744   0.13482     63     14     63   0.16826   0.22390      12     4.19
1935    24   716    3406   0.23507   0.21034   6594   735   3958   0.18620   0.18575   2637    210   2070   0.09021   0.10165    567     54    463   0.09956   0.11639    104     21    104   0.16126   0.20309      26     4.25
1935    25   538    2689   0.22240   0.20015   7311   703   3939   0.18232   0.17850   3372    226   2595   0.07963   0.08696    777     60    619   0.08505   0.09644    158     27    158   0.14607   0.17373      47     4.30
1935    26   387    2151   0.19753   0.17977   7849   648   3774   0.17795   0.17178   4075    237   3072   0.07229   0.07713   1003     64    785   0.07400   0.08212    217     37    217   0.14844   0.17045      74     4.34
1935    27   275    1764   0.16884   0.15570   8236   603   3512   0.17998   0.17158   4723    266   3484   0.07278   0.07630   1240     73    958   0.06921   0.07617    282     40    282   0.12500   0.14117     111     4.39
1935    28   206    1490   0.14889   0.13858   8510   551   3184   0.18308   0.17316   5326    274   3820   0.06916   0.07167   1506     78   1151   0.06288   0.06821    355     51    355   0.12859   0.14281     151     4.43
1935    29   148    1283   0.12236   0.11531   8717   425   2839   0.15753   0.14983   5877    247   4098   0.05893   0.06022   1779     89   1346   0.06234   0.06600    433     56    433   0.11776   0.12983     202     4.47
1935    30   107    1135   0.09930   0.09460   8865   302   2562   0.12268   0.11801   6303    200   4277   0.04617   0.04673   2026     74   1504   0.04739   0.04937    522     56    522   0.10051   0.10765     258     4.49
1935    31    68    1028   0.06829   0.06604   8972   219   2367   0.09547   0.09243   6605    148   4379   0.03352   0.03379   2226     60   1629   0.03608   0.03705    596     57    596   0.09120   0.09581     314     4.53
1935    32    53     960   0.05674   0.05518   9040   156   2216   0.07229   0.07061   6824    110   4450   0.02453   0.02466   2374     49   1717   0.02805   0.02855    657     46    657   0.06693   0.06943     371     4.57
1935    33    38     907   0.04271   0.04182   9093   109   2113   0.05265   0.05176   6980     92   4497   0.02037   0.02041   2484     44   1778   0.02418   0.02451    706     47    706   0.06427   0.06625     417     4.59
1935    34    30     869   0.03539   0.03478   9131    78   2041   0.03850   0.03805   7090     72   4514   0.01597   0.01598   2575     35   1826   0.01897   0.01917    749     42    749   0.05535   0.05664     464     4.62
1935    35    25     839   0.02976   0.02932   9161    64   1994   0.03243   0.03211   7167     58   4520   0.01283   0.01284   2648     30   1863   0.01622   0.01634    784     37    784   0.04689   0.04780     506     4.65
1935    36    23     814   0.02815   0.02776   9186    48   1954   0.02493   0.02477   7231     51   4526   0.01133   0.01133   2706     24   1891   0.01248   0.01257    815     32    815   0.03812   0.03867     544     4.67
1935    37    15     792   0.01956   0.01938   9208    36   1929   0.01864   0.01854   7280     39   4523   0.00855   0.00855   2757     22   1918   0.01147   0.01152    839     31    839   0.03630   0.03678     575     4.69
1935    38    13     776   0.01637   0.01624   9224    28   1908   0.01449   0.01443   7316     31   4520   0.00684   0.00683   2796     18   1935   0.00915   0.00918    861     24    861   0.02783   0.02811     606     4.70
1935    39     8     764   0.01047   0.01041   9236    17   1893   0.00913   0.00911   7343     22   4517   0.00490   0.00490   2826     14   1948   0.00699   0.00700    878     20    878   0.02303   0.02320     630     4.72
1935    40     5     756   0.00707   0.00704   9244    12   1884   0.00622   0.00621   7360     13   4512   0.00290   0.00290   2849     10   1956   0.00517   0.00518    892     15    892   0.01720   0.01729     651     4.73
1935    41     4     750   0.00590   0.00589   9250     5   1878   0.00270   0.00270   7372      8   4510   0.00179   0.00179   2862      6   1959   0.00308   0.00309    902     10    902   0.01144   0.01148     666     4.74
1935    42     3     746   0.00432   0.00431   9254     3   1877   0.00151   0.00151   7377      4   4507   0.00093   0.00093   2870      5   1961   0.00236   0.00236    908      6    908   0.00612   0.00614     676     4.74
1935    43     2     743   0.00280   0.00280   9257     2   1877   0.00131   0.00131   7380      3   4506   0.00067   0.00067   2874      1   1961   0.00071   0.00071    913      5    913   0.00497   0.00498     682     4.75
1935    44     1     741   0.00114   0.00114   9259     1   1877   0.00050   0.00050   7382      2   4506   0.00036   0.00036   2877      1   1963   0.00055   0.00055    914      2    914   0.00210   0.00211     686     4.75
1935    45     0     740   0.00040   0.00040   9260     0   1877   0.00006   0.00006   7383      0   4505   0.00008   0.00008   2878      1   1963   0.00032   0.00032    915      1    915   0.00093   0.00093     688     4.75
1935    46     0     740   0.00013   0.00013   9260     0   1877   0.00004   0.00004   7383      0   4505   0.00005   0.00005   2879      0   1963   0.00012   0.00012    916      0    916   0.00033   0.00033     689     4.75
1935    47     0     739   0.00011   0.00011   9261     0   1877   0.00003   0.00003   7384      0   4504   0.00003   0.00003   2879      0   1963   0.00005   0.00005    916      0    916   0.00010   0.00010     689     4.75
1935    48     0     739   0.00008   0.00008   9261     0   1877   0.00003   0.00003   7384      0   4504   0.00001   0.00001   2879      0   1963   0.00001   0.00001    916      0    916   0.00002   0.00002     690     4.75
1935    49     0     739   0.00006   0.00006   9261     0   1877   0.00002   0.00002   7384      0   4504   0.00000   0.00000   2879      0   1963   0.00000   0.00000    916      0    916   0.00000   0.00000     690     4.75
1935    50     0     739   0.00000   0.00000   9261     0   1877   0.00000   0.00000   7384      0   4504   0.00000   0.00000   2879      0   1963   0.00000   0.00000    916      0    916   0.00000   0.00000     690     4.75
1935    51     0     739   0.00000   0.00000   9261     0   1877   0.00001   0.00001   7384      0   4504   0.00000   0.00000   2879      0   1963   0.00000   0.00000    916      0    916   0.00000   0.00000     690     4.75
1935    52     0     739   0.00000   0.00000   9261     0   1877   0.00001   0.00001   7384      0   4504   0.00000   0.00000   2879      0   1963   0.00000   0.00000    916      0    916   0.00000   0.00000     690     4.75
1935    53     0     739   0.00000   0.00000   9261     0   1877   0.00000   0.00000   7384      0   4504   0.00000   0.00000   2879      0   1963   0.00000   0.00000    916      0    916   0.00000   0.00000     690     4.75
1935    54     0     739   0.00000   0.00000   9261     0   1877   0.00000   0.00000   7384      0   4504   0.00000   0.00000   2879      0   1963   0.00000   0.00000    916      0    916   0.00000   0.00000     690     4.75
1935    55+    0     739   0.00000   0.00000   9261     0   1877   0.00000   0.00000   7384      0   4504   0.00000   0.00000   2879      0   1963   0.00000   0.00000    916      0    916   0.00000   0.00000     690     4.75
1936    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1936    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1936    14     5   10000   0.00047   0.00047      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1936    15    20    9995   0.00201   0.00201      5     0      5   0.03017   0.09255      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1936    16    83    9975   0.00835   0.00832     25     5     24   0.07555   0.19662      0      0      0   0.14447   0.86983      0      0      0         .         .      0      0      0         .         .       0        .
1936    17   259    9892   0.02657   0.02623    108    20    103   0.08900   0.19298      5      1      5   0.08125   0.23732      0      0      0   0.21383   0.48416      0      0      0         .         .       0        .
1936    18   586    9633   0.06279   0.06088    367    65    342   0.10832   0.19080     25      4     23   0.07924   0.18212      2      0      1   0.07030   0.17562      0      0      0   0.00000   0.00000       0     4.00
1936    19  1004    9046   0.11751   0.11098    954   180    863   0.14112   0.20846     90     19     85   0.11240   0.21974      6      1      5   0.08348   0.21817      0      0      0   0.05712   0.13671       0     4.00
1936    20  1244    8042   0.16765   0.15468   1958   368   1687   0.17299   0.21791    270     50    246   0.12277   0.20215     24      7     23   0.14665   0.28569      2      1      2   0.12893   0.39153       0     4.04
1936    21  1275    6798   0.20704   0.18762   3202   542   2564   0.18496   0.21141    638    104    564   0.13252   0.18401     74     16     66   0.14760   0.24553      8      2      8   0.11454   0.22898       1     4.08
1936    22  1143    5523   0.23077   0.20689   4477   657   3297   0.18546   0.19913   1180    153   1002   0.12170   0.15230    178     27    154   0.12601   0.17745     24      6     24   0.16153   0.25206       3     4.10
1936    23   939    4380   0.24010   0.21436   5620   718   3783   0.18440   0.18978   1837    171   1506   0.09612   0.11357    330     34    279   0.09897   0.12322     52     10     52   0.15058   0.20077       9     4.17
1936    24   727    3441   0.23623   0.21127   6559   740   4004   0.18507   0.18477   2555    203   2053   0.08739   0.09882    502     52    416   0.10508   0.12420     86     17     86   0.15178   0.19737      19     4.22
1936    25   534    2714   0.21798   0.19656   7286   724   3991   0.18574   0.18131   3294    236   2590   0.08331   0.09115    704     56    567   0.08569   0.09928    138     27    138   0.16211   0.19528      36     4.26
1936    26   398    2181   0.20079   0.18247   7819   706   3801   0.19366   0.18581   4018    255   3078   0.07711   0.08277    940     63    747   0.07475   0.08435    194     35    194   0.15648   0.18190      63     4.32
1936    27   282    1783   0.17169   0.15811   8217   650   3493   0.19632   0.18599   4724    287   3529   0.07748   0.08146   1195     83    938   0.07933   0.08799    257     48    257   0.16098   0.18687      98     4.38
1936    28   193    1501   0.13733   0.12850   8499   542   3125   0.18366   0.17341   5374    270   3891   0.06699   0.06934   1483     81   1143   0.06537   0.07077    339     55    339   0.14460   0.16184     146     4.43
1936    29   135    1308   0.10854   0.10296   8692   398   2776   0.15051   0.14337   5916    213   4163   0.04996   0.05107   1752     80   1332   0.05744   0.06030    420     56    420   0.12059   0.13211     201     4.48
1936    30    93    1173   0.08254   0.07927   8827   282   2513   0.11654   0.11216   6314    169   4349   0.03842   0.03892   1965     61   1465   0.04015   0.04163    501     53    501   0.09986   0.10594     257     4.51
1936    31    69    1080   0.06563   0.06354   8920   210   2324   0.09332   0.09048   6596    122   4461   0.02715   0.02742   2134     53   1573   0.03303   0.03376    562     51    562   0.08705   0.09117     310     4.55
1936    32    56    1012   0.05678   0.05521   8988   151   2182   0.07098   0.06942   6806    106   4549   0.02323   0.02335   2257     48   1642   0.02864   0.02915    615     47    615   0.07282   0.07566     361     4.59
1936    33    40     956   0.04230   0.04143   9044   117   2087   0.05709   0.05603   6958     93   4595   0.02011   0.02016   2363     43   1700   0.02472   0.02508    663     45    663   0.06575   0.06787     407     4.61
1936    34    29     916   0.03205   0.03154   9084    87   2009   0.04407   0.04343   7074     75   4619   0.01627   0.01629   2456     34   1750   0.01896   0.01919    705     38    705   0.05201   0.05325     452     4.64
1936    35    27     887   0.03109   0.03061   9113    72   1951   0.03716   0.03674   7162     64   4631   0.01376   0.01377   2531     31   1792   0.01703   0.01719    739     33    739   0.04379   0.04470     490     4.66
1936    36    22     860   0.02580   0.02547   9140    51   1906   0.02672   0.02652   7233     53   4639   0.01134   0.01134   2595     27   1825   0.01483   0.01493    770     32    770   0.04042   0.04114     523     4.68
1936    37    17     838   0.02072   0.02051   9162    39   1878   0.02087   0.02075   7284     43   4637   0.00936   0.00936   2647     24   1850   0.01290   0.01297    797     34    797   0.04235   0.04298     554     4.70
1936    38    12     821   0.01418   0.01408   9179    27   1856   0.01466   0.01460   7323     33   4632   0.00723   0.00722   2691     18   1870   0.00958   0.00962    821     22    821   0.02657   0.02686     589     4.72
1936    39     8     810   0.01007   0.01001   9190    18   1840   0.00969   0.00967   7350     23   4626   0.00497   0.00496   2724     13   1885   0.00708   0.00709    839     17    839   0.02011   0.02027     611     4.73
1936    40     7     801   0.00822   0.00819   9199    10   1831   0.00525   0.00524   7368     13   4621   0.00285   0.00285   2747      8   1895   0.00434   0.00434    852     14    852   0.01603   0.01611     628     4.74
1936    41     5     795   0.00571   0.00570   9205     5   1828   0.00293   0.00293   7377      9   4617   0.00197   0.00197   2760      6   1900   0.00328   0.00329    860      9    860   0.01098   0.01101     641     4.75
1936    42     3     790   0.00415   0.00414   9210     3   1827   0.00184   0.00184   7383      5   4613   0.00107   0.00107   2769      4   1903   0.00190   0.00190    867      5    867   0.00524   0.00525     651     4.75
