Czechia, Cumulative period fertility rates (Lexis squares)
Last modified: 02/02/2023
Year    Age     CPFR
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.001
1950    16     0.003
1950    17     0.015
1950    18     0.048
1950    19     0.119
1950    20     0.236
1950    21     0.393
1950    22     0.578
1950    23     0.779
1950    24     0.978
1950    25     1.179
1950    26     1.370
1950    27     1.545
1950    28     1.704
1950    29     1.846
1950    30     1.974
1950    31     2.089
1950    32     2.193
1950    33     2.283
1950    34     2.366
1950    35     2.440
1950    36     2.512
1950    37     2.572
1950    38     2.624
1950    39     2.670
1950    40     2.707
1950    41     2.736
1950    42     2.759
1950    43     2.775
1950    44     2.786
1950    45     2.792
1950    46     2.796
1950    47     2.798
1950    48     2.799
1950    49     2.799
1950    50     2.799
1950    51     2.799
1950    52     2.799
1950    53     2.799
1950    54     2.799
1950    55     2.799
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.000
1951    16     0.003
1951    17     0.013
1951    18     0.050
1951    19     0.123
1951    20     0.245
1951    21     0.409
1951    22     0.600
1951    23     0.800
1951    24     1.007
1951    25     1.203
1951    26     1.390
1951    27     1.561
1951    28     1.719
1951    29     1.861
1951    30     1.986
1951    31     2.099
1951    32     2.199
1951    33     2.288
1951    34     2.364
1951    35     2.433
1951    36     2.494
1951    37     2.553
1951    38     2.604
1951    39     2.648
1951    40     2.683
1951    41     2.710
1951    42     2.732
1951    43     2.747
1951    44     2.757
1951    45     2.762
1951    46     2.766
1951    47     2.768
1951    48     2.768
1951    49     2.769
1951    50     2.769
1951    51     2.769
1951    52     2.769
1951    53     2.769
1951    54     2.769
1951    55     2.769
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.000
1952    16     0.002
1952    17     0.013
1952    18     0.048
1952    19     0.121
1952    20     0.241
1952    21     0.404
1952    22     0.590
1952    23     0.790
1952    24     0.993
1952    25     1.189
1952    26     1.372
1952    27     1.543
1952    28     1.695
1952    29     1.832
1952    30     1.958
1952    31     2.069
1952    32     2.165
1952    33     2.251
1952    34     2.326
1952    35     2.391
1952    36     2.454
1952    37     2.506
1952    38     2.558
1952    39     2.597
1952    40     2.631
1952    41     2.658
1952    42     2.678
1952    43     2.692
1952    44     2.700
1952    45     2.706
1952    46     2.709
1952    47     2.710
1952    48     2.711
1952    49     2.711
1952    50     2.711
1952    51     2.711
1952    52     2.711
1952    53     2.711
1952    54     2.711
1952    55     2.711
1953    12     0.000
1953    13     0.000
1953    14     0.000
1953    15     0.000
1953    16     0.002
1953    17     0.011
1953    18     0.040
1953    19     0.110
1953    20     0.227
1953    21     0.385
1953    22     0.570
1953    23     0.770
1953    24     0.967
1953    25     1.160
1953    26     1.339
1953    27     1.500
1953    28     1.645
1953    29     1.778
1953    30     1.898
1953    31     2.004
1953    32     2.099
1953    33     2.183
1953    34     2.260
1953    35     2.325
1953    36     2.381
1953    37     2.433
1953    38     2.475
1953    39     2.514
1953    40     2.546
1953    41     2.572
1953    42     2.591
1953    43     2.604
1953    44     2.613
1953    45     2.619
1953    46     2.621
1953    47     2.623
1953    48     2.623
1953    49     2.623
1953    50     2.623
1953    51     2.624
1953    52     2.624
1953    53     2.624
1953    54     2.624
1953    55     2.624
1954    12     0.000
1954    13     0.000
1954    14     0.000
1954    15     0.000
1954    16     0.002
1954    17     0.010
1954    18     0.037
1954    19     0.103
1954    20     0.221
1954    21     0.382
1954    22     0.571
1954    23     0.773
1954    24     0.971
1954    25     1.164
1954    26     1.340
1954    27     1.503
1954    28     1.647
1954    29     1.778
1954    30     1.896
1954    31     2.000
1954    32     2.091
1954    33     2.175
1954    34     2.246
1954    35     2.310
1954    36     2.367
1954    37     2.414
1954    38     2.456
1954    39     2.491
1954    40     2.522
1954    41     2.545
1954    42     2.564
1954    43     2.576
1954    44     2.584
1954    45     2.589
1954    46     2.591
1954    47     2.592
1954    48     2.593
1954    49     2.593
1954    50     2.593
1954    51     2.593
1954    52     2.593
1954    53     2.593
1954    54     2.593
1954    55     2.593
1955    12     0.000
1955    13     0.000
1955    14     0.000
1955    15     0.000
1955    16     0.003
1955    17     0.012
1955    18     0.041
1955    19     0.107
1955    20     0.224
1955    21     0.388
1955    22     0.582
1955    23     0.788
1955    24     0.987
1955    25     1.178
1955    26     1.357
1955    27     1.519
1955    28     1.663
1955    29     1.796
1955    30     1.913
1955    31     2.016
1955    32     2.110
1955    33     2.189
1955    34     2.260
1955    35     2.321
1955    36     2.376
1955    37     2.422
1955    38     2.460
1955    39     2.494
1955    40     2.520
1955    41     2.544
1955    42     2.560
1955    43     2.573
1955    44     2.580
1955    45     2.585
1955    46     2.587
1955    47     2.589
1955    48     2.589
1955    49     2.589
1955    50     2.590
1955    51     2.590
1955    52     2.590
1955    53     2.590
1955    54     2.590
1955    55     2.590
1956    12     0.000
1956    13     0.000
1956    14     0.000
1956    15     0.000
1956    16     0.003
1956    17     0.015
1956    18     0.046
1956    19     0.117
1956    20     0.241
1956    21     0.409
1956    22     0.607
1956    23     0.816
1956    24     1.019
1956    25     1.213
1956    26     1.390
1956    27     1.550
1956    28     1.691
1956    29     1.821
1956    30     1.936
1956    31     2.036
1956    32     2.123
1956    33     2.199
1956    34     2.268
1956    35     2.327
1956    36     2.379
1956    37     2.424
1956    38     2.463
1956    39     2.492
1956    40     2.517
1956    41     2.538
1956    42     2.554
1956    43     2.565
1956    44     2.571
1956    45     2.576
1956    46     2.578
1956    47     2.579
1956    48     2.579
1956    49     2.580
1956    50     2.580
1956    51     2.580
1956    52     2.580
1956    53     2.580
1956    54     2.580
1956    55     2.580
1957    12     0.000
1957    13     0.000
1957    14     0.000
1957    15     0.000
1957    16     0.002
1957    17     0.014
1957    18     0.052
1957    19     0.125
1957    20     0.253
1957    21     0.420
1957    22     0.619
1957    23     0.829
1957    24     1.032
1957    25     1.221
1957    26     1.392
1957    27     1.544
1957    28     1.681
1957    29     1.800
1957    30     1.909
1957    31     2.002
1957    32     2.087
1957    33     2.159
1957    34     2.223
1957    35     2.278
1957    36     2.326
1957    37     2.366
1957    38     2.401
1957    39     2.430
1957    40     2.452
1957    41     2.470
1957    42     2.483
1957    43     2.493
1957    44     2.499
1957    45     2.502
1957    46     2.504
1957    47     2.505
1957    48     2.505
1957    49     2.505
