Czechia, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 02/02/2023
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1950    12     0.000     0.000     0.000     0.000     0.000     0.000
1950    13     0.000     0.000     0.000     0.000     0.000     0.000
1950    14     0.000     0.000     0.000     0.000     0.000     0.000
1950    15     0.001     0.001     0.000     0.000     0.000     0.000
1950    16     0.003     0.003     0.000     0.000     0.000     0.000
1950    17     0.015     0.014     0.001     0.000     0.000     0.000
1950    18     0.048     0.045     0.003     0.000     0.000     0.000
1950    19     0.119     0.105     0.012     0.001     0.000     0.000
1950    20     0.236     0.198     0.034     0.004     0.000     0.000
1950    21     0.393     0.309     0.072     0.011     0.001     0.000
1950    22     0.578     0.425     0.126     0.023     0.003     0.000
1950    23     0.779     0.538     0.192     0.041     0.006     0.001
1950    24     0.978     0.637     0.263     0.064     0.012     0.002
1950    25     1.179     0.722     0.339     0.093     0.020     0.005
1950    26     1.370     0.792     0.415     0.124     0.030     0.009
1950    27     1.545     0.847     0.484     0.158     0.042     0.015
1950    28     1.704     0.890     0.544     0.192     0.056     0.023
1950    29     1.846     0.920     0.597     0.225     0.070     0.033
1950    30     1.974     0.945     0.640     0.257     0.086     0.046
1950    31     2.089     0.964     0.676     0.286     0.103     0.061
1950    32     2.193     0.978     0.706     0.314     0.119     0.077
1950    33     2.283     0.989     0.730     0.337     0.133     0.094
1950    34     2.366     0.999     0.751     0.359     0.147     0.110
1950    35     2.440     1.007     0.768     0.378     0.160     0.127
1950    36     2.512     1.014     0.784     0.397     0.173     0.145
1950    37     2.572     1.020     0.796     0.411     0.183     0.162
1950    38     2.624     1.025     0.806     0.424     0.193     0.177
1950    39     2.670     1.029     0.814     0.434     0.201     0.192
1950    40     2.707     1.032     0.820     0.442     0.207     0.205
1950    41     2.736     1.035     0.824     0.449     0.212     0.217
1950    42     2.759     1.037     0.828     0.453     0.216     0.226
1950    43     2.775     1.038     0.830     0.456     0.218     0.233
1950    44     2.786     1.039     0.831     0.457     0.220     0.239
1950    45     2.792     1.039     0.832     0.458     0.221     0.242
1950    46     2.796     1.039     0.832     0.459     0.221     0.244
1950    47     2.798     1.039     0.833     0.459     0.222     0.245
1950    48     2.799     1.039     0.833     0.459     0.222     0.245
1950    49     2.799     1.040     0.833     0.460     0.222     0.245
1950    50     2.799     1.040     0.833     0.460     0.222     0.245
1950    51     2.799     1.040     0.833     0.460     0.222     0.245
1950    52     2.799     1.040     0.833     0.460     0.222     0.245
1950    53     2.799     1.040     0.833     0.460     0.222     0.245
1950    54     2.799     1.040     0.833     0.460     0.222     0.245
1950    55     2.799     1.040     0.833     0.460     0.222     0.245
1951    12     0.000     0.000     0.000     0.000     0.000     0.000
1951    13     0.000     0.000     0.000     0.000     0.000     0.000
1951    14     0.000     0.000     0.000     0.000     0.000     0.000
1951    15     0.000     0.000     0.000     0.000     0.000     0.000
1951    16     0.003     0.003     0.000     0.000     0.000     0.000
1951    17     0.013     0.013     0.001     0.000     0.000     0.000
1951    18     0.050     0.046     0.003     0.000     0.000     0.000
1951    19     0.123     0.109     0.013     0.001     0.000     0.000
1951    20     0.245     0.204     0.036     0.004     0.000     0.000
1951    21     0.409     0.322     0.074     0.011     0.001     0.000
1951    22     0.600     0.443     0.129     0.024     0.003     0.000
1951    23     0.800     0.553     0.194     0.044     0.007     0.001
1951    24     1.007     0.653     0.267     0.070     0.014     0.003
1951    25     1.203     0.738     0.340     0.097     0.023     0.005
1951    26     1.390     0.807     0.412     0.128     0.033     0.009
1951    27     1.561     0.860     0.479     0.161     0.046     0.016
1951    28     1.719     0.901     0.539     0.195     0.060     0.024
1951    29     1.861     0.933     0.590     0.228     0.076     0.034
1951    30     1.986     0.957     0.631     0.260     0.091     0.047
1951    31     2.099     0.975     0.666     0.289     0.107     0.062
1951    32     2.199     0.988     0.694     0.314     0.123     0.079
1951    33     2.288     0.999     0.717     0.337     0.138     0.096
1951    34     2.364     1.008     0.736     0.356     0.151     0.113
1951    35     2.433     1.015     0.751     0.374     0.163     0.130
1951    36     2.494     1.021     0.763     0.390     0.174     0.145
1951    37     2.553     1.027     0.775     0.404     0.185     0.163
1951    38     2.604     1.031     0.783     0.416     0.194     0.179
1951    39     2.648     1.035     0.790     0.426     0.202     0.195
1951    40     2.683     1.037     0.795     0.434     0.208     0.208
1951    41     2.710     1.040     0.800     0.440     0.213     0.218
1951    42     2.732     1.041     0.803     0.444     0.217     0.227
1951    43     2.747     1.042     0.805     0.446     0.220     0.234
1951    44     2.757     1.043     0.806     0.448     0.221     0.238
1951    45     2.762     1.043     0.807     0.449     0.222     0.241
1951    46     2.766     1.043     0.807     0.450     0.223     0.243
1951    47     2.768     1.044     0.807     0.450     0.223     0.244
1951    48     2.768     1.044     0.807     0.450     0.223     0.244
1951    49     2.769     1.044     0.807     0.450     0.223     0.244
1951    50     2.769     1.044     0.807     0.450     0.223     0.244
1951    51     2.769     1.044     0.807     0.450     0.223     0.245
1951    52     2.769     1.044     0.807     0.450     0.223     0.245
1951    53     2.769     1.044     0.807     0.450     0.223     0.245
1951    54     2.769     1.044     0.807     0.450     0.223     0.245
1951    55     2.769     1.044     0.807     0.450     0.223     0.245
1952    12     0.000     0.000     0.000     0.000     0.000     0.000
1952    13     0.000     0.000     0.000     0.000     0.000     0.000
1952    14     0.000     0.000     0.000     0.000     0.000     0.000
1952    15     0.000     0.000     0.000     0.000     0.000     0.000
1952    16     0.002     0.002     0.000     0.000     0.000     0.000
1952    17     0.013     0.012     0.001     0.000     0.000     0.000
1952    18     0.048     0.045     0.003     0.000     0.000     0.000
1952    19     0.121     0.108     0.012     0.001     0.000     0.000
1952    20     0.241     0.205     0.032     0.004     0.000     0.000
1952    21     0.404     0.323     0.069     0.010     0.001     0.000
1952    22     0.590     0.442     0.121     0.023     0.004     0.000
1952    23     0.790     0.555     0.184     0.043     0.008     0.001
1952    24     0.993     0.655     0.253     0.067     0.015     0.003
1952    25     1.189     0.738     0.326     0.095     0.024     0.006
1952    26     1.372     0.803     0.398     0.125     0.036     0.011
1952    27     1.543     0.855     0.464     0.158     0.048     0.018
1952    28     1.695     0.894     0.523     0.190     0.062     0.026
1952    29     1.832     0.924     0.573     0.221     0.078     0.037
1952    30     1.958     0.948     0.615     0.253     0.094     0.049
1952    31     2.069     0.966     0.650     0.281     0.109     0.063
1952    32     2.165     0.980     0.677     0.306     0.124     0.078
1952    33     2.251     0.991     0.699     0.327     0.139     0.095
1952    34     2.326     1.000     0.716     0.347     0.153     0.111
1952    35     2.391     1.007     0.728     0.364     0.164     0.127
1952    36     2.454     1.014     0.741     0.379     0.176     0.144
1952    37     2.506     1.020     0.750     0.391     0.185     0.160
1952    38     2.558     1.025     0.759     0.403     0.194     0.176
1952    39     2.597     1.028     0.765     0.412     0.202     0.190
1952    40     2.631     1.031     0.770     0.419     0.208     0.202
1952    41     2.658     1.033     0.774     0.425     0.213     0.213
1952    42     2.678     1.035     0.777     0.429     0.216     0.222
1952    43     2.692     1.036     0.778     0.431     0.219     0.228
1952    44     2.700     1.036     0.779     0.433     0.220     0.232
1952    45     2.706     1.036     0.780     0.434     0.221     0.235
1952    46     2.709     1.037     0.780     0.434     0.221     0.237
1952    47     2.710     1.037     0.780     0.434     0.221     0.238
1952    48     2.711     1.037     0.780     0.434     0.222     0.238
1952    49     2.711     1.037     0.780     0.434     0.222     0.238
1952    50     2.711     1.037     0.780     0.434     0.222     0.238
1952    51     2.711     1.037     0.780     0.434     0.222     0.238
1952    52     2.711     1.037     0.780     0.434     0.222     0.238
1952    53     2.711     1.037     0.780     0.434     0.222     0.238
1952    54     2.711     1.037     0.780     0.434     0.222     0.238
1952    55     2.711     1.037     0.780     0.434     0.222     0.238
1953    12     0.000     0.000     0.000     0.000     0.000     0.000
1953    13     0.000     0.000     0.000     0.000     0.000     0.000
1953    14     0.000     0.000     0.000     0.000     0.000     0.000
1953    15     0.000     0.000     0.000     0.000     0.000     0.000
1953    16     0.002     0.002     0.000     0.000     0.000     0.000
1953    17     0.011     0.010     0.001     0.000     0.000     0.000
1953    18     0.040     0.037     0.003     0.000     0.000     0.000
1953    19     0.110     0.098     0.011     0.001     0.000     0.000
1953    20     0.227     0.192     0.031     0.004     0.000     0.000
1953    21     0.385     0.307     0.067     0.010     0.001     0.000
1953    22     0.570     0.425     0.119     0.022     0.003     0.000
1953    23     0.770     0.536     0.184     0.042     0.008     0.002
1953    24     0.967     0.629     0.254     0.066     0.015     0.004
1953    25     1.160     0.707     0.327     0.096     0.024     0.007
1953    26     1.339     0.768     0.396     0.128     0.035     0.012
1953    27     1.500     0.814     0.459     0.160     0.048     0.019
1953    28     1.645     0.850     0.515     0.192     0.061     0.027
1953    29     1.778     0.878     0.565     0.222     0.075     0.037
1953    30     1.898     0.900     0.608     0.251     0.090     0.050
1953    31     2.004     0.917     0.641     0.279     0.105     0.063
1953    32     2.099     0.929     0.670     0.303     0.119     0.078
1953    33     2.183     0.940     0.690     0.326     0.134     0.093
1953    34     2.260     0.948     0.708     0.346     0.148     0.110
1953    35     2.325     0.954     0.722     0.362     0.160     0.127
1953    36     2.381     0.959     0.733     0.375     0.171     0.142
1953    37     2.433     0.965     0.742     0.388     0.181     0.158
1953    38     2.475     0.968     0.749     0.398     0.189     0.172
1953    39     2.514     0.971     0.755     0.407     0.196     0.185
1953    40     2.546     0.973     0.759     0.413     0.202     0.198
1953    41     2.572     0.975     0.763     0.419     0.207     0.208
1953    42     2.591     0.976     0.765     0.423     0.210     0.217
1953    43     2.604     0.977     0.767     0.425     0.212     0.223
1953    44     2.613     0.977     0.768     0.427     0.214     0.227
1953    45     2.619     0.977     0.769     0.428     0.215     0.230
1953    46     2.621     0.978     0.769     0.428     0.215     0.232
1953    47     2.623     0.978     0.769     0.428     0.215     0.232
1953    48     2.623     0.978     0.769     0.428     0.215     0.233
1953    49     2.623     0.978     0.769     0.428     0.215     0.233
1953    50     2.623     0.978     0.769     0.428     0.215     0.233
1953    51     2.624     0.978     0.769     0.428     0.215     0.233
1953    52     2.624     0.978     0.769     0.428     0.215     0.233
1953    53     2.624     0.978     0.769     0.428     0.215     0.233
1953    54     2.624     0.978     0.769     0.428     0.215     0.233
1953    55     2.624     0.978     0.769     0.428     0.215     0.233
1954    12     0.000     0.000     0.000     0.000     0.000     0.000
1954    13     0.000     0.000     0.000     0.000     0.000     0.000
