Czechia, Cumulative period fertility rates (vertical parallelograms)
Last modified: 02/02/2023
Year  ARDY  Cohort     CPFR
1950   12    1938     0.000
1950   13    1937     0.000
1950   14    1936     0.000
1950   15    1935     0.000
1950   16    1934     0.002
1950   17    1933     0.008
1950   18    1932     0.029
1950   19    1931     0.081
1950   20    1930     0.175
1950   21    1929     0.314
1950   22    1928     0.486
1950   23    1927     0.680
1950   24    1926     0.881
1950   25    1925     1.082
1950   26    1924     1.278
1950   27    1923     1.461
1950   28    1922     1.628
1950   29    1921     1.778
1950   30    1920     1.913
1950   31    1919     2.034
1950   32    1918     2.144
1950   33    1917     2.241
1950   34    1916     2.327
1950   35    1915     2.405
1950   36    1914     2.479
1950   37    1913     2.545
1950   38    1912     2.601
1950   39    1911     2.650
1950   40    1910     2.691
1950   41    1909     2.724
1950   42    1908     2.750
1950   43    1907     2.770
1950   44    1906     2.783
1950   45    1905     2.792
1950   46    1904     2.796
1950   47    1903     2.799
1950   48    1902     2.800
1950   49    1901     2.801
1950   50    1900     2.801
1950   51    1899     2.801
1950   52    1898     2.801
1950   53    1897     2.801
1950   54    1896     2.801
1950   55    1895     2.801
1951   12    1939     0.000
1951   13    1938     0.000
1951   14    1937     0.000
1951   15    1936     0.000
1951   16    1935     0.001
1951   17    1934     0.007
1951   18    1933     0.029
1951   19    1932     0.084
1951   20    1931     0.182
1951   21    1930     0.326
1951   22    1929     0.506
1951   23    1928     0.702
1951   24    1927     0.907
1951   25    1926     1.108
1951   26    1925     1.300
1951   27    1924     1.479
1951   28    1923     1.643
1951   29    1922     1.793
1951   30    1921     1.926
1951   31    1920     2.045
1951   32    1919     2.151
1951   33    1918     2.246
1951   34    1917     2.328
1951   35    1916     2.401
1951   36    1915     2.465
1951   37    1914     2.525
1951   38    1913     2.580
1951   39    1912     2.628
1951   40    1911     2.668
1951   41    1910     2.699
1951   42    1909     2.723
1951   43    1908     2.741
1951   44    1907     2.754
1951   45    1906     2.762
1951   46    1905     2.766
1951   47    1904     2.769
1951   48    1903     2.770
1951   49    1902     2.770
1951   50    1901     2.770
1951   51    1900     2.770
1951   52    1899     2.770
1951   53    1898     2.770
1951   54    1897     2.770
1951   55    1896     2.770
1952   12    1940     0.000
1952   13    1939     0.000
1952   14    1938     0.000
1952   15    1937     0.000
1952   16    1936     0.001
1952   17    1935     0.006
1952   18    1934     0.028
1952   19    1933     0.082
1952   20    1932     0.179
1952   21    1931     0.322
1952   22    1930     0.498
1952   23    1929     0.692
1952   24    1928     0.895
1952   25    1927     1.095
1952   26    1926     1.284
1952   27    1925     1.462
1952   28    1924     1.623
1952   29    1923     1.767
1952   30    1922     1.898
1952   31    1921     2.017
1952   32    1920     2.120
1952   33    1919     2.210
1952   34    1918     2.291
1952   35    1917     2.361
1952   36    1916     2.424
1952   37    1915     2.482
