Czechia, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 02/02/2023
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1950   12    1938     0.000     0.000     0.000     0.000     0.000     0.000
1950   13    1937     0.000     0.000     0.000     0.000     0.000     0.000
1950   14    1936     0.000     0.000     0.000     0.000     0.000     0.000
1950   15    1935     0.000     0.000     0.000     0.000     0.000     0.000
1950   16    1934     0.002     0.001     0.000     0.000     0.000     0.000
1950   17    1933     0.008     0.007     0.000     0.000     0.000     0.000
1950   18    1932     0.029     0.027     0.002     0.000     0.000     0.000
1950   19    1931     0.081     0.073     0.007     0.001     0.000     0.000
1950   20    1930     0.175     0.151     0.022     0.002     0.000     0.000
1950   21    1929     0.314     0.254     0.052     0.007     0.001     0.000
1950   22    1928     0.486     0.368     0.099     0.017     0.002     0.000
1950   23    1927     0.680     0.484     0.160     0.032     0.004     0.001
1950   24    1926     0.881     0.590     0.228     0.052     0.009     0.002
1950   25    1925     1.082     0.682     0.302     0.078     0.016     0.004
1950   26    1924     1.278     0.759     0.379     0.108     0.025     0.007
1950   27    1923     1.461     0.821     0.451     0.141     0.036     0.012
1950   28    1922     1.628     0.870     0.515     0.175     0.049     0.019
1950   29    1921     1.778     0.906     0.572     0.209     0.063     0.028
1950   30    1920     1.913     0.933     0.619     0.242     0.078     0.040
1950   31    1919     2.034     0.955     0.659     0.272     0.094     0.053
1950   32    1918     2.144     0.971     0.692     0.301     0.111     0.069
1950   33    1917     2.241     0.984     0.719     0.326     0.126     0.086
1950   34    1916     2.327     0.995     0.741     0.349     0.140     0.102
1950   35    1915     2.405     1.004     0.760     0.369     0.154     0.118
1950   36    1914     2.479     1.011     0.777     0.388     0.167     0.136
1950   37    1913     2.545     1.017     0.791     0.405     0.178     0.153
1950   38    1912     2.601     1.023     0.802     0.418     0.189     0.170
1950   39    1911     2.650     1.027     0.811     0.430     0.197     0.185
1950   40    1910     2.691     1.031     0.818     0.439     0.205     0.199
1950   41    1909     2.724     1.034     0.823     0.446     0.210     0.211
1950   42    1908     2.750     1.036     0.827     0.451     0.214     0.222
1950   43    1907     2.770     1.038     0.830     0.455     0.217     0.230
1950   44    1906     2.783     1.039     0.831     0.457     0.219     0.236
1950   45    1905     2.792     1.039     0.832     0.458     0.221     0.241
1950   46    1904     2.796     1.040     0.833     0.459     0.221     0.243
1950   47    1903     2.799     1.040     0.833     0.460     0.222     0.244
1950   48    1902     2.800     1.040     0.833     0.460     0.222     0.245
1950   49    1901     2.801     1.040     0.834     0.460     0.222     0.245
1950   50    1900     2.801     1.040     0.834     0.460     0.222     0.245
1950   51    1899     2.801     1.040     0.834     0.460     0.222     0.246
1950   52    1898     2.801     1.040     0.834     0.460     0.222     0.246
1950   53    1897     2.801     1.040     0.834     0.460     0.222     0.246
1950   54    1896     2.801     1.040     0.834     0.460     0.222     0.246
1950   55    1895     2.801     1.040     0.834     0.460     0.222     0.246
1951   12    1939     0.000     0.000     0.000     0.000     0.000     0.000
1951   13    1938     0.000     0.000     0.000     0.000     0.000     0.000
1951   14    1937     0.000     0.000     0.000     0.000     0.000     0.000
1951   15    1936     0.000     0.000     0.000     0.000     0.000     0.000
1951   16    1935     0.001     0.001     0.000     0.000     0.000     0.000
1951   17    1934     0.007     0.007     0.000     0.000     0.000     0.000
1951   18    1933     0.029     0.027     0.002     0.000     0.000     0.000
1951   19    1932     0.084     0.076     0.008     0.001     0.000     0.000
1951   20    1931     0.182     0.156     0.024     0.002     0.000     0.000
1951   21    1930     0.326     0.264     0.054     0.007     0.001     0.000
1951   22    1929     0.506     0.385     0.101     0.017     0.002     0.000
1951   23    1928     0.702     0.500     0.162     0.034     0.005     0.001
1951   24    1927     0.907     0.606     0.231     0.057     0.010     0.002
1951   25    1926     1.108     0.698     0.305     0.083     0.018     0.004
1951   26    1925     1.300     0.775     0.377     0.113     0.028     0.007
1951   27    1924     1.479     0.835     0.447     0.145     0.039     0.012
1951   28    1923     1.643     0.882     0.510     0.179     0.053     0.020
1951   29    1922     1.793     0.918     0.566     0.212     0.068     0.029
1951   30    1921     1.926     0.945     0.612     0.245     0.083     0.041
1951   31    1920     2.045     0.966     0.650     0.275     0.099     0.055
1951   32    1919     2.151     0.982     0.681     0.302     0.115     0.071
1951   33    1918     2.246     0.994     0.707     0.327     0.131     0.088
1951   34    1917     2.328     1.004     0.728     0.347     0.145     0.105
1951   35    1916     2.401     1.012     0.744     0.366     0.157     0.121
1951   36    1915     2.465     1.019     0.758     0.382     0.169     0.138
1951   37    1914     2.525     1.024     0.770     0.398     0.179     0.154
1951   38    1913     2.580     1.029     0.779     0.411     0.190     0.171
1951   39    1912     2.628     1.033     0.787     0.422     0.198     0.188
1951   40    1911     2.668     1.036     0.794     0.431     0.206     0.202
1951   41    1910     2.699     1.039     0.798     0.437     0.211     0.213
1951   42    1909     2.723     1.041     0.802     0.442     0.215     0.223
1951   43    1908     2.741     1.042     0.804     0.446     0.219     0.231
1951   44    1907     2.754     1.043     0.806     0.448     0.221     0.237
1951   45    1906     2.762     1.043     0.807     0.449     0.222     0.240
1951   46    1905     2.766     1.044     0.807     0.450     0.223     0.242
1951   47    1904     2.769     1.044     0.808     0.450     0.223     0.243
1951   48    1903     2.770     1.044     0.808     0.451     0.223     0.244
1951   49    1902     2.770     1.044     0.808     0.451     0.223     0.244
1951   50    1901     2.770     1.044     0.808     0.451     0.223     0.245
1951   51    1900     2.770     1.044     0.808     0.451     0.223     0.245
1951   52    1899     2.770     1.044     0.808     0.451     0.223     0.245
1951   53    1898     2.770     1.044     0.808     0.451     0.223     0.245
1951   54    1897     2.770     1.044     0.808     0.451     0.223     0.245
1951   55    1896     2.770     1.044     0.808     0.451     0.223     0.245
1952   12    1940     0.000     0.000     0.000     0.000     0.000     0.000
1952   13    1939     0.000     0.000     0.000     0.000     0.000     0.000
1952   14    1938     0.000     0.000     0.000     0.000     0.000     0.000
1952   15    1937     0.000     0.000     0.000     0.000     0.000     0.000
1952   16    1936     0.001     0.001     0.000     0.000     0.000     0.000
1952   17    1935     0.006     0.006     0.000     0.000     0.000     0.000
1952   18    1934     0.028     0.026     0.002     0.000     0.000     0.000
1952   19    1933     0.082     0.075     0.007     0.000     0.000     0.000
1952   20    1932     0.179     0.155     0.021     0.002     0.000     0.000
1952   21    1931     0.322     0.264     0.050     0.007     0.001     0.000
1952   22    1930     0.498     0.384     0.095     0.016     0.002     0.000
1952   23    1929     0.692     0.501     0.153     0.033     0.006     0.001
1952   24    1928     0.895     0.608     0.219     0.055     0.011     0.002
1952   25    1927     1.095     0.699     0.291     0.081     0.020     0.004
1952   26    1926     1.284     0.772     0.363     0.110     0.030     0.008
1952   27    1925     1.462     0.831     0.432     0.142     0.042     0.014
1952   28    1924     1.623     0.876     0.495     0.175     0.055     0.022
1952   29    1923     1.767     0.910     0.549     0.206     0.070     0.031
1952   30    1922     1.898     0.937     0.595     0.238     0.086     0.043
1952   31    1921     2.017     0.958     0.634     0.267     0.102     0.056
1952   32    1920     2.120     0.974     0.665     0.294     0.117     0.071
1952   33    1919     2.210     0.986     0.689     0.317     0.132     0.087
1952   34    1918     2.291     0.997     0.708     0.337     0.146     0.103
1952   35    1917     2.361     1.004     0.722     0.356     0.159     0.119
1952   36    1916     2.424     1.011     0.735     0.372     0.170     0.136
1952   37    1915     2.482     1.018     0.746     0.385     0.181     0.152
1952   38    1914     2.534     1.023     0.755     0.398     0.190     0.168
1952   39    1913     2.580     1.027     0.763     0.408     0.198     0.184
1952   40    1912     2.617     1.030     0.768     0.416     0.205     0.197
1952   41    1911     2.647     1.033     0.773     0.423     0.211     0.208
1952   42    1910     2.670     1.034     0.776     0.427     0.215     0.218
1952   43    1909     2.687     1.036     0.778     0.431     0.218     0.225
1952   44    1908     2.698     1.036     0.779     0.433     0.220     0.230
1952   45    1907     2.705     1.037     0.780     0.434     0.221     0.234
1952   46    1906     2.709     1.037     0.780     0.434     0.221     0.237
1952   47    1905     2.712     1.037     0.781     0.435     0.222     0.238
1952   48    1904     2.713     1.037     0.781     0.435     0.222     0.238
1952   49    1903     2.713     1.037     0.781     0.435     0.222     0.239
1952   50    1902     2.713     1.037     0.781     0.435     0.222     0.239
1952   51    1901     2.713     1.037     0.781     0.435     0.222     0.239
1952   52    1900     2.713     1.037     0.781     0.435     0.222     0.239
1952   53    1899     2.713     1.037     0.781     0.435     0.222     0.239
1952   54    1898     2.713     1.037     0.781     0.435     0.222     0.239
1952   55    1897     2.713     1.037     0.781     0.435     0.222     0.239
1953   12    1941     0.000     0.000     0.000     0.000     0.000     0.000
1953   13    1940     0.000     0.000     0.000     0.000     0.000     0.000
1953   14    1939     0.000     0.000     0.000     0.000     0.000     0.000
1953   15    1938     0.000     0.000     0.000     0.000     0.000     0.000
1953   16    1937     0.001     0.001     0.000     0.000     0.000     0.000
1953   17    1936     0.006     0.005     0.000     0.000     0.000     0.000
1953   18    1935     0.023     0.021     0.001     0.000     0.000     0.000
1953   19    1934     0.072     0.065     0.006     0.000     0.000     0.000
1953   20    1933     0.167     0.144     0.020     0.002     0.000     0.000
1953   21    1932     0.305     0.250     0.048     0.006     0.001     0.000
1953   22    1931     0.478     0.368     0.092     0.016     0.002     0.000
1953   23    1930     0.672     0.483     0.152     0.032     0.005     0.001
1953   24    1929     0.872     0.585     0.220     0.054     0.011     0.003
1953   25    1928     1.067     0.670     0.292     0.081     0.019     0.005
1953   26    1927     1.254     0.740     0.363     0.112     0.029     0.010
1953   27    1926     1.423     0.793     0.429     0.145     0.041     0.016
1953   28    1925     1.576     0.833     0.489     0.176     0.054     0.023
1953   29    1924     1.714     0.865     0.542     0.207     0.068     0.032
1953   30    1923     1.841     0.890     0.588     0.237     0.082     0.043
1953   31    1922     1.954     0.909     0.626     0.265     0.098     0.056
1953   32    1921     2.054     0.924     0.656     0.291     0.112     0.070
1953   33    1920     2.143     0.935     0.681     0.315     0.127     0.086
1953   34    1919     2.223     0.944     0.700     0.336     0.141     0.102
1953   35    1918     2.295     0.951     0.716     0.355     0.154     0.119
1953   36    1917     2.355     0.957     0.728     0.369     0.166     0.135
1953   37    1916     2.409     0.962     0.738     0.382     0.176     0.150
1953   38    1915     2.456     0.967     0.746     0.394     0.185     0.165
1953   39    1914     2.497     0.970     0.752     0.404     0.193     0.179
1953   40    1913     2.533     0.972     0.758     0.411     0.199     0.192
1953   41    1912     2.561     0.974     0.762     0.417     0.205     0.204
1953   42    1911     2.583     0.976     0.765     0.421     0.209     0.213
1953   43    1910     2.599     0.977     0.767     0.425     0.211     0.220
1953   44    1909     2.611     0.977     0.768     0.427     0.213     0.225
1953   45    1908     2.618     0.978     0.769     0.428     0.215     0.229
1953   46    1907     2.622     0.978     0.769     0.428     0.215     0.231
1953   47    1906     2.624     0.978     0.769     0.429     0.215     0.232
1953   48    1905     2.625     0.978     0.770     0.429     0.215     0.233
1953   49    1904     2.625     0.978     0.770     0.429     0.215     0.233
1953   50    1903     2.625     0.978     0.770     0.429     0.216     0.233
1953   51    1902     2.625     0.978     0.770     0.429     0.216     0.233
1953   52    1901     2.625     0.978     0.770     0.429     0.216     0.233
1953   53    1900     2.625     0.978     0.770     0.429     0.216     0.233
1953   54    1899     2.625     0.978     0.770     0.429     0.216     0.233
1953   55    1898     2.625     0.978     0.770     0.429     0.216     0.233
1954   12    1942     0.000     0.000     0.000     0.000     0.000     0.000
1954   13    1941     0.000     0.000     0.000     0.000     0.000     0.000
1954   14    1940     0.000     0.000     0.000     0.000     0.000     0.000
1954   15    1939     0.000     0.000     0.000     0.000     0.000     0.000
1954   16    1938     0.001     0.001     0.000     0.000     0.000     0.000
1954   17    1937     0.005     0.005     0.000     0.000     0.000     0.000
1954   18    1936     0.021     0.020     0.001     0.000     0.000     0.000
1954   19    1935     0.067     0.061     0.005     0.000     0.000     0.000
1954   20    1934     0.159     0.140     0.018     0.001     0.000     0.000
1954   21    1933     0.301     0.249     0.045     0.005     0.001     0.000
1954   22    1932     0.478     0.369     0.092     0.014     0.002     0.000
1954   23    1931     0.675     0.486     0.154     0.028     0.005     0.001
1954   24    1930     0.875     0.587     0.225     0.050     0.011     0.002
1954   25    1929     1.071     0.670     0.300     0.076     0.019     0.005
1954   26    1928     1.256     0.737     0.373     0.106     0.030     0.009
1954   27    1927     1.425     0.788     0.442     0.137     0.043     0.016
1954   28    1926     1.578     0.827     0.503     0.169     0.056     0.024
1954   29    1925     1.716     0.856     0.557     0.200     0.069     0.033
1954   30    1924     1.840     0.879     0.604     0.230     0.083     0.044
1954   31    1923     1.950     0.897     0.642     0.257     0.097     0.057
1954   32    1922     2.048     0.910     0.674     0.282     0.111     0.070
1954   33    1921     2.135     0.921     0.699     0.305     0.125     0.085
1954   34    1920     2.212     0.930     0.719     0.324     0.138     0.101
1954   35    1919     2.279     0.937     0.735     0.342     0.149     0.117
1954   36    1918     2.341     0.942     0.748     0.357     0.160     0.134
1954   37    1917     2.392     0.946     0.757     0.370     0.169     0.150
