Czechia, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 02/02/2023
Year    Age        Exposure
1950     12        53109.91
1950     13        53039.84
1950     14        53330.97
1950     15        55758.46
1950     16        58350.03
1950     17        61173.23
1950     18        64174.70
1950     19        67651.82
1950     20        67859.09
1950     21        68205.91
1950     22        67968.52
1950     23        70308.12
1950     24        72193.58
1950     25        73529.77
1950     26        76457.10
1950     27        76715.23
1950     28        78157.61
1950     29        72750.76
1950     30        68472.58
1950     31        41975.32
1950     32        34559.25
1950     33        36663.26
1950     34        45377.25
1950     35        61734.47
1950     36        73077.55
1950     37        74224.25
1950     38        74389.15
1950     39        75459.43
1950     40        76277.08
1950     41        75537.42
1950     42        73876.54
1950     43        73387.63
1950     44        71259.81
1950     45        69479.43
1950     46        69704.18
1950     47        69506.08
1950     48        68982.88
1950     49        67494.51
1950     50        65429.93
1950     51        63063.34
1950     52        60931.04
1950     53        59361.67
1950     54        57675.20
1950     55        55020.48
1951     12        56140.88
1951     13        53199.96
1951     14        53144.40
1951     15        53441.76
1951     16        55844.24
1951     17        58383.46
1951     18        61169.30
1951     19        64153.70
1951     20        67594.84
1951     21        67751.10
1951     22        68085.66
1951     23        67846.14
1951     24        70178.67
1951     25        72050.61
1951     26        73343.84
1951     27        76247.90
1951     28        76531.68
1951     29        77981.70
1951     30        72567.48
1951     31        68303.65
1951     32        41869.56
1951     33        34471.67
1951     34        36558.71
1951     35        45249.85
1951     36        61569.90
1951     37        72864.88
1951     38        74013.47
1951     39        74170.67
1951     40        75228.58
1951     41        76021.58
1951     42        75279.20
1951     43        73630.90
1951     44        73116.45
1951     45        70951.43
1951     46        69155.79
1951     47        69386.64
1951     48        69171.93
1951     49        68613.21
1951     50        67088.27
1951     51        65011.64
1951     52        62638.51
1951     53        60475.81
1951     54        58881.47
1951     55        57178.22
1952     12        60155.93
1952     13        56243.44
1952     14        53307.37
1952     15        53266.31
1952     16        53566.01
1952     17        55932.23
1952     18        58419.33
1952     19        61181.01
1952     20        64141.89
1952     21        67541.27
1952     22        67657.32
1952     23        67979.56
1952     24        67733.67
1952     25        70065.72
1952     26        71899.80
1952     27        73158.51
1952     28        76066.24
1952     29        76349.43
1952     30        77799.44
1952     31        72384.90
1952     32        68146.47
1952     33        41771.49
1952     34        34379.64
1952     35        36466.86
1952     36        45129.19
1952     37        61401.67
1952     38        72661.57
1952     39        73800.37
1952     40        73959.77
1952     41        75010.87
1952     42        75776.76
1952     43        75020.22
1952     44        73389.96
1952     45        72846.40
1952     46        70659.73
1952     47        68843.16
1952     48        69071.05
1952     49        68830.35
1952     50        68219.80
1952     51        66676.86
1952     52        64595.81
1952     53        62167.98
1952     54        60008.54
1952     55        58400.35
1953     12        63486.48
1953     13        60261.69
1953     14        56346.84
1953     15        53417.29
1953     16        53381.93
1953     17        53683.22
1953     18        56020.48
1953     19        58462.35
1953     20        61190.82
1953     21        64139.22
1953     22        67498.78
1953     23        67573.85
1953     24        67869.06
1953     25        67637.36
1953     26        69958.24
1953     27        71761.34
1953     28        72991.57
1953     29        75887.76
1953     30        76181.41
1953     31        77617.88
1953     32        72214.58
1953     33        67991.35
1953     34        41672.41
1953     35        34293.79
1953     36        36370.85
1953     37        45011.86
1953     38        61236.60
1953     39        72458.27
1953     40        73577.28
1953     41        73737.87
1953     42        74789.32
1953     43        75520.11
1953     44        74774.57
1953     45        73123.37
1953     46        72558.85
1953     47        70349.52
1953     48        68517.86
1953     49        68718.96
1953     50        68469.75
1953     51        67841.56
1953     52        66254.44
1953     53        64144.81
1953     54        61667.12
1953     55        59505.76
1954     12        66182.86
1954     13        63601.37
1954     14        60362.79
1954     15        56450.24
1954     16        53525.19
1954     17        53501.54
1954     18        53803.28
1954     19        56110.41
1954     20        58506.86
1954     21        61209.95
1954     22        64135.17
1954     23        67463.88
1954     24        67493.97
1954     25        67771.28
1954     26        67548.14
1954     27        69865.00
1954     28        71625.41
1954     29        72844.86
1954     30        75719.39
1954     31        76011.18
1954     32        77434.64
1954     33        72062.92
1954     34        67833.14
1954     35        41572.72
1954     36        34211.43
1954     37        36288.35
1954     38        44900.20
1954     39        61066.21
1954     40        72244.30
1954     41        73355.69
1954     42        73520.63
1954     43        74551.93
1954     44        75267.79
1954     45        74497.93
1954     46        72843.44
1954     47        72255.29
1954     48        70015.31
1954     49        68166.06
1954     50        68361.54
1954     51        68107.49
1954     52        67440.99
1954     53        65816.35
1954     54        63639.46
1954     55        61167.76
1955     12        71849.30
1955     13        66274.14
1955     14        63714.76
1955     15        60466.37
1955     16        56557.98
1955     17        53637.22
1955     18        53625.25
1955     19        53926.22
1955     20        56207.55
1955     21        58557.48
1955     22        61228.99
1955     23        64140.11
1955     24        67431.89
1955     25        67415.59
1955     26        67674.62
1955     27        67458.81
1955     28        69766.97
1955     29        71501.00
1955     30        72684.91
1955     31        75555.52
1955     32        75826.28
1955     33        77279.19
1955     34        71900.24
1955     35        67672.19
1955     36        41472.70
1955     37        34125.90
1955     38        36201.17
1955     39        44779.54
1955     40        60893.48
1955     41        72057.17
1955     42        73139.75
1955     43        73296.05
1955     44        74304.71
1955     45        74992.81
1955     46        74235.11
1955     47        72553.17
1955     48        71935.40
1955     49        69685.26
1955     50        67811.92
1955     51        67957.93
1955     52        67717.73
1955     53        67026.07
1955     54        65336.43
1955     55        63148.78
1956     12        76184.08
1956     13        71904.49
1956     14        66365.25
1956     15        63825.97
1956     16        60570.47
1956     17        56659.71
1956     18        53751.30
1956     19        53743.84
1956     20        54048.64
1956     21        56302.29
1956     22        58608.17
1956     23        61249.81
1956     24        64137.33
1956     25        67401.39
1956     26        67335.55
1956     27        67579.62
1956     28        67373.95
1956     29        69668.70
1956     30        71370.00
1956     31        72524.85
1956     32        75374.26
1956     33        75664.24
1956     34        77115.32
1956     35        71734.04
1956     36        67506.64
1956     37        41375.99
1956     38        34037.71
1956     39        36108.00
1956     40        44656.05
1956     41        60739.75
1956     42        71854.20
1956     43        72906.65
1956     44        73067.82
1956     45        74051.16
1956     46        74736.32
1956     47        73952.97
1956     48        72270.91
1956     49        71613.68
1956     50        69336.73
1956     51        67402.45
1956     52        67550.35
1956     53        67299.47
1956     54        66551.50
1956     55        64843.51
1957     12        76858.38
1957     13        76224.75
1957     14        71960.68
1957     15        66452.69
1957     16        63936.69
1957     17        60668.90
1957     18        56762.11
1957     19        53857.68
1957     20        53861.96
1957     21        54165.95
1957     22        56397.48
1957     23        58647.11
1957     24        61264.90
1957     25        64139.17
1957     26        67362.31
1957     27        67257.87
1957     28        67491.29
1957     29        67296.04
1957     30        69574.24
1957     31        71239.62
1957     32        72352.90
1957     33        75211.36
1957     34        75491.95
1957     35        76940.62
1957     36        71556.89
1957     37        67355.77
1957     38        41279.34
1957     39        33942.86
1957     40        36014.49
1957     41        44527.90
1957     42        60561.02
1957     43        71627.40
1957     44        72691.24
1957     45        72835.76
1957     46        73810.62
1957     47        74463.01
1957     48        73663.16
1957     49        71961.99
1957     50        71279.14
1957     51        68952.86
1957     52        67002.83
1957     53        67126.61
1957     54        66839.22
1957     55        66053.26
1958     12        82023.71
1958     13        76884.78
1958     14        76265.74
1958     15        72015.54
1958     16        66540.63
1958     17        64037.92
1958     18        60757.32
1958     19        56858.18
1958     20        53970.05
1958     21        53973.15
1958     22        54289.95
1958     23        56484.52
1958     24        58695.32
1958     25        61285.40
1958     26        64137.19
1958     27        67328.49
1958     28        67186.50
1958     29        67407.92
1958     30        67209.49
1958     31        69480.14
1958     32        71101.30
1958     33        72196.92
1958     34        75039.25
1958     35        75309.96
1958     36        76764.73
1958     37        71386.07
1958     38        67212.30
1958     39        41176.69
1958     40        33854.84
1958     41        35911.82
1958     42        44397.90
1958     43        60382.30
1958     44        71425.61
1958     45        72453.98
1958     46        72591.53
1958     47        73545.24
1958     48        74162.36
1958     49        73344.36
1958     50        71627.06
1958     51        70901.43
1958     52        68550.49
1958     53        66591.55
1958     54        66686.69
1958     55        66373.64
1959     12        90948.48
1959     13        82065.84
1959     14        76918.62
1959     15        76305.57
1959     16        72070.40
1959     17        66623.57
1959     18        64137.47
1959     19        60849.25
1959     20        56961.41
1959     21        54081.31
1959     22        54095.77
1959     23        54407.76
1959     24        56584.98
1959     25        58753.27
1959     26        61307.94
1959     27        64134.26
1959     28        67303.45
1959     29        67109.93
1959     30        67314.65
1959     31        67123.58
1959     32        69389.85
1959     33        70969.68
1959     34        72038.91
1959     35        74857.44
1959     36        75140.47
1959     37        76587.27
1959     38        71231.27
1959     39        67054.67
1959     40        41078.88
1959     41        33761.65
1959     42        35812.48
1959     43        44256.09
1959     44        60207.74
1959     45        71199.65
1959     46        72205.89
1959     47        72316.96
1959     48        73250.20
1959     49        73837.06
1959     50        72994.88
1959     51        71267.97
1959     52        70503.05
1959     53        68152.80
1959     54        66140.76
1959     55        66228.95
1960     12        90053.22
1960     13        91005.87
1960     14        82112.38
1960     15        76948.72
1960     16        76344.75
1960     17        72119.09
1960     18        66704.02
1960     19        64241.19
1960     20        60943.35
1960     21        57064.15
1960     22        54188.79
1960     23        54211.54
1960     24        54533.94
1960     25        56684.82
1960     26        58800.74
1960     27        61318.51
1960     28        64142.71
1960     29        67269.47
1960     30        67032.47
1960     31        67227.95
1960     32        67043.42
1960     33        69287.25
1960     34        70835.60
1960     35        71871.10
1960     36        74686.00
1960     37        74970.57
1960     38        76415.97
1960     39        71064.53
1960     40        66896.53
1960     41        40971.70
1960     42        33660.80
1960     43        35699.98
1960     44        44115.76
1960     45        60000.85
1960     46        70960.18
1960     47        71945.13
1960     48        72046.57
1960     49        72936.82
1960     50        73479.42
1960     51        72631.08
1960     52        70870.55
1960     53        70093.85
1960     54        67711.10
1960     55        65684.97
1961     12        84064.48
1961     13        90073.21
1961     14        90960.07
1961     15        82074.24
1961     16        76887.59
1961     17        76353.00
1961     18        72064.71
1961     19        66690.24
1961     20        64240.86
1961     21        60999.82
1961     22        57036.49
1961     23        54248.30
1961     24        54218.29
1961     25        54550.75
1961     26        56702.75
1961     27        58779.11
1961     28        61251.92
1961     29        64087.50
1961     30        67168.84
1961     31        66914.52
1961     32        67114.93
1961     33        66936.59
1961     34        69154.67
1961     35        70663.03
1961     36        71687.06
1961     37        74519.06
1961     38        74771.90
1961     39        76289.48
1961     40        70847.62
1961     41        66812.53
1961     42        40777.21
1961     43        33554.88
1961     44        35602.13
1961     45        43917.11
1961     46        59861.41
1961     47        70653.82
1961     48        71628.68
1961     49        71765.65
1961     50        72569.18
1961     51        73107.50
1961     52        72219.73
1961     53        70461.29
1961     54        69645.20
1961     55        67220.47
1962     12        84022.65
1962     13        84009.25
1962     14        89989.31
1962     15        90811.17
1962     16        81933.61
1962     17        76781.46
1962     18        76259.10
1962     19        71900.51
1962     20        66554.82
1962     21        64186.62
1962     22        60931.29
1962     23        56935.60
1962     24        54190.70
1962     25        54101.23
1962     26        54476.68
1962     27        56650.28
1962     28        58660.07
1962     29        61108.73
1962     30        63968.33
1962     31        67004.63
1962     32        66757.33
1962     33        66970.59
1962     34        66790.67
1962     35        68983.02
1962     36        70454.39
1962     37        71496.30
1962     38        74324.44
1962     39        74609.90
1962     40        76107.06
1962     41        70696.13
1962     42        66631.43
1962     43        40552.28
1962     44        33449.79
1962     45        35450.97
1962     46        43791.74
1962     47        59683.72
1962     48        70287.89
1962     49        71315.24
1962     50        71413.89
1962     51        72172.31
1962     52        72713.26
1962     53        71802.74
1962     54        70013.73
1962     55        69121.45
1963     12        85493.52
1963     13        83921.49
1963     14        83946.30
1963     15        89882.49
1963     16        90636.95
1963     17        81769.49
1963     18        76668.97
1963     19        76147.60
1963     20        71718.70
1963     21        66403.10
1963     22        64123.75
1963     23        60831.67
1963     24        56830.47
1963     25        54103.19
1963     26        53962.05
1963     27        54387.12
1963     28        56578.39
1963     29        58515.09
1963     30        60959.52
1963     31        63824.30
1963     32        66823.94
1963     33        66582.89
1963     34        66816.99
1963     35        66652.96
1963     36        68789.84
1963     37        70243.88
1963     38        71315.04
1963     39        74125.87
1963     40        74446.73
1963     41        75904.38
1963     42        70545.63
1963     43        66422.22
1963     44        40326.67
1963     45        33343.23
1963     46        35295.31
1963     47        43679.69
1963     48        59476.32
1963     49        69908.64
1963     50        70984.74
1963     51        71047.85
1963     52        71767.32
1963     53        72289.03
1963     54        71343.89
1963     55        69533.01
1964     12        84363.21
1964     13        85405.62
1964     14        83816.88
1964     15        83880.36
1964     16        89766.72
1964     17        90456.72
1964     18        81602.50
1964     19        76552.02
1964     20        76035.27
1964     21        71543.23
1964     22        66250.04
1964     23        64055.55
1964     24        60736.55
1964     25        56717.18
1964     26        54020.13
1964     27        53818.00
1964     28        54295.83
1964     29        56500.32
1964     30        58367.88
1964     31        60809.62
1964     32        63674.76
1964     33        66639.84
1964     34        66408.85
1964     35        66676.62
1964     36        66510.43
1964     37        68599.27
1964     38        70052.74
1964     39        71135.02
1964     40        73921.77
1964     41        74267.25
1964     42        75703.50
1964     43        70383.09
1964     44        66188.79
1964     45        40098.83
1964     46        33217.16
1964     47        35136.98
1964     48        43543.81
1964     49        59241.41
1964     50        69511.07
1964     51        70642.73
1964     52        70678.48
1964     53        71322.83
1964     54        71804.47
1964     55        70851.38
1965     12        81888.81
1965     13        84307.90
1965     14        85312.10
1965     15        83696.14
1965     16        83810.47
1965     17        89642.22
1965     18        90279.99
1965     19        81430.94
1965     20        76433.65
1965     21        75929.27
1965     22        71368.43
1965     23        66092.47
1965     24        63989.01
1965     25        60638.60
1965     26        56612.72
1965     27        53940.07
1965     28        53680.45
1965     29        54213.70
1965     30        56420.50
1965     31        58223.49
1965     32        60653.72
1965     33        63529.89
1965     34        66463.10
1965     35        66236.80
1965     36        66529.06
1965     37        66350.26
1965     38        68419.23
1965     39        69849.94
1965     40        70931.06
1965     41        73710.39
1965     42        74088.77
1965     43        75477.01
1965     44        70209.06
1965     45        65957.99
1965     46        39846.77
1965     47        33087.26
1965     48        34957.65
1965     49        43388.93
1965     50        58987.84
1965     51        69085.50
1965     52        70259.06
1965     53        70261.77
1965     54        70815.83
1965     55        71312.25
1966     12        80114.26
1966     13        81837.04
1966     14        84241.55
1966     15        85204.25
1966     16        83580.01
1966     17        83730.26
1966     18        89517.14
1966     19        90094.26
1966     20        81250.93
1966     21        76330.17
1966     22        75821.78
1966     23        71181.96
1966     24        65932.92
1966     25        63921.65
1966     26        60536.82
1966     27        56503.27
1966     28        53862.11
1966     29        53539.45
