Czechia, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 02/02/2023
Year   Age   Cohort      Exposure
1950    12    1938       27178.56
1950    12    1937       25931.35
1950    13    1937       27201.73
1950    13    1936       25838.11
1950    14    1936       27227.05
1950    14    1935       26103.92
1950    15    1935       28293.08
1950    15    1934       27465.38
1950    16    1934       29621.55
1950    16    1933       28728.48
1950    17    1933       30726.09
1950    17    1932       30447.14
1950    18    1932       32602.98
1950    18    1931       31571.72
1950    19    1931       34097.56
1950    19    1930       33554.27
1950    20    1930       35145.52
1950    20    1929       32713.58
1950    21    1929       34819.97
1950    21    1928       33385.94
1950    22    1928       34952.92
1950    22    1927       33015.61
1950    23    1927       35710.32
1950    23    1926       34597.81
1950    24    1926       36484.28
1950    24    1925       35709.31
1950    25    1925       37275.40
1950    25    1924       36254.37
1950    26    1924       38759.50
1950    26    1923       37697.60
1950    27    1923       39902.95
1950    27    1922       36812.29
1950    28    1922       40196.10
1950    28    1921       37961.51
1950    29    1921       38836.22
1950    29    1920       33914.54
1950    30    1920       35550.00
1950    30    1919       32922.58
1950    31    1919       24538.10
1950    31    1918       17437.22
1950    32    1918       17395.94
1950    32    1917       17163.31
1950    33    1917       17132.48
1950    33    1916       19530.78
1950    34    1916       19489.82
1950    34    1915       25887.43
1950    35    1915       25834.93
1950    35    1914       35899.54
1950    36    1914       35831.72
1950    36    1913       37245.83
1950    37    1913       37166.14
1950    37    1912       37058.11
1950    38    1912       36983.98
1950    38    1911       37405.17
1950    39    1911       37328.29
1950    39    1910       38131.14
1950    40    1910       38043.25
1950    40    1909       38233.84
1950    41    1909       38143.08
1950    41    1908       37394.33
1950    42    1908       37311.84
1950    42    1907       36564.70
1950    43    1907       36488.31
1950    43    1906       36899.32
1950    44    1906       36792.49
1950    44    1905       34467.32
1950    45    1905       34355.98
1950    45    1904       35123.44
1950    46    1904       35011.31
1950    46    1903       34692.87
1950    47    1903       34589.96
1950    47    1902       34916.12
1950    48    1902       34795.76
1950    48    1901       34187.11
1950    49    1901       34061.41
1950    49    1900       33433.09
1950    50    1900       33296.64
1950    50    1899       32133.30
1950    51    1899       32003.99
1950    51    1898       31059.35
1950    52    1898       30909.54
1950    52    1897       30021.50
1950    53    1897       29893.10
1950    53    1896       29468.58
1950    54    1896       29302.98
1950    54    1895       28372.22
1950    55    1895       28217.59
1950    55    1894       26802.89
1951    12    1939       28969.49
1951    12    1938       27171.39
1951    13    1938       27229.81
1951    13    1937       25970.16
1951    14    1937       27258.29
1951    14    1936       25886.11
1951    15    1936       27296.34
1951    15    1935       26145.42
1951    16    1935       28360.89
1951    16    1934       27483.36
1951    17    1934       29654.51
1951    17    1933       28728.95
1951    18    1933       30733.09
1951    18    1932       30436.21
1951    19    1932       32598.05
1951    19    1931       31555.64
1951    20    1931       34084.54
1951    20    1930       33510.30
1951    21    1930       35092.64
1951    21    1929       32658.46
1951    22    1929       34761.06
1951    22    1928       33324.59
1951    23    1928       34895.30
1951    23    1927       32950.83
1951    24    1927       35655.86
1951    24    1926       34522.81
1951    25    1926       36418.61
1951    25    1925       35632.00
1951    26    1925       37190.62
1951    26    1924       36153.22
1951    27    1924       38652.24
1951    27    1923       37595.65
1951    28    1923       39804.21
1951    28    1922       36727.47
1951    29    1922       40105.82
1951    29    1921       37875.88
1951    30    1921       38739.24
1951    30    1920       33828.24
1951    31    1920       35453.66
1951    31    1919       32849.99
1951    32    1919       24484.62
1951    32    1918       17384.94
1951    33    1918       17350.52
1951    33    1917       17121.15
1951    34    1917       17085.72
1951    34    1916       19472.99
1951    35    1916       19433.08
1951    35    1915       25816.77
1951    36    1915       25767.02
1951    36    1914       35802.88
1951    37    1914       35729.74
1951    37    1913       37135.14
1951    38    1913       37058.15
1951    38    1912       36955.32
1951    39    1912       36876.88
1951    39    1911       37293.79
1951    40    1911       37223.50
1951    40    1910       38005.08
1951    41    1910       37918.66
1951    41    1909       38102.92
1951    42    1909       38007.86
1951    42    1908       37271.34
1951    43    1908       37182.75
1951    43    1907       36448.14
1951    44    1907       36369.13
1951    44    1906       36747.32
1951    45    1906       36647.61
1951    45    1905       34303.82
1951    46    1905       34194.32
1951    46    1904       34961.47
1951    47    1904       34848.68
1951    47    1903       34537.96
1951    48    1903       34435.67
1951    48    1902       34736.26
1951    49    1902       34619.96
1951    49    1901       33993.25
1951    50    1901       33857.14
1951    50    1900       33231.14
1951    51    1900       33080.16
1951    51    1899       31931.49
1951    52    1899       31801.30
1951    52    1898       30837.21
1951    53    1898       30660.55
1951    53    1897       29815.26
1951    54    1897       29665.49
1951    54    1896       29215.98
1951    55    1896       29049.47
1951    55    1895       28128.75
1952    12    1940       31191.94
1952    12    1939       28963.99
1952    13    1939       29018.30
1952    13    1938       27225.14
1952    14    1938       27283.22
1952    14    1937       26024.15
1952    15    1937       27314.33
1952    15    1936       25951.98
1952    16    1936       27357.94
1952    16    1935       26208.07
1952    17    1935       28418.29
1952    17    1934       27513.93
1952    18    1934       29683.83
1952    18    1933       28735.50
1952    19    1933       30749.40
1952    19    1932       30431.61
1952    20    1932       32598.30
1952    20    1931       31543.59
1952    21    1931       34081.38
1952    21    1930       33459.89
1952    22    1930       35054.11
1952    22    1929       32603.21
1952    23    1929       34709.89
1952    23    1928       33269.67
1952    24    1928       34833.08
1952    24    1927       32900.58
1952    25    1927       35605.04
1952    25    1926       34460.68
1952    26    1926       36348.83
1952    26    1925       35550.97
1952    27    1925       37105.34
1952    27    1924       36053.17
1952    28    1924       38563.61
1952    28    1923       37502.63
1952    29    1923       39704.45
1952    29    1922       36644.98
1952    30    1922       40018.15
1952    30    1921       37781.29
1952    31    1921       38648.33
1952    31    1920       33736.57
1952    32    1920       35368.08
1952    32    1919       32778.39
1952    33    1919       24431.14
1952    33    1918       17340.35
1952    34    1918       17303.26
1952    34    1917       17076.38
1952    35    1917       17045.28
1952    35    1916       19421.58
1952    36    1916       19379.00
1952    36    1915       25750.18
1952    37    1915       25698.77
1952    37    1914       35702.90
1952    38    1914       35632.42
1952    38    1913       37029.15
1952    39    1913       36954.16
1952    39    1912       36846.21
1952    40    1912       36765.77
1952    40    1911       37194.00
1952    41    1911       37123.04
1952    41    1910       37887.83
1952    42    1910       37807.07
1952    42    1909       37969.69
1952    43    1909       37878.96
1952    43    1908       37141.25
1952    44    1908       37059.67
1952    44    1907       36330.29
1952    45    1907       36241.95
1952    45    1906       36604.45
1952    46    1906       36509.75
1952    46    1905       34149.98
1952    47    1905       34042.48
1952    47    1904       34800.68
1952    48    1904       34687.21
1952    48    1903       34383.84
1952    49    1903       34273.22
1952    49    1902       34557.13
1952    50    1902       34423.50
1952    50    1901       33796.31
1952    51    1901       33665.54
1952    51    1900       33011.32
1952    52    1900       32864.35
1952    52    1899       31731.46
1952    53    1899       31585.60
1952    53    1898       30582.38
1952    54    1898       30415.72
1952    54    1897       29592.82
1952    55    1897       29431.38
1952    55    1896       28968.97
1953    12    1941       32297.71
1953    12    1940       31188.77
1953    13    1940       31246.72
1953    13    1939       29014.97
1953    14    1939       29067.96
1953    14    1938       27278.89
1953    15    1938       27339.64
1953    15    1937       26077.65
1953    16    1937       27371.39
1953    16    1936       26010.54
1953    17    1936       27422.10
1953    17    1935       26261.13
1953    18    1935       28479.34
1953    18    1934       27541.14
1953    19    1934       29711.60
1953    19    1933       28750.75
1953    20    1933       30758.99
1953    20    1932       30431.83
1953    21    1932       32598.54
1953    21    1931       31540.68
1953    22    1931       34075.63
1953    22    1930       33423.14
1953    23    1930       35018.64
1953    23    1929       32555.21
1953    24    1929       34658.72
1953    24    1928       33210.35
1953    25    1928       34783.66
1953    25    1927       32853.69
1953    26    1927       35563.59
1953    26    1926       34394.66
1953    27    1926       36291.90
1953    27    1925       35469.44
1953    28    1925       37021.08
1953    28    1924       35970.50
1953    29    1924       38479.12
1953    29    1923       37408.64
1953    30    1923       39616.53
1953    30    1922       36564.87
1953    31    1922       39925.25
1953    31    1921       37692.63
1953    32    1921       38559.44
1953    32    1920       33655.14
1953    33    1920       35284.56
1953    33    1919       32706.79
1953    34    1919       24377.66
1953    34    1918       17294.76
1953    35    1918       17260.00
1953    35    1917       17033.78
1953    36    1917       17004.35
1953    36    1916       19366.50
1953    37    1916       19329.60
1953    37    1915       25682.27
1953    38    1915       25633.18
1953    38    1914       35603.42
1953    39    1914       35535.28
1953    39    1913       36923.00
1953    40    1913       36844.68
1953    40    1912       36732.60
1953    41    1912       36646.50
1953    41    1911       37091.37
1953    42    1911       37018.75
1953    42    1910       37770.57
1953    43    1910       37677.15
1953    43    1909       37842.96
1953    44    1909       37753.57
1953    44    1908       37021.00
1953    45    1908       36928.76
1953    45    1907       36194.61
1953    46    1907       36095.27
1953    46    1906       36463.58
1953    47    1906       36355.54
1953    47    1905       33993.98
1953    48    1905       33884.48
1953    48    1904       34633.38
1953    49    1904       34500.92
1953    49    1903       34218.05
1953    50    1903       34108.09
1953    50    1902       34361.66
1953    51    1902       34245.69
1953    51    1901       33595.87
1953    52    1901       33454.76
1953    52    1900       32799.68
1953    53    1900       32643.04
1953    53    1899       31501.77
1953    54    1899       31329.24
1953    54    1898       30337.88
1953    55    1898       30164.55
1953    55    1897       29341.21
1954    12    1942       33888.82
1954    12    1941       32294.04
1954    13    1941       32359.48
1954    13    1940       31241.88
1954    14    1940       31300.16
1954    14    1939       29062.62
1954    15    1939       29115.94
1954    15    1938       27334.31
1954    16    1938       27393.06
1954    16    1937       26132.13
1954    17    1937       27429.99
1954    17    1936       26071.54
1954    18    1936       27485.74
1954    18    1935       26317.54
1954    19    1935       28543.51
1954    19    1934       27566.90
1954    20    1934       29747.14
1954    20    1933       28759.72
1954    21    1933       30777.89
1954    21    1932       30432.06
1954    22    1932       32599.82
1954    22    1931       31535.36
1954    23    1931       34074.56
1954    23    1930       33389.32
1954    24    1930       34986.76
1954    24    1929       32507.21
1954    25    1929       34608.06
1954    25    1928       33163.23
1954    26    1928       34732.70
1954    26    1927       32815.44
1954    27    1927       35524.21
1954    27    1926       34340.79
1954    28    1926       36236.52
1954    28    1925       35388.89
1954    29    1925       36953.18
1954    29    1924       35891.69
1954    30    1924       38393.59
1954    30    1923       37325.80
1954    31    1923       39531.18
1954    31    1922       36479.99
1954    32    1922       39828.69
1954    32    1921       37605.95
1954    33    1921       38487.27
1954    33    1920       33575.65
1954    34    1920       35197.95
1954    34    1919       32635.19
1954    35    1919       24322.89
1954    35    1918       17249.83
1954    36    1918       17214.08
1954    36    1917       16997.35
1954    37    1917       16968.92
1954    37    1916       19319.43
1954    38    1916       19282.85
1954    38    1915       25617.35
1954    39    1915       25561.60
1954    39    1914       35504.61
