Czechia, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 02/02/2023
Year    ARDY   Cohort       Exposure
1950     12     1938        27178.56
1950     13     1937        53133.09
1950     14     1936        53065.16
1950     15     1935        54397.00
1950     16     1934        57086.93
1950     17     1933        59454.57
1950     18     1932        63050.12
1950     19     1931        65669.28
1950     20     1930        68699.79
1950     21     1929        67533.55
1950     22     1928        68338.86
1950     23     1927        68725.92
1950     24     1926        71082.08
1950     25     1925        72984.71
1950     26     1924        75013.87
1950     27     1923        77600.55
1950     28     1922        77008.38
1950     29     1921        76797.73
1950     30     1920        69464.53
1950     31     1919        57460.68
1950     32     1918        34833.17
1950     33     1917        34295.79
1950     34     1916        39020.60
1950     35     1915        51722.36
1950     36     1914        71731.25
1950     37     1913        74411.97
1950     38     1912        74042.09
1950     39     1911        74733.46
1950     40     1910        76174.39
1950     41     1909        76376.92
1950     42     1908        74706.17
1950     43     1907        73053.01
1950     44     1906        73691.81
1950     45     1905        68823.30
1950     46     1904        70134.75
1950     47     1903        69282.83
1950     48     1902        69711.88
1950     49     1901        68248.53
1950     50     1900        66729.73
1950     51     1899        64137.29
1950     52     1898        61968.90
1950     53     1897        59914.60
1950     54     1896        58771.56
1950     55     1895        56589.81
1951     12     1939        28969.49
1951     13     1938        54401.20
1951     14     1937        53228.45
1951     15     1936        53182.45
1951     16     1935        54506.30
1951     17     1934        57137.86
1951     18     1933        59462.04
1951     19     1932        63034.26
1951     20     1931        65640.18
1951     21     1930        68602.94
1951     22     1929        67419.52
1951     23     1928        68219.90
1951     24     1927        68606.69
1951     25     1926        70941.42
1951     26     1925        72822.63
1951     27     1924        74805.46
1951     28     1923        77399.87
1951     29     1922        76833.29
1951     30     1921        76615.12
1951     31     1920        69281.90
1951     32     1919        57334.61
1951     33     1918        34735.46
1951     34     1917        34206.86
1951     35     1916        38906.07
1951     36     1915        51583.78
1951     37     1914        71532.62
1951     38     1913        74193.29
1951     39     1912        73832.19
1951     40     1911        74517.30
1951     41     1910        75923.74
1951     42     1909        76110.77
1951     43     1908        74454.10
1951     44     1907        72817.27
1951     45     1906        73394.94
1951     46     1905        68498.14
1951     47     1904        69810.15
1951     48     1903        68973.63
1951     49     1902        69356.22
1951     50     1901        67850.39
1951     51     1900        66311.29
1951     52     1899        63732.78
1951     53     1898        61497.76
1951     54     1897        59480.75
1951     55     1896        58265.45
1952     12     1940        31191.94
1952     13     1939        57982.29
1952     14     1938        54508.36
1952     15     1937        53338.48
1952     16     1936        53309.92
1952     17     1935        54626.37
1952     18     1934        57197.76
1952     19     1933        59484.90
1952     20     1932        63029.90
1952     21     1931        65624.98
1952     22     1930        68513.99
1952     23     1929        67313.10
1952     24     1928        68102.75
1952     25     1927        68505.62
1952     26     1926        70809.51
1952     27     1925        72656.30
1952     28     1924        74616.78
1952     29     1923        77207.08
1952     30     1922        76663.13
1952     31     1921        76429.62
1952     32     1920        69104.65
1952     33     1919        57209.53
1952     34     1918        34643.61
1952     35     1917        34121.67
1952     36     1916        38800.58
1952     37     1915        51448.95
1952     38     1914        71335.33
1952     39     1913        73983.31
1952     40     1912        73611.98
1952     41     1911        74317.04
1952     42     1910        75694.90
1952     43     1909        75848.65
1952     44     1908        74200.92
1952     45     1907        72572.24
1952     46     1906        73114.19
1952     47     1905        68192.47
1952     48     1904        69487.89
1952     49     1903        68657.05
1952     50     1902        68980.62
1952     51     1901        67461.84
1952     52     1900        65875.67
1952     53     1899        63317.07
1952     54     1898        60998.10
1952     55     1897        59024.21
1953     12     1941        32297.71
1953     13     1940        62435.49
1953     14     1939        58082.93
1953     15     1938        54618.53
1953     16     1937        53449.04
1953     17     1936        53432.64
1953     18     1935        54740.47
1953     19     1934        57252.74
1953     20     1933        59509.74
1953     21     1932        63030.37
1953     22     1931        65616.31
1953     23     1930        68441.78
1953     24     1929        67213.93
1953     25     1928        67994.01
1953     26     1927        68417.28
1953     27     1926        70686.56
1953     28     1925        72490.52
1953     29     1924        74449.62
1953     30     1923        77025.17
1953     31     1922        76490.12
1953     32     1921        76252.08
1953     33     1920        68939.69
1953     34     1919        57084.45
1953     35     1918        34554.76
1953     36     1917        34038.13
1953     37     1916        38696.10
1953     38     1915        51315.45
1953     39     1914        71138.70
1953     40     1913        73767.67
1953     41     1912        73379.10
1953     42     1911        74110.12
1953     43     1910        75447.72
1953     44     1909        75596.53
1953     45     1908        73949.76
1953     46     1907        72289.89
1953     47     1906        72819.12
1953     48     1905        67878.46
1953     49     1904        69134.30
1953     50     1903        68326.14
1953     51     1902        68607.36
1953     52     1901        67050.63
1953     53     1900        65442.72
1953     54     1899        62831.01
1953     55     1898        60502.43
1954     12     1942        33888.82
1954     13     1941        64653.52
1954     14     1940        62542.05
1954     15     1939        58178.56
1954     16     1938        54727.37
1954     17     1937        53562.12
1954     18     1936        53557.28
1954     19     1935        54861.05
1954     20     1934        57314.05
1954     21     1933        59537.60
1954     22     1932        63031.88
1954     23     1931        65609.91
1954     24     1930        68376.08
1954     25     1929        67115.27
1954     26     1928        67895.93
1954     27     1927        68339.65
1954     28     1926        70577.30
1954     29     1925        72342.07
1954     30     1924        74285.28
1954     31     1923        76856.98
1954     32     1922        76308.68
1954     33     1921        76093.21
1954     34     1920        68773.60
1954     35     1919        56958.08
1954     36     1918        34463.91
1954     37     1917        33966.27
1954     38     1916        38602.28
1954     39     1915        51178.95
1954     40     1914        70933.40
1954     41     1913        73556.37
1954     42     1912        73147.88
1954     43     1911        73897.87
1954     44     1910        75195.20
1954     45     1909        75327.41
1954     46     1908        73680.92
1954     47     1907        71997.86
