Czechia, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 02/02/2023
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1950     27.26     23.73     26.87     29.73     31.82     34.76     26.75     23.60     26.63     29.26     31.12     33.26
1951     27.07     23.57     26.67     29.53     31.64     34.60     26.58     23.46     26.44     29.06     30.91     33.23
1952     27.00     23.56     26.64     29.45     31.46     34.50     26.54     23.46     26.44     29.01     30.77     33.11
1953     26.97     23.46     26.59     29.37     31.48     34.39     26.51     23.36     26.40     28.91     30.79     33.00
1954     26.86     23.35     26.54     29.37     31.29     34.26     26.43     23.26     26.38     28.95     30.61     32.92
1955     26.75     23.26     26.55     29.14     31.21     34.19     26.33     23.17     26.40     28.75     30.53     32.79
1956     26.54     23.12     26.42     29.08     31.08     34.00     26.16     23.05     26.27     28.69     30.44     32.75
1957     26.32     23.00     26.27     28.94     30.99     33.74     25.98     22.92     26.15     28.59     30.37     32.58
1958     25.97     23.01     26.13     28.69     30.78     33.63     25.71     22.96     26.04     28.43     30.24     32.49
1959     25.53     22.91     26.04     28.57     30.47     33.42     25.31     22.86     25.96     28.30     30.01     32.29
1960     25.45     22.88     26.06     28.52     30.41     33.33     25.26     22.82     25.99     28.30     29.92     32.28
1961     25.42     22.90     26.08     28.55     30.36     33.30     25.24     22.84     26.00     28.34     29.88     32.19
1962     25.32     22.81     26.03     28.38     30.39     33.26     25.15     22.76     25.96     28.21     29.93     32.20
1963     25.44     22.75     26.13     28.56     30.35     33.19     25.29     22.71     26.06     28.39     30.01     32.18
1964     25.58     22.73     26.21     28.71     30.50     33.23     25.40     22.67     26.13     28.54     30.10     32.22
1965     25.55     22.69     26.13     28.78     30.69     33.24     25.37     22.63     26.06     28.59     30.24     32.24
1966     25.36     22.57     26.07     28.69     30.55     33.20     25.20     22.53     26.01     28.51     30.16     32.26
1967     25.16     22.50     26.02     28.62     30.62     33.14     25.01     22.45     25.96     28.44     30.21     32.20
1968     25.07     22.54     26.00     28.65     30.56     33.21     24.93     22.49     25.93     28.48     30.16     32.31
1969     25.03     22.47     25.95     28.73     30.89     33.33     24.89     22.44     25.90     28.55     30.41     32.45
1970     24.99     22.47     26.00     28.78     30.88     33.41     24.85     22.43     25.94     28.59     30.45     32.47
1971     25.12     22.59     26.13     28.98     30.79     33.57     24.99     22.56     26.08     28.81     30.40     32.48
1972     25.13     22.62     26.00     28.92     30.81     33.48     25.02     22.59     25.96     28.75     30.38     32.50
1973     25.25     22.63     26.00     28.79     30.96     33.51     25.14     22.60     25.96     28.65     30.51     32.50
1974     25.24     22.60     25.96     28.80     30.79     33.51     25.14     22.57     25.93     28.67     30.41     32.55
