Czechia, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 02/02/2023
Cohort    CMAB    CMAB40
1935     25.18     25.07
1936     25.19     25.09
1937     25.17     25.07
1938     25.14     25.05
1939     25.06     24.96
1940     25.02     24.93
1941     25.06     24.99
1942     25.13     25.06
1943     25.15     25.08
1944     25.15     25.08
1945     25.13     25.07
1946     25.17     25.11
1947     25.14     25.07
1948     25.04     24.98
1949     24.95     24.88
1950     24.85     24.78
1951     24.79     24.71
1952     24.72     24.64
1953     24.64     24.56
1954     24.57     24.49
1955     24.51     24.43
1956     24.46     24.38
1957     24.44     24.35
1958     24.48     24.38
1959     24.50     24.39
1960     24.58     24.44
1961     24.62     24.48
1962     24.66     24.52
1963     24.71     24.54
1964     24.81     24.64
1965     24.90     24.69
1966     24.99     24.75
1967     25.13     24.88
1968     25.33     25.05
1969     25.57     25.28
1970     25.85     25.56
1971     26.26     25.95
1972         .     26.37
1973         .     26.76
1974         .     27.26
1975         .     27.81
1976         .     28.24
1977         .     28.71
1978         .     29.02
1979         .     29.24
1980         .     29.41
1981         .     29.64
