Czechia, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 02/02/2023
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1935     25.18     22.74     25.92     28.07     29.67     31.93     25.07     22.70     25.87     27.92     29.34     31.33
1936     25.19     22.75     25.97     28.18     29.79     31.89     25.09     22.71     25.92     28.01     29.49     31.33
1937     25.17     22.72     25.97     28.23     29.80     31.72     25.07     22.68     25.93     28.07     29.50     31.19
1938     25.14     22.65     25.96     28.28     29.97     31.78     25.05     22.62     25.92     28.16     29.68     31.24
1939     25.06     22.52     25.90     28.38     29.98     31.90     24.96     22.50     25.86     28.23     29.67     31.31
1940     25.02     22.49     25.92     28.47     30.10     31.73     24.93     22.46     25.88     28.32     29.78     31.18
1941     25.06     22.52     26.03     28.62     30.36     31.61     24.99     22.50     26.00     28.51     30.07     31.04
1942     25.13     22.55     26.14     28.92     30.53     31.81     25.06     22.53     26.11     28.81     30.24     31.24
1943     25.15     22.57     26.20     29.03     30.42     31.79     25.08     22.54     26.17     28.90     30.13     31.21
1944     25.15     22.55     26.24     29.08     30.47     31.76     25.08     22.53     26.21     28.96     30.19     31.22
1945     25.13     22.56     26.22     29.03     30.42     31.72     25.07     22.54     26.19     28.92     30.13     31.20
1946     25.17     22.65     26.24     29.01     30.35     31.68     25.11     22.63     26.21     28.89     30.07     31.11
1947     25.14     22.67     26.15     28.91     30.35     31.62     25.07     22.64     26.13     28.79     30.04     31.06
1948     25.04     22.62     25.97     28.72     30.30     31.63     24.98     22.60     25.94     28.59     29.99     30.97
1949     24.95     22.60     25.79     28.56     30.15     31.61     24.88     22.58     25.77     28.43     29.82     30.92
1950     24.85     22.57     25.63     28.47     30.23     31.64     24.78     22.55     25.60     28.32     29.87     30.92
1951     24.79     22.56     25.50     28.38     30.37     31.78     24.71     22.53     25.47     28.23     29.99     31.00
1952     24.72     22.55     25.39     28.32     30.28     31.83     24.64     22.53     25.36     28.18     29.94     31.13
1953     24.64     22.50     25.30     28.23     30.39     31.91     24.56     22.48     25.26     28.09     30.01     31.28
1954     24.57     22.44     25.23     28.28     30.28     32.01     24.49     22.41     25.19     28.12     29.94     31.26
1955     24.51     22.37     25.18     28.29     30.38     32.07     24.43     22.34     25.15     28.14     30.00     31.37
1956     24.46     22.31     25.12     28.29     30.35     32.14     24.38     22.29     25.09     28.12     29.94     31.41
1957     24.44     22.27     25.11     28.34     30.52     32.40     24.35     22.24     25.07     28.16     30.09     31.62
1958     24.48     22.28     25.17     28.40     30.69     32.43     24.38     22.25     25.12     28.20     30.25     31.59
1959     24.50     22.32     25.23     28.47     30.57     32.66     24.39     22.28     25.17     28.23     30.11     31.80
1960     24.58     22.38     25.30     28.64     30.71     32.95     24.44     22.33     25.24     28.36     30.15     32.07
1961     24.62     22.40     25.39     28.76     30.94     33.09     24.48     22.35     25.31     28.43     30.35     32.10
1962     24.66     22.44     25.47     28.95     31.17     33.33     24.52     22.39     25.39     28.62     30.51     32.28
1963     24.71     22.48     25.56     29.10     31.39     33.56     24.54     22.42     25.48     28.68     30.59     32.51
1964     24.81     22.54     25.74     29.33     31.46     33.39     24.64     22.49     25.64     28.88     30.71     32.31
1965     24.90     22.57     25.87     29.56     31.61     33.33     24.69     22.50     25.75     29.03     30.71     32.13
1966     24.99     22.62     25.99     29.87     31.76     33.25     24.75     22.53     25.86     29.27     30.77     32.12
1967     25.13     22.71     26.16     30.08     31.90     33.54     24.88     22.63     25.99     29.47     31.01     32.25
1968     25.33     22.82     26.43     30.47     32.17     33.72     25.05     22.72     26.25     29.79     31.14     32.52
1969     25.57     23.02     26.74     30.80     32.54     33.87     25.28     22.92     26.54     30.15     31.41     32.57
1970     25.85     23.25     27.14     31.40     32.95     33.89     25.56     23.14     26.94     30.74     31.84     32.57
1971     26.26     23.62     27.62     31.71     33.10     33.86     25.95     23.48     27.40     31.03     31.96     32.60
1972         .         .         .         .         .         .     26.37     23.89     27.90     31.37     32.07     32.68
1973         .         .         .         .         .         .     26.76     24.34     28.37     31.56     32.27     33.13
1974         .         .         .         .         .         .     27.26     24.95     28.87     31.79     32.31     32.83
1975         .         .         .         .         .         .     27.81     25.62     29.39     32.05     32.58     33.14
1976         .         .         .         .         .         .     28.24     26.17     29.80     32.22     32.59     32.99
1977         .         .         .         .         .         .     28.71     26.73     30.19     32.49     32.81     33.29
1978         .         .         .         .         .         .     29.02     27.13     30.46     32.60     32.91     33.40
1979         .         .         .         .         .         .     29.24     27.39     30.66     32.75     32.90     32.94
1980         .         .         .         .         .         .     29.41     27.59     30.77     32.84     33.08     33.09
1981         .         .         .         .         .         .     29.64     27.88     30.98     32.93     32.87     33.38
