Czechia, Conditional fertility rates by calendar year, age and birth order
Last modified: 02/02/2023
Year  Age       m1x       m2x       m3x       m4x      m5px
1950   12-  0.00000         .         .         .         .
1950   13   0.00003         .         .         .         .
1950   14   0.00053   0.10764         .         .         .
1950   15   0.00225   0.03624   0.00000         .         .
1950   16   0.01111   0.04766   0.08061         .         .
1950   17   0.03194   0.09230   0.07619   0.09501         .
1950   18   0.06559   0.13231   0.09023   0.09332   0.00000
1950   19   0.10806   0.18324   0.12387   0.10489   0.03232
1950   20   0.14509   0.20676   0.15459   0.12906   0.06586
1950   21   0.17484   0.21955   0.17041   0.14871   0.14538
1950   22   0.19615   0.22267   0.16855   0.18169   0.16262
1950   23   0.20288   0.21434   0.15850   0.18654   0.20206
1950   24   0.20313   0.22121   0.15582   0.19125   0.22349
1950   25   0.19717   0.21909   0.13960   0.17259   0.21800
1950   26   0.18023   0.20414   0.13000   0.16481   0.23350
1950   27   0.16330   0.19292   0.11671   0.13765   0.22071
1950   28   0.13261   0.18140   0.10669   0.12917   0.22173
1950   29   0.12023   0.16288   0.09279   0.11999   0.20889
1950   30   0.09959   0.14810   0.08521   0.11349   0.19422
1950   31   0.07749   0.12928   0.07746   0.10476   0.19602
1950   32   0.06478   0.11123   0.06761   0.08931   0.17902
1950   33   0.05634   0.10215   0.06282   0.08201   0.16487
1950   34   0.04804   0.08021   0.05494   0.07898   0.15382
1950   35   0.04232   0.08164   0.05230   0.07374   0.16007
1950   36   0.03352   0.06018   0.04295   0.06221   0.13978
1950   37   0.03058   0.04852   0.03564   0.05503   0.12547
1950   38   0.02674   0.03908   0.03180   0.04736   0.11399
1950   39   0.01947   0.02891   0.02517   0.04044   0.09998
1950   40   0.01391   0.02017   0.01933   0.02930   0.08731
1950   41   0.01181   0.01533   0.01297   0.02264   0.07056
1950   42   0.00712   0.00872   0.00965   0.01668   0.05412
1950   43   0.00464   0.00555   0.00599   0.01104   0.04025
1950   44   0.00271   0.00281   0.00372   0.00518   0.02445
1950   45   0.00079   0.00170   0.00224   0.00488   0.01313
1950   46   0.00040   0.00098   0.00113   0.00211   0.00672
1950   47   0.00024   0.00051   0.00046   0.00047   0.00320
1950   48   0.00015   0.00023   0.00016   0.00008   0.00134
1950   49   0.00010   0.00010   0.00005   0.00001   0.00051
1950   50   0.00009   0.00006   0.00002   0.00000   0.00022
1950   51   0.00006   0.00004   0.00001   0.00000   0.00010
1950   52   0.00003   0.00002   0.00001   0.00000   0.00004
1950   53   0.00002   0.00001   0.00000   0.00000   0.00001
1950   54   0.00001   0.00000   0.00000   0.00000   0.00000
1950   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1951   12-  0.00000         .         .         .         .
1951   13   0.00003         .         .         .         .
1951   14   0.00044   0.00000         .         .         .
1951   15   0.00218   0.11149   0.00000         .         .
1951   16   0.01011   0.06743   0.11273         .         .
1951   17   0.03434   0.08869   0.08094   0.09302         .
1951   18   0.06885   0.13861   0.07807   0.06418         .
1951   19   0.11223   0.17978   0.12139   0.10824   0.22917
1951   20   0.15704   0.19639   0.15942   0.14566   0.08422
1951   21   0.18622   0.21686   0.16158   0.13364   0.10724
1951   22   0.19950   0.21546   0.17154   0.16417   0.16100
1951   23   0.21432   0.21817   0.16423   0.18758   0.17324
1951   24   0.21106   0.21035   0.14263   0.18214   0.18384
1951   25   0.20516   0.20585   0.13511   0.16619   0.19884
1951   26   0.17918   0.19882   0.12778   0.15784   0.22046
1951   27   0.16109   0.18710   0.11698   0.14687   0.21128
1951   28   0.13994   0.17477   0.10443   0.13845   0.20472
1951   29   0.11792   0.15265   0.09602   0.11592   0.20512
1951   30   0.09969   0.14004   0.08361   0.11139   0.19378
1951   31   0.07700   0.12364   0.07277   0.10076   0.18394
1951   32   0.06576   0.10759   0.06550   0.09338   0.17114
1951   33   0.05331   0.09139   0.05440   0.07166   0.15313
1951   34   0.04246   0.07414   0.05025   0.07481   0.15251
1951   35   0.03784   0.06261   0.04586   0.05871   0.13286
1951   36   0.03277   0.05712   0.04106   0.06324   0.13968
1951   37   0.02879   0.04318   0.03586   0.05218   0.12796
1951   38   0.02162   0.03691   0.02917   0.04722   0.11665
