Czechia, Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 02/02/2023
Year  Age       m1x       m2x       m3x       m4x      m5px
1950   12-  0.00000         .         .         .         .
1950   13   0.00003         .         .         .         .
1950   14   0.00053   0.10764         .         .         .
1950   15   0.00225   0.03624   0.00000         .         .
1950   16   0.01111   0.04766   0.08061         .         .
1950   17   0.03194   0.09230   0.07619   0.09501         .
1950   18   0.06559   0.13231   0.09023   0.09332   0.00000
1950   19   0.10806   0.18324   0.12387   0.10489   0.03232
1950   20   0.14509   0.20676   0.15459   0.12906   0.06586
1950   21   0.17484   0.21955   0.17041   0.14871   0.14538
1950   22   0.19615   0.22267   0.16855   0.18169   0.16262
1950   23   0.20288   0.21434   0.15850   0.18654   0.20206
1950   24   0.20313   0.22121   0.15582   0.19125   0.22349
1950   25   0.19717   0.21909   0.13960   0.17259   0.21800
1950   26   0.18023   0.20414   0.13000   0.16481   0.23350
1950   27   0.16330   0.19292   0.11671   0.13765   0.22071
1950   28   0.13261   0.18140   0.10669   0.12917   0.22173
1950   29   0.12023   0.16288   0.09279   0.11999   0.20889
1950   30   0.09959   0.14810   0.08521   0.11349   0.19422
1950   31   0.07749   0.12928   0.07746   0.10476   0.19602
1950   32   0.06478   0.11123   0.06761   0.08931   0.17902
1950   33   0.05634   0.10215   0.06282   0.08201   0.16487
1950   34   0.04804   0.08021   0.05494   0.07898   0.15382
1950   35   0.04232   0.08164   0.05230   0.07374   0.16007
1950   36   0.03352   0.06018   0.04295   0.06221   0.13978
1950   37   0.03058   0.04852   0.03564   0.05503   0.12547
1950   38   0.02674   0.03908   0.03180   0.04736   0.11399
1950   39   0.01947   0.02891   0.02517   0.04044   0.09998
1950   40   0.01391   0.02017   0.01933   0.02930   0.08731
1950   41   0.01181   0.01533   0.01297   0.02264   0.07056
1950   42   0.00712   0.00872   0.00965   0.01668   0.05412
1950   43   0.00464   0.00555   0.00599   0.01104   0.04025
1950   44   0.00271   0.00281   0.00372   0.00518   0.02445
1950   45   0.00079   0.00170   0.00224   0.00488   0.01313
1950   46   0.00040   0.00098   0.00113   0.00211   0.00672
1950   47   0.00024   0.00051   0.00046   0.00047   0.00320
1950   48   0.00015   0.00023   0.00016   0.00008   0.00134
1950   49   0.00010   0.00010   0.00005   0.00001   0.00051
1950   50   0.00009   0.00006   0.00002   0.00000   0.00022
1950   51   0.00006   0.00004   0.00001   0.00000   0.00010
1950   52   0.00003   0.00002   0.00001   0.00000   0.00004
1950   53   0.00002   0.00001   0.00000   0.00000   0.00001
1950   54   0.00001   0.00000   0.00000   0.00000   0.00000
1950   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1961   12-  0.00000         .         .         .         .
1961   13   0.00001         .         .         .         .
1961   14   0.00020   0.04347         .         .         .
1961   15   0.00117   0.02359         .         .         .
1961   16   0.00677   0.03897   0.00000         .         .
1961   17   0.02657   0.05287   0.07338   0.00000         .
1961   18   0.06719   0.08867   0.07320   0.02897   0.13439
1961   19   0.13017   0.12012   0.06711   0.07445   0.00000
1961   20   0.18971   0.15561   0.08844   0.13082   0.08472
1961   21   0.22583   0.17524   0.10294   0.13126   0.19067
1961   22   0.23795   0.18043   0.10589   0.10033   0.14341
1961   23   0.25390   0.18634   0.09753   0.13589   0.20899
1961   24   0.23339   0.18243   0.08702   0.11999   0.15584
1961   25   0.21648   0.18387   0.08038   0.09132   0.17935
1961   26   0.18712   0.17131   0.07184   0.08456   0.17741
1961   27   0.15722   0.16075   0.06265   0.06792   0.15029
1961   28   0.13608   0.14591   0.05274   0.06055   0.11384
1961   29   0.11501   0.13009   0.04722   0.04906   0.10695
1961   30   0.09118   0.11551   0.04488   0.04459   0.08759
1961   31   0.07527   0.09190   0.03648   0.03871   0.08175
1961   32   0.06612   0.07380   0.03256   0.03552   0.07231
1961   33   0.05396   0.06302   0.02781   0.02854   0.06703
1961   34   0.03727   0.05086   0.02109   0.02437   0.05860
1961   35   0.03214   0.03958   0.01789   0.02199   0.05271
1961   36   0.02555   0.02995   0.01604   0.01660   0.04505
1961   37   0.02072   0.02467   0.01015   0.01335   0.03962
1961   38   0.01847   0.01499   0.00921   0.01213   0.02985
