Czechia, Parity- and age-adjusted total fertility rate
Last modified: 02/02/2023
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1950    2.922    0.916    0.783    0.482    0.280    0.460
1951    2.873    0.919    0.780    0.472    0.273    0.429
1952    2.782    0.924    0.775    0.456    0.256    0.371
1953    2.677    0.916    0.761    0.440    0.240    0.320
1954    2.626    0.914    0.765    0.434    0.227    0.286
1955    2.613    0.918    0.773    0.431    0.223    0.269
1956    2.587    0.924    0.778    0.424    0.214    0.247
1957    2.499    0.925    0.769    0.401    0.192    0.212
1958    2.291    0.923    0.752    0.355    0.143    0.118
1959    2.106    0.920    0.735    0.301    0.094    0.055
1960    2.095    0.925    0.736    0.292    0.089    0.054
1961    2.109    0.931    0.747    0.293    0.086    0.052
1962    2.119    0.932    0.750    0.298    0.088    0.051
1963    2.283    0.943    0.796    0.353    0.113    0.079
1964    2.329    0.944    0.804    0.370    0.123    0.089
1965    2.193    0.933    0.770    0.318    0.101    0.071
1966    2.047    0.921    0.735    0.266    0.074    0.051
1967    1.946    0.915    0.709    0.227    0.057    0.037
1968    1.888    0.914    0.690    0.202    0.050    0.031
1969    1.904    0.915    0.692    0.208    0.053    0.035
1970    1.915    0.916    0.706    0.210    0.051    0.032
1971    1.963    0.924    0.733    0.221    0.054    0.032
1972    2.033    0.927    0.754    0.247    0.064    0.040
1973    2.183    0.933    0.802    0.303    0.088    0.057
1974    2.295    0.944    0.835    0.346    0.104    0.065
1975    2.282    0.945    0.838    0.345    0.099    0.055
1976    2.266    0.946    0.839    0.337    0.094    0.051
1977    2.242    0.946    0.837    0.327    0.088    0.044
1978    2.252    0.949    0.844    0.330    0.086    0.043
1979    2.233    0.949    0.842    0.325    0.080    0.036
1980    2.107    0.941    0.813    0.268    0.059    0.025
1981    2.050    0.934    0.797    0.247    0.051    0.021
1982    2.043    0.934    0.792    0.244    0.052    0.022
1983    2.013    0.931    0.782    0.233    0.048    0.019
1984    2.010    0.934    0.784    0.227    0.046    0.019
1985    2.006    0.934    0.786    0.223    0.045    0.018
1986    1.991    0.933    0.781    0.217    0.043    0.016
1987    1.971    0.932    0.775    0.207    0.041    0.015
1988    1.991    0.933    0.778    0.219    0.044    0.016
1989    1.945    0.929    0.762    0.202    0.038    0.014
1990    1.950    0.928    0.759    0.205    0.041    0.016
1991    1.914    0.927    0.742    0.190    0.039    0.015
1992    1.811    0.907    0.693    0.164    0.033    0.014
1993    1.769    0.889    0.670    0.158    0.034    0.017
1994    1.591    0.851    0.584    0.122    0.024    0.011
1995    1.454    0.813    0.523    0.094    0.017    0.007
1996    1.371    0.790    0.483    0.079    0.014    0.006
1997    1.361    0.792    0.473    0.077    0.013    0.006
1998    1.341    0.787    0.461    0.075    0.013    0.006
1999    1.311    0.775    0.446    0.071    0.013    0.006
2000    1.314    0.775    0.446    0.073    0.013    0.007
2001    1.302    0.767    0.441    0.073    0.013    0.007
2002    1.315    0.772    0.443    0.077    0.015    0.008
2003    1.315    0.769    0.444    0.078    0.015    0.008
2004    1.361    0.790    0.461    0.083    0.018    0.010
2005    1.401    0.798    0.483    0.092    0.019    0.010
2006    1.443    0.812    0.499    0.098    0.021    0.013
2007    1.528    0.821    0.537    0.123    0.029    0.017
2008    1.587    0.837    0.570    0.133    0.030    0.017
2009    1.581    0.833    0.568    0.131    0.031    0.019
2010    1.575    0.823    0.569    0.132    0.031    0.021
2011    1.495    0.803    0.539    0.113    0.025    0.015
2012    1.515    0.808    0.547    0.116    0.026    0.017
2013    1.521    0.809    0.543    0.120    0.029    0.019
2014    1.578    0.814    0.565    0.137    0.035    0.026
2015    1.613    0.824    0.582    0.144    0.036    0.027
2016    1.667    0.835    0.604    0.157    0.042    0.029
2017    1.713    0.844    0.622    0.170    0.045    0.032
2018    1.730    0.847    0.631    0.173    0.047    0.032
2019    1.733    0.849    0.634    0.176    0.045    0.029
2020    1.738    0.850    0.637    0.177    0.044    0.030
2021    1.775    0.860    0.659    0.186    0.045    0.026
