Czechia, Period fertility tables, birth orders 1 to 5+
Last modified: 02/02/2023
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1950    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1950    13   0.99995   0.00003   0.00003   10000      0   10000      0   0.00005         .         .      0      0       0      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1950    14   0.99951   0.00053   0.00053   10000      5    9997      0   0.00046   0.10764   0.10214      0      0       3      0   0.00003         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1950    15   0.99692   0.00225   0.00225    9994     22    9983      6   0.00294   0.03624   0.03560      5      1      16      0   0.00013   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1950    16   0.98842   0.01111   0.01104    9972    110    9917     28   0.01068   0.04766   0.04655     27      4      82      1   0.00084   0.08061   0.07749      1      0       2      0   0.00006         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1950    17   0.96735   0.03194   0.03144    9862    310    9707    138   0.02930   0.09230   0.08823    133     26     283      5   0.00297   0.07619   0.07339      5      1      10      0   0.00034   0.09501   0.09070      0      0       0      0   0.00003         .         .      0      0       0      0
1950    18   0.92440   0.06559   0.06350    9552    607    9248    448   0.06571   0.13231   0.12410    417     92     695     31   0.00874   0.09023   0.08633     30      5      55      1   0.00099   0.09332   0.08916      1      0       2      0   0.00016   0.00000   0.00000      0      0       0      0
1950    19   0.85446   0.10806   0.10252    8945    917    8487   1055   0.12032   0.18324   0.16786    932    240    1312    123   0.02225   0.12387   0.11664    117     23     188      6   0.00252   0.10489   0.09966      6      1      12      0   0.00045   0.03232   0.03180      0      0       1      0
1950    20   0.76488   0.14509   0.13528    8028   1086    7485   1972   0.18403   0.20676   0.18738   1609    414    2001    363   0.04421   0.15459   0.14350    334     71     461     29   0.00578   0.12906   0.12124     28      6      50      2   0.00111   0.06586   0.06376      2      0       3      0
1950    21   0.66651   0.17484   0.16078    6942   1116    6384   3058   0.24699   0.21955   0.19783   2281    574    2613    777   0.07307   0.17041   0.15703    677    145     849    100   0.01124   0.14871   0.13841     92     21     139      8   0.00219   0.14538   0.13553      8      2      14      0
1950    22   0.57415   0.19615   0.17863    5826   1041    5306   4174   0.29621   0.22267   0.20036   2823    682    3061   1351   0.10684   0.16855   0.15545   1106    220    1303    245   0.01896   0.18169   0.16656    216     52     284     29   0.00384   0.16262   0.15039     29      8      47      2
1950    23   0.49087   0.20288   0.18419    4785    881    4345   5215   0.32872   0.21434   0.19359   3182    711    3315   2032   0.14450   0.15850   0.14686   1568    279    1761    465   0.02926   0.18654   0.17062    384     87     467     80   0.00666   0.20206   0.18352     80     23     113     10
1950    24   0.41636   0.20313   0.18440    3904    720    3544   6096   0.34659   0.22121   0.19918   3353    748    3379   2743   0.18332   0.15582   0.14456   1999    341    2189    744   0.04245   0.19125   0.17456    576    128     671    167   0.01128   0.22349   0.20103    167     49     218     33
1950    25   0.35465   0.19717   0.17947    3184    571    2898   6816   0.34661   0.21909   0.19746   3326    719    3283   3490   0.22288   0.13960   0.13049   2406    360    2577   1085   0.05810   0.17259   0.15888    789    152     883    296   0.01776   0.21800   0.19658    296     78     358     81
1950    26   0.30352   0.18023   0.16533    2613    432    2397   7387   0.33364   0.20414   0.18523   3178    633    3099   4210   0.26070   0.13000   0.12207   2765    376    2891   1444   0.07629   0.16481   0.15226    996    180    1089    448   0.02584   0.23350   0.20909    448    122     524    160
1950    27   0.26354   0.16330   0.15097    2181    329    2016   7819   0.31342   0.19292   0.17595   2977    556    2880   4842   0.29164   0.11671   0.11027   3022    364    3117   1820   0.09551   0.13765   0.12879   1193    177    1283    628   0.03589   0.22071   0.19877    628    155     704    282
1950    28   0.23106   0.13261   0.12437    1851    230    1736   8149   0.28979   0.18140   0.16632   2751    478    2637   5398   0.31725   0.10669   0.10129   3214    350    3280   2184   0.11398   0.12917   0.12133   1380    188    1459    804   0.04791   0.22173   0.19960    804    197     888    437
1950    29   0.20492   0.12023   0.11341    1621    184    1529   8379   0.26577   0.16288   0.15061   2503    392    2406   5876   0.33702   0.09279   0.08868   3342    314    3383   2534   0.13117   0.11999   0.11320   1541    192    1602    993   0.06112   0.20889   0.18914    993    226    1080    634
1950    30   0.18769   0.09959   0.09486    1437    136    1369   8563   0.24469   0.14810   0.13789   2295    326    2204   6268   0.34795   0.08521   0.08173   3420    293    3439   2848   0.14554   0.11349   0.10740   1663    194    1714   1185   0.07413   0.19422   0.17703   1185    247    1274    860
1950    31   0.17997   0.07749   0.07460    1301     97    1252   8699   0.22828   0.12928   0.12143   2104    262    2025   6595   0.35005   0.07746   0.07458   3454    267    3453   3141   0.15608   0.10476   0.09955   1762    189    1803   1379   0.08563   0.19602   0.17853   1379    288    1467   1107
1950    32   0.17829   0.06478   0.06274    1204     76    1166   8796   0.21747   0.11123   0.10537   1940    209    1875   6856   0.34837   0.06761   0.06540   3448    232    3438   3408   0.16296   0.08931   0.08549   1840    167    1874   1568   0.09291   0.17902   0.16431   1568    295    1647   1395
1950    33   0.17654   0.05634   0.05480    1128     62    1097   8872   0.20940   0.10215   0.09718   1807    179    1750   7065   0.35014   0.06282   0.06091   3424    214    3408   3641   0.16518   0.08201   0.07878   1905    159    1934   1736   0.09874   0.16487   0.15231   1736    299    1811   1690
1950    34   0.17165   0.04804   0.04691    1067     50    1042   8933   0.20373   0.08021   0.07712   1690    132    1650   7244   0.35150   0.05494   0.05347   3389    185    3363   3855   0.16681   0.07898   0.07598   1961    156    1977   1894   0.10632   0.15382   0.14284   1894    303    1969   1988
1950    35   0.16563   0.04232   0.04144    1016     42     995   8984   0.20114   0.08164   0.07844   1607    128    1565   7376   0.34890   0.05230   0.05096   3336    173    3314   4040   0.17063   0.07374   0.07112   1989    148    2004   2050   0.11371   0.16007   0.14821   2050    340    2121   2291
1950    36   0.16202   0.03352   0.03297     974     32     958   9026   0.20036   0.06018   0.05842   1522     90    1493   7504   0.34575   0.04295   0.04204   3291    140    3266   4213   0.17169   0.06221   0.06033   2015    126    2023   2198   0.12018   0.13978   0.13065   2198    316    2259   2630
1950    37   0.16287   0.03058   0.03012     942     28     928   9058   0.20283   0.04852   0.04737   1464     70    1443   7594   0.33971   0.03564   0.03502   3240    115    3218   4353   0.17027   0.05503   0.05356   2029    112    2032   2324   0.12432   0.12547   0.11807   2324    298    2378   2946
1950    38   0.16403   0.02674   0.02639     914     24     902   9086   0.20549   0.03908   0.03833   1422     55    1407   7664   0.33390   0.03180   0.03130   3196    101    3173   4468   0.16855   0.04736   0.04626   2032     96    2035   2436   0.12803   0.11399   0.10785   2436    283    2483   3245
1950    39   0.16437   0.01947   0.01928     890     17     881   9110   0.21067   0.02891   0.02850   1391     40    1380   7719   0.32758   0.02517   0.02486   3150     79    3131   4569   0.16536   0.04044   0.03964   2037     82    2036   2532   0.13201   0.09998   0.09522   2532    257    2573   3528
1950    40   0.16799   0.01391   0.01381     873     12     867   9127   0.22097   0.02017   0.01997   1369     27    1361   7759   0.31714   0.01933   0.01914   3111     60    3095   4648   0.16010   0.02930   0.02888   2033     60    2034   2614   0.13379   0.08731   0.08365   2614    231    2644   3785
1950    41   0.17212   0.01181   0.01174     861     10     855   9139   0.22898   0.01533   0.01521   1353     21    1348   7786   0.30800   0.01297   0.01289   3079     40    3069   4708   0.15650   0.02264   0.02239   2033     46    2031   2674   0.13440   0.07056   0.06816   2674    190    2697   4016
1950    42   0.17509   0.00712   0.00709     850      6     847   9150   0.23463   0.00872   0.00868   1343     12    1340   7807   0.30302   0.00965   0.00961   3059     29    3051   4747   0.15275   0.01668   0.01654   2027     34    2025   2720   0.13451   0.05412   0.05269   2720    148    2737   4206
1950    43   0.17880   0.00464   0.00463     844      4     842   9156   0.24111   0.00555   0.00553   1337      7    1335   7819   0.29842   0.00599   0.00597   3042     18    3036   4777   0.14781   0.01104   0.01098   2023     22    2021   2754   0.13385   0.04025   0.03945   2754    111    2765   4354
1950    44   0.18451   0.00271   0.00271     840      2     839   9160   0.24602   0.00281   0.00280   1334      4    1333   7826   0.29252   0.00372   0.00372   3031     11    3027   4795   0.14339   0.00518   0.00517   2019     10    2019   2776   0.13356   0.02445   0.02415   2776     68    2781   4465
1950    45   0.19058   0.00079   0.00079     838      1     838   9162   0.24834   0.00170   0.00169   1332      2    1331   7830   0.28769   0.00224   0.00224   3023      7    3021   4806   0.14009   0.00488   0.00487   2020     10    2018   2787   0.13330   0.01313   0.01305   2787     37    2792   4533
1950    46   0.19437   0.00040   0.00040     838      0     837   9162   0.24839   0.00098   0.00098   1331      1    1330   7832   0.28388   0.00113   0.00113   3019      3    3018   4813   0.13911   0.00211   0.00211   2017      4    2016   2796   0.13425   0.00672   0.00670   2796     19    2799   4570
1950    47   0.19769   0.00024   0.00024     837      0     837   9163   0.24610   0.00051   0.00050   1330      1    1329   7833   0.28074   0.00046   0.00046   3017      1    3016   4816   0.13907   0.00047   0.00047   2016      1    2016   2801   0.13639   0.00320   0.00319   2801      9    2801   4589
1950    48   0.20228   0.00015   0.00015     837      0     837   9163   0.24019   0.00023   0.00023   1329      0    1329   7834   0.27815   0.00016   0.00016   3016      0    3016   4818   0.14025   0.00008   0.00008   2016      0    2016   2802   0.13911   0.00134   0.00134   2802      4    2802   4598
1950    49   0.20697   0.00010   0.00010     837      0     837   9163   0.23379   0.00010   0.00010   1329      0    1329   7834   0.27450   0.00005   0.00005   3016      0    3016   4818   0.14170   0.00001   0.00001   2016      0    2017   2802   0.14304   0.00051   0.00051   2802      1    2802   4602
1950    50   0.21019   0.00009   0.00009     837      0     837   9163   0.22867   0.00006   0.00006   1329      0    1329   7834   0.27026   0.00002   0.00002   3016      0    3016   4818   0.14333   0.00000   0.00000   2017      0    2017   2802   0.14755   0.00022   0.00022   2802      1    2802   4603
1950    51   0.21257   0.00006   0.00006     837      0     837   9163   0.22194   0.00004   0.00004   1329      0    1329   7834   0.26711   0.00001   0.00001   3016      0    3016   4819   0.14569   0.00000   0.00000   2017      0    2017   2802   0.15270   0.00010   0.00010   2802      0    2802   4604
1950    52   0.21686   0.00003   0.00003     837      0     837   9163   0.21509   0.00002   0.00002   1329      0    1329   7834   0.26169   0.00001   0.00001   3016      0    3016   4819   0.14707   0.00000   0.00000   2017      0    2017   2802   0.15929   0.00004   0.00004   2802      0    2802   4604
1950    53   0.22048   0.00002   0.00002     837      0     837   9163   0.20986   0.00001   0.00001   1329      0    1329   7834   0.25627   0.00000   0.00000   3016      0    3016   4819   0.14781   0.00000   0.00000   2017      0    2017   2802   0.16557   0.00001   0.00001   2802      0    2802   4604
1950    54   0.22226   0.00001   0.00001     837      0     837   9163   0.20359   0.00000   0.00000   1329      0    1329   7834   0.25374   0.00000   0.00000   3016      0    3016   4819   0.14856   0.00000   0.00000   2017      0    2017   2802   0.17186   0.00000   0.00000   2802      0    2802   4604
1950    55+  0.22358   0.00000   0.00000     837      0     837   9163   0.19970   0.00000   0.00000   1329      0    1329   7834   0.25243   0.00000   0.00000   3016      0    3016   4819   0.14855   0.00000   0.00000   2017      0    2017   2802   0.17575   0.00000   0.00000   2802      0    2802   4604
1951    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1951    13   0.99998   0.00003   0.00003   10000      0   10000      0   0.00002         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1951    14   0.99969   0.00044   0.00044   10000      4    9998      0   0.00029   0.00000   0.00000      0      0       2      0   0.00002         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1951    15   0.99819   0.00218   0.00217    9995     22    9984      5   0.00168   0.11149   0.10560      5      2      15      0   0.00014   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1951    16   0.99065   0.01011   0.01006    9974    100    9923     26   0.00885   0.06743   0.06523     25      5      74      2   0.00047   0.11273   0.10671      2      0       2      0   0.00003         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1951    17   0.96703   0.03434   0.03376    9873    333    9707    127   0.03046   0.08869   0.08492    120     25     282      7   0.00231   0.08094   0.07780      6      1      11      0   0.00018   0.09302   0.08888      0      0       1      0   0.00001         .         .      0      0       0      0
1951    18   0.92030   0.06885   0.06656    9540    635    9222    460   0.07037   0.13861   0.12962    428    100     718     32   0.00850   0.07807   0.07514     30      4      57      1   0.00076   0.06418   0.06218      1      0       2      0   0.00007         .         .      0      0       0      0
1951    19   0.84675   0.11223   0.10627    8905    946    8432   1095   0.12755   0.17978   0.16495    964    244    1357    131   0.02280   0.12139   0.11444    126     24     198      6   0.00257   0.10824   0.10268      5      1      12      0   0.00034   0.22917   0.20561      0      0       0      0
1951    20   0.75043   0.15704   0.14560    7959   1159    7379   2041   0.19417   0.19639   0.17883   1666    412    2097    375   0.04742   0.15942   0.14765    346     75     469     30   0.00694   0.14566   0.13577     28      8      52      2   0.00105   0.08422   0.08081      2      0       3      0
1951    21   0.64855   0.18622   0.17035    6800   1158    6221   3200   0.25401   0.21686   0.19564   2413    598    2756    787   0.08057   0.16158   0.14950    683    140     868    104   0.01442   0.13364   0.12527     95     19     140      9   0.00245   0.10724   0.10178      9      2      15      0
