Czechia, Cohort parity progression ratios
Last modified: 02/02/2023
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1935      0.926     0.798     0.390     0.318
1936      0.922     0.802     0.376     0.314
1937      0.929     0.801     0.374     0.309
1938      0.925     0.805     0.370     0.303
1939      0.925     0.812     0.366     0.293
1940      0.939     0.810     0.358     0.291
1941      0.928     0.811     0.350     0.282
1942      0.922     0.813     0.345     0.268
1943      0.936     0.816     0.339     0.262
1944      0.930     0.818     0.334     0.254
1945      0.917     0.824     0.334     0.251
1946      0.934     0.832     0.333     0.242
1947      0.939     0.845     0.331     0.237
1948      0.932     0.850     0.338     0.237
1949      0.933     0.857     0.339     0.237
1950      0.940     0.856     0.337     0.232
1951      0.939     0.858     0.335     0.232
1952      0.939     0.860     0.328     0.230
1953      0.937     0.860     0.320     0.230
1954      0.940     0.853     0.317     0.226
1955      0.941     0.851     0.314     0.230
1956      0.943     0.850     0.310     0.229
1957      0.941     0.851     0.307     0.228
1958      0.934     0.851     0.303     0.232
1959      0.935     0.845     0.296     0.230
1960      0.938     0.836     0.292     0.239
1961      0.937     0.833     0.289     0.238
1962      0.937     0.824     0.282     0.232
1963      0.937     0.813     0.271     0.233
1964      0.936     0.812     0.264     0.243
1965      0.936     0.799     0.264     0.243
1966      0.930     0.793     0.262     0.242
1967      0.922     0.789     0.262     0.249
1968      0.920     0.780     0.264     0.246
1969      0.928     0.773     0.262     0.250
1970      0.924     0.769     0.255     0.231
1971      0.919     0.768     0.259     0.238
