Czechia, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 02/02/2023
Cohort   sdCMAB   sdCMAB40
1935       4.73       4.55
1936       4.72       4.55
1937       4.74       4.58
1938       4.78       4.63
1939       4.83       4.68
1940       4.85       4.71
1941       4.85       4.73
1942       4.85       4.74
1943       4.84       4.73
1944       4.79       4.68
1945       4.72       4.62
1946       4.64       4.53
1947       4.54       4.43
1948       4.47       4.35
1949       4.44       4.32
1950       4.43       4.30
1951       4.44       4.30
1952       4.42       4.29
1953       4.45       4.31
1954       4.50       4.35
1955       4.52       4.38
1956       4.55       4.40
1957       4.58       4.42
1958       4.64       4.46
1959       4.67       4.46
1960       4.73       4.49
1961       4.76       4.51
1962       4.80       4.54
1963       4.86       4.57
1964       4.94       4.65
1965       5.07       4.72
1966       5.20       4.82
1967       5.36       4.98
1968       5.57       5.17
1969       5.70       5.30
1970       5.84       5.47
1971       5.99       5.60
1972          .       5.70
1973          .       5.73
1974          .       5.69
1975          .       5.59
1976          .       5.46
1977          .       5.34
1978          .       5.29
1979          .       5.24
1980          .       5.22
1981          .       5.17
