Czechia, Standard deviation in cohort mean ages at birth by birth order and standard deviation in cohort mean ages at birth by birth order by age 40
Last modified: 02/02/2023
Cohort   sdCMAB     sdCMAB1     sdCMAB2     sdCMAB3     sdCMAB4    sdCMAB5p    sdCMAB40  sdCMAB40_1  sdCMAB40_2  sdCMAB40_3  sdCMAB40_4 sdCMAB40_5p
1935       4.73        3.64        4.06        4.49        4.77        4.81        4.55        3.55        3.97        4.29        4.40        4.27
1936       4.72        3.62        4.05        4.54        4.75        4.70        4.55        3.53        3.96        4.31        4.40        4.17
1937       4.74        3.61        4.07        4.60        4.85        4.77        4.58        3.52        3.99        4.40        4.52        4.27
1938       4.78        3.61        4.11        4.66        4.88        4.84        4.63        3.53        4.03        4.50        4.57        4.35
1939       4.83        3.60        4.16        4.75        4.92        4.87        4.68        3.53        4.09        4.57        4.60        4.35
1940       4.85        3.62        4.21        4.80        4.95        4.83        4.71        3.54        4.15        4.62        4.62        4.32
1941       4.85        3.63        4.23        4.74        4.90        4.91        4.73        3.57        4.18        4.61        4.62        4.37
1942       4.85        3.65        4.19        4.66        4.77        4.88        4.74        3.59        4.14        4.53        4.47        4.35
1943       4.84        3.69        4.15        4.59        4.73        4.88        4.73        3.63        4.10        4.44        4.40        4.32
1944       4.79        3.67        4.06        4.45        4.72        4.81        4.68        3.61        4.01        4.30        4.40        4.30
1945       4.72        3.66        3.97        4.33        4.71        4.86        4.62        3.60        3.91        4.18        4.40        4.38
1946       4.64        3.65        3.85        4.24        4.65        4.91        4.53        3.59        3.80        4.07        4.34        4.37
1947       4.54        3.62        3.71        4.18        4.65        4.86        4.43        3.56        3.66        4.00        4.30        4.33
1948       4.47        3.55        3.61        4.17        4.69        4.99        4.35        3.50        3.56        3.97        4.33        4.37
1949       4.44        3.53        3.60        4.21        4.83        5.10        4.32        3.47        3.55        4.01        4.46        4.46
1950       4.43        3.51        3.61        4.30        4.88        5.15        4.30        3.45        3.55        4.09        4.49        4.50
1951       4.44        3.50        3.63        4.39        4.93        5.18        4.30        3.43        3.57        4.18        4.53        4.54
1952       4.42        3.48        3.66        4.44        4.93        5.11        4.29        3.42        3.60        4.25        4.57        4.53
1953       4.45        3.49        3.72        4.50        5.07        5.06        4.31        3.42        3.64        4.30        4.71        4.53
1954       4.50        3.51        3.77        4.63        5.05        5.20        4.35        3.44        3.69        4.41        4.70        4.58
1955       4.52        3.50        3.80        4.63        5.10        5.26        4.38        3.42        3.73        4.43        4.71        4.69
1956       4.55        3.52        3.82        4.66        5.13        5.26        4.40        3.46        3.75        4.43        4.71        4.64
1957       4.58        3.54        3.86        4.68        5.08        5.18        4.42        3.47        3.77        4.44        4.66        4.58
1958       4.64        3.61        3.90        4.70        5.10        5.20        4.46        3.52        3.80        4.43        4.66        4.51
1959       4.67        3.66        3.93        4.75        5.11        5.15        4.46        3.57        3.80        4.43        4.65        4.45
1960       4.73        3.73        3.96        4.81        5.13        5.11        4.49        3.59        3.83        4.45        4.58        4.42
1961       4.76        3.71        4.01        4.90        5.22        5.12        4.51        3.59        3.85        4.48        4.65        4.31
1962       4.80        3.73        4.03        4.98        5.25        5.18        4.54        3.60        3.87        4.57        4.64        4.39
1963       4.86        3.77        4.10        5.13        5.35        5.13        4.57        3.61        3.93        4.64        4.62        4.36
1964       4.94        3.81        4.21        5.25        5.37        5.24        4.65        3.68        4.03        4.74        4.72        4.43
1965       5.07        3.90        4.36        5.36        5.53        5.26        4.72        3.71        4.14        4.80        4.78        4.36
1966       5.20        4.01        4.48        5.54        5.65        5.24        4.82        3.80        4.25        4.93        4.85        4.46
1967       5.36        4.18        4.66        5.57        5.60        5.36        4.98        3.99        4.38        5.00        4.89        4.47
1968       5.57        4.38        4.87        5.74        5.71        5.26        5.17        4.16        4.59        5.15        4.93        4.42
1969       5.70        4.55        5.02        5.70        5.79        5.39        5.30        4.34        4.74        5.14        5.02        4.48
1970       5.84        4.75        5.14        5.66        5.71        5.39        5.47        4.55        4.88        5.14        4.97        4.52
1971       5.99        5.03        5.25        5.61        5.74        5.34        5.60        4.78        4.98        5.09        4.99        4.53
1972          .           .           .           .           .           .        5.70        5.01        5.04        4.96        4.92        4.51
1973          .           .           .           .           .           .        5.73        5.19        5.03        4.84        4.81        4.40
1974          .           .           .           .           .           .        5.69        5.28        4.96        4.78        4.82        4.58
1975          .           .           .           .           .           .        5.59        5.31        4.84        4.65        4.76        4.40
1976          .           .           .           .           .           .        5.46        5.23        4.73        4.60        4.77        4.47
1977          .           .           .           .           .           .        5.34        5.18        4.60        4.57        4.66        4.33
1978          .           .           .           .           .           .        5.29        5.17        4.55        4.55        4.73        4.32
1979          .           .           .           .           .           .        5.24        5.13        4.51        4.56        4.85        4.51
1980          .           .           .           .           .           .        5.22        5.12        4.50        4.54        4.72        4.53
1981          .           .           .           .           .           .        5.17        5.10        4.49        4.53        4.74        4.41
