Czechia, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 02/02/2023
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1950     2.799     1.040     0.833     0.460     0.222     0.245     2.707     1.032     0.820     0.442     0.207     0.205
1951     2.769     1.044     0.807     0.450     0.223     0.245     2.683     1.037     0.795     0.434     0.208     0.208
1952     2.711     1.037     0.780     0.434     0.222     0.238     2.631     1.031     0.770     0.419     0.208     0.202
1953     2.624     0.978     0.769     0.428     0.215     0.233     2.546     0.973     0.759     0.413     0.202     0.198
1954     2.593     0.961     0.786     0.413     0.206     0.228     2.522     0.956     0.778     0.399     0.194     0.195
1955     2.590     0.967     0.792     0.408     0.201     0.222     2.520     0.962     0.784     0.396     0.190     0.189
1956     2.580     0.990     0.788     0.392     0.194     0.215     2.517     0.986     0.781     0.380     0.183     0.187
1957     2.505     0.989     0.764     0.369     0.179     0.204     2.452     0.985     0.758     0.360     0.170     0.179
1958     2.314     0.956     0.742     0.327     0.138     0.151     2.277     0.953     0.737     0.320     0.132     0.134
1959     2.128     0.947     0.710     0.271     0.099     0.101     2.101     0.944     0.707     0.266     0.095     0.090
1960     2.121     0.959     0.706     0.264     0.095     0.097     2.097     0.956     0.703     0.260     0.091     0.087
1961     2.140     0.971     0.725     0.265     0.090     0.089     2.116     0.968     0.722     0.260     0.087     0.079
1962     2.152     0.973     0.738     0.275     0.086     0.081     2.131     0.970     0.735     0.271     0.082     0.072
1963     2.353     1.018     0.828     0.317     0.097     0.092     2.331     1.016     0.825     0.313     0.094     0.083
1964     2.384     1.002     0.839     0.342     0.106     0.095     2.359     0.999     0.835     0.337     0.103     0.085
1965     2.209     0.933     0.777     0.303     0.102     0.094     2.185     0.931     0.774     0.298     0.098     0.084
1966     2.040     0.892     0.715     0.261     0.087     0.085     2.021     0.890     0.712     0.257     0.084     0.077
1967     1.929     0.887     0.667     0.227     0.074     0.075     1.912     0.885     0.664     0.224     0.071     0.068
1968     1.860     0.883     0.638     0.204     0.069     0.066     1.844     0.881     0.636     0.202     0.067     0.060
1969     1.893     0.904     0.649     0.207     0.069     0.065     1.878     0.902     0.646     0.204     0.066     0.059
1970     1.920     0.916     0.682     0.203     0.063     0.057     1.905     0.914     0.679     0.200     0.060     0.051
1971     1.980     0.926     0.732     0.208     0.063     0.051     1.966     0.924     0.730     0.205     0.061     0.045
1972     2.077     0.933     0.801     0.229     0.063     0.051     2.064     0.932     0.799     0.226     0.061     0.046
1973     2.291     0.954     0.942     0.273     0.071     0.052     2.276     0.952     0.940     0.270     0.068     0.047
1974     2.440     1.010     0.994     0.311     0.076     0.049     2.426     1.008     0.992     0.308     0.073     0.044
1975     2.412     1.012     0.966     0.316     0.073     0.044     2.397     1.011     0.964     0.313     0.070     0.040
1976     2.372     1.003     0.938     0.314     0.074     0.043     2.358     1.001     0.936     0.311     0.072     0.039
1977     2.329     0.991     0.919     0.307     0.072     0.040     2.316     0.989     0.917     0.303     0.070     0.036
1978     2.335     1.000     0.914     0.311     0.072     0.038     2.322     0.998     0.912     0.308     0.069     0.035
1979     2.298     0.987     0.899     0.310     0.068     0.034     2.286     0.985     0.896     0.307     0.066     0.031
1980     2.108     0.939     0.814     0.263     0.061     0.031     2.097     0.938     0.813     0.260     0.059     0.028
1981     2.021     0.899     0.788     0.247     0.057     0.030     2.009     0.897     0.786     0.244     0.055     0.027
1982     2.014     0.902     0.780     0.246     0.057     0.029     2.003     0.900     0.778     0.243     0.056     0.026
1983     1.971     0.908     0.743     0.238     0.055     0.027     1.961     0.907     0.742     0.235     0.053     0.025
1984     1.976     0.923     0.744     0.229     0.054     0.026     1.967     0.922     0.742     0.227     0.052     0.024
1985     1.974     0.924     0.747     0.224     0.053     0.025     1.965     0.923     0.746     0.222     0.051     0.023
1986     1.948     0.915     0.736     0.220     0.052     0.024     1.940     0.914     0.735     0.218     0.051     0.022
1987     1.923     0.908     0.730     0.210     0.052     0.023     1.915     0.907     0.728     0.208     0.050     0.022
1988     1.954     0.918     0.740     0.222     0.053     0.023     1.946     0.916     0.738     0.219     0.051     0.021
1989     1.888     0.895     0.712     0.209     0.049     0.023     1.880     0.894     0.711     0.207     0.047     0.021
1990     1.908     0.903     0.721     0.211     0.050     0.023     1.899     0.902     0.719     0.208     0.049     0.021
1991     1.861     0.910     0.679     0.199     0.051     0.023     1.852     0.909     0.677     0.195     0.049     0.021
1992     1.715     0.821     0.638     0.185     0.048     0.023     1.706     0.820     0.636     0.182     0.046     0.021
1993     1.667     0.764     0.640     0.185     0.051     0.026     1.657     0.763     0.639     0.182     0.049     0.024
1994     1.440     0.644     0.556     0.168     0.048     0.025     1.431     0.643     0.554     0.165     0.046     0.023
1995     1.281     0.557     0.512     0.146     0.043     0.023     1.272     0.556     0.511     0.143     0.041     0.021
1996     1.189     0.522     0.472     0.133     0.040     0.022     1.180     0.521     0.471     0.130     0.039     0.020
1997     1.178     0.527     0.459     0.132     0.036     0.023     1.169     0.526     0.458     0.129     0.034     0.021
1998     1.163     0.530     0.449     0.127     0.035     0.022     1.153     0.528     0.447     0.124     0.033     0.020
1999     1.139     0.529     0.432     0.123     0.035     0.020     1.129     0.527     0.430     0.120     0.033     0.018
2000     1.151     0.540     0.430     0.125     0.035     0.021     1.140     0.538     0.428     0.121     0.033     0.020
2001     1.144     0.535     0.430     0.125     0.034     0.021     1.131     0.533     0.427     0.121     0.031     0.018
2002     1.165     0.554     0.428     0.127     0.034     0.021     1.151     0.552     0.425     0.122     0.032     0.019
2003     1.172     0.564     0.429     0.126     0.033     0.020     1.156     0.562     0.425     0.120     0.031     0.018
2004     1.219     0.601     0.437     0.128     0.034     0.020     1.202     0.598     0.433     0.122     0.031     0.017
2005     1.275     0.628     0.463     0.131     0.034     0.019     1.256     0.625     0.459     0.125     0.031     0.017
2006     1.323     0.658     0.475     0.135     0.034     0.021     1.302     0.655     0.470     0.128     0.030     0.019
2007     1.440     0.695     0.529     0.156     0.038     0.022     1.415     0.692     0.523     0.147     0.034     0.019
2008     1.513     0.743     0.554     0.158     0.037     0.022     1.485     0.739     0.547     0.148     0.033     0.018
2009     1.514     0.744     0.559     0.152     0.038     0.021     1.485     0.739     0.551     0.142     0.034     0.018
