Czechia, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 02/02/2023
Cohort     CCF     CCF40
1935     2.113     2.100
1936     2.092     2.079
1937     2.105     2.093
1938     2.091     2.080
1939     2.090     2.078
1940     2.102     2.091
1941     2.064     2.055
1942     2.040     2.031
1943     2.066     2.057
1944     2.046     2.038
1945     2.022     2.014
1946     2.065     2.057
1947     2.086     2.078
1948     2.087     2.079
1949     2.098     2.090
1950     2.108     2.099
1951     2.107     2.097
1952     2.100     2.092
1953     2.086     2.077
1954     2.080     2.071
1955     2.076     2.067
1956     2.077     2.067
1957     2.069     2.059
1958     2.051     2.040
1959     2.040     2.027
1960     2.033     2.018
1961     2.023     2.006
1962     2.000     1.984
1963     1.977     1.958
1964     1.967     1.948
1965     1.955     1.931
1966     1.931     1.905
1967     1.913     1.885
1968     1.900     1.868
1969     1.905     1.872
1970     1.881     1.848
1971     1.874     1.838
1972         .     1.799
1973         .     1.781
1974         .     1.776
1975         .     1.725
1976         .     1.713
1977         .     1.689
1978         .     1.662
1979         .     1.650
1980         .     1.641
1981         .     1.626
