Czechia, Total live births
Last modified: 02/02/2023
Year         Total
1950     188340.99
1951     185570.02
1952     180142.94
1953     172547.02
1954     168401.96
1955     165874.03
1956     162508.93
1957     155429.01
1958     141762.02
1959     128982.01
1960     128879.01
1961     131019.01
1962     133556.94
1963     148839.97
1964     154419.97
1965     147438.01
1966     141161.95
1967     138448.03
1968     137437.01
1969     143164.98
1970     147865.09
1971     154179.98
1972     163661.00
1973     181750.03
1974     194215.00
1975     191775.98
1976     187378.01
1977     181763.02
1978     178900.96
1979     172112.01
1980     153800.95
1981     144437.98
1982     141737.99
1983     137431.01
1984     136940.96
1985     135881.02
1986     133356.00
1987     130921.01
1988     132667.00
1989     128356.01
1990     130564.00
1991     129354.00
1992     121705.00
1993     121025.00
1994     106579.00
1995      96097.00
1996      90446.00
1997      90657.00
1998      90535.00
1999      89471.00
2000      90910.00
2001      90715.00
2002      92786.00
2003      93685.00
2004      97664.00
2005     102211.00
2006     105831.00
2007     114632.00
2008     119570.00
2009     118348.00
2010     117153.00
2011     108673.00
2012     108576.00
2013     106751.00
2014     109860.00
2015     110764.00
2016     112663.00
2017     114405.00
2018     114036.00
2019     112231.00
2020     110200.00
2021     111793.00
