Czechia, Total live births by birth order
Last modified: 02/02/2023
Year         Total            B1            B2            B3            B4           B5p
1950     188340.99      71192.68      56922.94      30338.21      14223.22      15663.83
1951     185570.02      70406.00      55135.24      30006.51      14487.79      15534.50
1952     180142.94      68521.06      53102.34      28985.50      14449.93      15084.04
1953     172547.02      63254.75      51848.77      28636.34      14074.37      14732.81
1954     168401.96      60568.20      52328.42      27540.29      13540.96      14424.00
1955     165874.03      59305.85      51920.64      27140.39      13311.48      14195.57
1956     162508.93      59261.28      50740.03      25896.22      12832.08      13779.38
1957     155429.01      58194.65      48083.41      24069.41      11807.31      13274.15
1958     141762.02      55979.38      45748.76      21045.49       9078.23       9910.19
1959     128982.01      55711.70      43079.52      17141.29       6409.24       6640.24
1960     128879.01      57469.32      42441.53      16484.01       6073.99       6410.26
1961     131019.01      59748.22      43428.79      16301.06       5712.85       5828.12
1962     133556.94      61949.98      44311.95      16701.04       5342.96       5251.05
1963     148839.97      67517.01      50227.50      19193.19       5992.19       5910.07
1964     154419.97      69309.21      51887.40      20714.20       6497.97       6011.20
1965     147438.01      67516.65      49413.62      18440.96       6223.02       5843.68
1966     141161.95      67467.80      46968.14      16130.81       5323.47       5271.70
1967     138448.03      69562.99      45406.00      14316.98       4529.06       4633.00
1968     137437.01      70692.60      45133.15      13256.03       4317.06       4038.22
1969     143164.98      73495.01      47542.02      13762.98       4363.04       4001.93
1970     147865.09      75007.04      51396.99      13888.03       4057.98       3514.99
1971     154179.98      75884.14      56351.32      14548.28       4186.15       3210.11
1972     163661.00      76402.96      63168.03      16520.99       4313.99       3254.99
1973     181750.03      77728.97      75388.98      20321.04       4932.02       3379.00
1974     194215.00      81549.91      80217.40      23731.53       5449.63       3266.51
1975     191775.98      80618.86      78188.14      24588.53       5348.31       3032.15
1976     187378.01      78295.11      75770.55      24727.32       5569.02       3016.00
1977     181763.02      75304.25      73642.71      24399.53       5545.19       2871.28
1978     178900.96      73446.49      72206.53      24831.84       5578.15       2838.02
1979     172112.01      69884.21      69503.07      24740.67       5387.01       2597.01
1980     153800.95      64587.01      61279.10      20761.51       4788.34       2385.11
1981     144437.98      60760.82      57607.69      19272.97       4499.22       2297.25
1982     141737.99      60735.55      55464.31      18804.80       4485.22       2248.08
1983     137431.01      61387.11      51824.62      17860.21       4260.07       2099.01
1984     136940.96      62685.02      51170.73      16913.10       4143.03       2029.04
1985     135881.02      62663.54      51018.18      16281.75       3984.29       1933.18
1986     133356.00      61815.98      50083.99      15737.01       3860.99       1857.99
1987     130921.01      61117.03      49399.01      14839.99       3809.00       1756.00
1988     132667.00      61853.02      49875.01      15466.00       3783.00       1690.00
1989     128356.01      60860.01      47942.00      14434.00       3463.00       1657.01
1990     130564.00      62374.02      48546.01      14441.99       3543.00       1659.00
1991     129354.00      64762.00      45916.00      13513.00       3525.00       1638.00
1992     121705.00      60646.00      43567.00      12559.00       3311.00       1622.00
1993     121025.00      58695.00      44477.00      12527.00       3495.00       1831.00
1994     106579.00      50825.00      39345.00      11467.00       3244.00       1698.00
1995      96097.00      44522.00      37026.00      10034.00       2964.00       1551.00
1996      90446.00      42106.00      34817.00       9240.00       2768.00       1515.00
1997      90657.00      42812.00      34520.00       9279.00       2490.00       1556.00
1998      90535.00      43124.00      34394.00       9064.00       2435.00       1518.00
1999      89471.00      43069.00      33606.00       8880.00       2500.00       1416.00
2000      90910.00      43904.00      33873.00       9143.00       2485.00       1505.00
2001      90715.00      43337.00      34216.00       9244.00       2454.00       1464.00
2002      92786.00      44745.00      34447.00       9531.00       2510.00       1553.00
2003      93685.00      45363.00      34823.00       9561.00       2470.00       1468.00
2004      97664.00      48066.00      35669.00       9862.00       2594.00       1473.00
2005     102211.00      49930.00      37993.00      10271.00       2557.00       1460.00
2006     105831.00      51823.00      39038.00      10712.00       2649.00       1609.00
2007     114632.00      54050.00      43400.00      12529.00       2973.00       1680.00
2008     119570.00      56941.00      45291.00      12758.00       2887.00       1693.00
2009     118348.00      56039.00      45206.00      12378.00       3049.00       1676.00
2010     117153.00      54331.00      45514.00      12573.00       2999.00       1736.00
2011     108673.00      50989.00      42156.00      11101.00       2803.00       1624.00
2012     108576.00      51476.00      41826.00      10964.00       2646.00       1664.00
2013     106751.00      51092.00      40078.00      11152.00       2762.00       1667.00
2014     109860.00      52106.00      41196.00      11791.00       2937.00       1830.00
2015     110764.00      53223.00      41276.00      11598.00       2841.00       1826.00
2016     112663.00      54918.00      41302.00      11767.00       2955.00       1721.00
2017     114405.00      55726.00      41832.00      12022.00       3008.00       1817.00
2018     114036.00      54755.00      42462.00      11870.00       3042.00       1907.00
2019     112231.00      53647.00      42173.00      11817.00       2830.00       1764.00
2020     110200.00      52414.00      41432.00      11674.00       2779.00       1901.00
2021     111793.00      51900.00      43623.00      11790.00       2743.00       1737.00
