Hungary, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 08/03/2022
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1953     2.833     0.974     0.864     0.493     0.227     0.275
1954     2.707     0.877     0.845     0.446     0.238     0.301
1955     2.435     0.897     0.712     0.364     0.197     0.266
1956     2.153     0.858     0.613     0.303     0.158     0.220
1957     2.008     0.861     0.592     0.243     0.116     0.196
1958     2.024     0.919     0.616     0.223     0.104     0.163
1959     1.910     0.879     0.572     0.215     0.102     0.141
1960     1.920     0.870     0.573     0.242     0.093     0.142
1961     1.954     0.901     0.582     0.235     0.098     0.139
1962     1.936     0.889     0.589     0.231     0.108     0.118
1963     2.005     0.840     0.683     0.255     0.100     0.127
1964     1.859     0.830     0.602     0.218     0.096     0.114
1965     1.832     0.854     0.558     0.207     0.098     0.115
1966     1.933     0.897     0.604     0.208     0.090     0.135
1967     2.028     0.946     0.673     0.198     0.089     0.122
1968     2.070     0.956     0.705     0.198     0.087     0.125
1969     2.003     0.966     0.661     0.190     0.071     0.115
1970     1.874     0.911     0.633     0.167     0.068     0.096
1971     1.830     0.877     0.627     0.161     0.062     0.103
1972     1.880     0.895     0.651     0.172     0.060     0.102
1973     1.898     0.882     0.651     0.202     0.069     0.094
1974     2.201     0.891     0.875     0.269     0.081     0.085
1975     2.191     0.882     0.901     0.251     0.078     0.080
1976     2.076     0.948     0.760     0.225     0.069     0.074
1977     2.026     0.976     0.713     0.218     0.058     0.062
1978     1.920     0.955     0.691     0.179     0.046     0.049
1979     1.926     0.960     0.695     0.179     0.044     0.049
1980     1.958     0.971     0.709     0.185     0.047     0.046
1981     1.988     0.948     0.741     0.203     0.055     0.042
1982     1.936     0.917     0.736     0.194     0.050     0.038
1983     1.898     0.913     0.714     0.182     0.052     0.036
1984     1.909     0.931     0.691     0.198     0.055     0.034
1985     2.104     0.956     0.786     0.250     0.068     0.043
1986     2.114     0.920     0.811     0.250     0.082     0.051
1987     2.003     0.931     0.720     0.236     0.071     0.045
1988     1.949     0.905     0.699     0.230     0.064     0.052
1989     1.905     0.821     0.721     0.246     0.070     0.048
1990     1.989     0.856     0.729     0.278     0.077     0.048
1991     2.029     0.926     0.700     0.272     0.078     0.054
1992     1.928     0.863     0.696     0.240     0.075     0.055
1993     1.901     0.811     0.698     0.253     0.082     0.057
1994     1.886     0.837     0.626     0.273     0.087     0.063
1995     1.891     0.853     0.637     0.258     0.075     0.069
1996     1.752     0.802     0.595     0.217     0.069     0.069
1997     1.695     0.779     0.578     0.198     0.074     0.065
1998     1.748     0.836     0.568     0.208     0.079     0.057
1999     1.704     0.794     0.541     0.236     0.075     0.058
2000     1.763     0.760     0.612     0.254     0.073     0.065
2001     1.756     0.763     0.599     0.251     0.075     0.068
2002     1.716     0.834     0.530     0.223     0.071     0.059
2003     1.758     0.867     0.550     0.212     0.071     0.058
2004     1.803     0.920     0.539     0.221     0.069     0.054
2005     1.707     0.887     0.507     0.203     0.061     0.050
2006     1.701     0.813     0.587     0.182     0.067     0.051
2007     1.552     0.727     0.539     0.178     0.060     0.048
2008     1.574     0.739     0.535     0.195     0.056     0.049
2009     1.715     0.826     0.589     0.192     0.056     0.051
2010     1.526     0.752     0.503     0.170     0.056     0.045
2011     1.313     0.617     0.431     0.173     0.053     0.039
2012     1.337     0.609     0.434     0.189     0.058     0.047
2013     1.383     0.637     0.441     0.200     0.060     0.045
2014     1.557     0.753     0.497     0.200     0.061     0.045
2015     1.520     0.753     0.474     0.183     0.058     0.051
2016     1.563     0.803     0.461     0.199     0.052     0.049
2017     1.656     0.867     0.506     0.188     0.050     0.045
2018     1.587     0.819     0.504     0.173     0.047     0.044
2019     1.559     0.787     0.480     0.185     0.063     0.043
