Hungary, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 08/03/2022
Year    Age        ASFR
1950     12-    0.00000
1950     13     0.00003
1950     14     0.00056
1950     15     0.00367
1950     16     0.01486
1950     17     0.04174
1950     18     0.07850
1950     19     0.11272
1950     20     0.15413
1950     21     0.17111
1950     22     0.17795
1950     23     0.17759
1950     24     0.17317
1950     25     0.16683
1950     26     0.15729
1950     27     0.14195
1950     28     0.12852
1950     29     0.11534
1950     30     0.10369
1950     31     0.09493
1950     32     0.08567
1950     33     0.07787
1950     34     0.06606
1950     35     0.06755
1950     36     0.05643
1950     37     0.05030
1950     38     0.04402
1950     39     0.03770
1950     40     0.03155
1950     41     0.02382
1950     42     0.01784
1950     43     0.01172
1950     44     0.00646
1950     45     0.00440
1950     46     0.00210
1950     47     0.00076
1950     48     0.00039
1950     49     0.00025
1950     50     0.00017
1950     51     0.00008
1950     52     0.00003
1950     53     0.00002
1950     54     0.00005
1950     55+    0.00004
1951     12-    0.00000
1951     13     0.00005
1951     14     0.00074
1951     15     0.00339
1951     16     0.01302
1951     17     0.03911
1951     18     0.08085
1951     19     0.11766
1951     20     0.15321
1951     21     0.16948
1951     22     0.17484
1951     23     0.17602
1951     24     0.16982
1951     25     0.16228
1951     26     0.15270
1951     27     0.13744
1951     28     0.12535
1951     29     0.11283
1951     30     0.10060
1951     31     0.08942
1951     32     0.08122
1951     33     0.07133
1951     34     0.06751
1951     35     0.05743
1951     36     0.05612
1951     37     0.04611
1951     38     0.04149
1951     39     0.03547
1951     40     0.02884
1951     41     0.02228
1951     42     0.01616
1951     43     0.01156
1951     44     0.00706
1951     45     0.00338
1951     46     0.00211
1951     47     0.00082
1951     48     0.00051
1951     49     0.00026
1951     50     0.00026
1951     51     0.00017
1951     52     0.00003
1951     53     0.00000
1951     54     0.00003
1951     55+    0.00009
1952     12-    0.00000
1952     13     0.00006
1952     14     0.00084
1952     15     0.00278
1952     16     0.01187
1952     17     0.03489
1952     18     0.07196
1952     19     0.11630
1952     20     0.14930
1952     21     0.16396
1952     22     0.17301
1952     23     0.17126
1952     24     0.16888
1952     25     0.15734
1952     26     0.14751
1952     27     0.13490
1952     28     0.12515
1952     29     0.11350
1952     30     0.10114
1952     31     0.08855
1952     32     0.08015
1952     33     0.07580
1952     34     0.06397
1952     35     0.06154
1952     36     0.04921
1952     37     0.04656
1952     38     0.03864
1952     39     0.03301
1952     40     0.02619
1952     41     0.02239
1952     42     0.01515
1952     43     0.01012
1952     44     0.00648
1952     45     0.00289
1952     46     0.00179
1952     47     0.00068
1952     48     0.00032
1952     49     0.00021
1952     50     0.00017
1952     51     0.00010
1952     52     0.00005
1952     53     0.00002
1952     54     0.00000
1952     55+    0.00000
1953     12-    0.00000
1953     13     0.00008
1953     14     0.00108
1953     15     0.00328
1953     16     0.01287
1953     17     0.03674
1953     18     0.07263
1953     19     0.12081
1953     20     0.15917
1953     21     0.17945
1953     22     0.18698
1953     23     0.18977
1953     24     0.18155
1953     25     0.17521
1953     26     0.16438
1953     27     0.15298
1953     28     0.13853
1953     29     0.12917
1953     30     0.11943
1953     31     0.10802
1953     32     0.09703
1953     33     0.08537
1953     34     0.07710
1953     35     0.06505
1953     36     0.06291
1953     37     0.05013
1953     38     0.04808
1953     39     0.03816
1953     40     0.03042
1953     41     0.02448
1953     42     0.01707
1953     43     0.01155
1953     44     0.00675
1953     45     0.00348
1953     46     0.00150
1953     47     0.00086
1953     48     0.00026
1953     49     0.00020
1953     50     0.00020
1953     51     0.00013
1953     52     0.00006
1953     53     0.00002
1953     54     0.00001
1953     55+    0.00000
1954     12-    0.00000
1954     13     0.00006
1954     14     0.00091
1954     15     0.00388
1954     16     0.01437
1954     17     0.03867
1954     18     0.07776
1954     19     0.12505
1954     20     0.17053
1954     21     0.19814
1954     22     0.20702
1954     23     0.20564
1954     24     0.19671
1954     25     0.18522
1954     26     0.17777
1954     27     0.16552
1954     28     0.15456
1954     29     0.14244
1954     30     0.13182
1954     31     0.11870
1954     32     0.10453
1954     33     0.09297
1954     34     0.08293
1954     35     0.07455
1954     36     0.06245
1954     37     0.05821
1954     38     0.04543
1954     39     0.04247
1954     40     0.03138
