Hungary, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 08/03/2022
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1952     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1952     13     0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
1952     14     0.00084     0.00084     0.00000     0.00000     0.00000     0.00000
1952     15     0.00278     0.00268     0.00010     0.00000     0.00000     0.00000
1952     16     0.01187     0.01117     0.00066     0.00004     0.00000     0.00000
1952     17     0.03489     0.03198     0.00262     0.00025     0.00004     0.00000
1952     18     0.07196     0.06178     0.00939     0.00067     0.00012     0.00000
1952     19     0.11630     0.09180     0.02123     0.00294     0.00032     0.00000
1952     20     0.14930     0.10518     0.03551     0.00751     0.00100     0.00009
1952     21     0.16396     0.10463     0.04564     0.01120     0.00202     0.00047
1952     22     0.17301     0.09604     0.05545     0.01673     0.00378     0.00100
1952     23     0.17126     0.08327     0.05822     0.02146     0.00644     0.00187
1952     24     0.16888     0.06973     0.06174     0.02494     0.00914     0.00333
1952     25     0.15734     0.05733     0.05685     0.02747     0.01064     0.00505
1952     26     0.14751     0.04707     0.05344     0.02683     0.01321     0.00696
1952     27     0.13490     0.03860     0.04755     0.02636     0.01326     0.00914
1952     28     0.12515     0.03158     0.04201     0.02528     0.01493     0.01135
1952     29     0.11350     0.02531     0.03690     0.02440     0.01310     0.01380
1952     30     0.10114     0.01979     0.03045     0.02066     0.01349     0.01674
1952     31     0.08855     0.01465     0.02341     0.01956     0.01239     0.01854
1952     32     0.08015     0.01242     0.01993     0.01683     0.01156     0.01941
1952     33     0.07580     0.01046     0.01723     0.01444     0.01133     0.02236
1952     34     0.06397     0.00843     0.01317     0.01175     0.00978     0.02085
1952     35     0.06154     0.00798     0.01093     0.01224     0.00911     0.02128
1952     36     0.04921     0.00518     0.00909     0.00797     0.00683     0.02014
1952     37     0.04656     0.00457     0.00695     0.00759     0.00596     0.02149
1952     38     0.03864     0.00385     0.00532     0.00557     0.00537     0.01854
1952     39     0.03301     0.00304     0.00434     0.00463     0.00378     0.01723
1952     40     0.02619     0.00222     0.00290     0.00331     0.00319     0.01458
1952     41     0.02239     0.00151     0.00210     0.00236     0.00283     0.01359
1952     42     0.01515     0.00101     0.00139     0.00165     0.00149     0.00960
1952     43     0.01012     0.00061     0.00084     0.00084     0.00085     0.00698
1952     44     0.00648     0.00041     0.00042     0.00056     0.00076     0.00432
1952     45     0.00289     0.00021     0.00021     0.00019     0.00024     0.00204
1952     46     0.00179     0.00012     0.00006     0.00017     0.00018     0.00126
1952     47     0.00068     0.00003     0.00003     0.00005     0.00009     0.00048
1952     48     0.00032     0.00002     0.00005     0.00006     0.00003     0.00017
1952     49     0.00021     0.00002     0.00000     0.00006     0.00002     0.00012
1952     50     0.00017     0.00003     0.00000     0.00002     0.00001     0.00011
1952     51     0.00010     0.00003     0.00001     0.00001     0.00000     0.00005
1952     52     0.00005     0.00002     0.00000     0.00000     0.00000     0.00002
1952     53     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000
1952     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1952     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1953     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1953     13     0.00008     0.00008     0.00000     0.00000     0.00000     0.00000
1953     14     0.00108     0.00105     0.00002     0.00000     0.00000     0.00000
1953     15     0.00328     0.00320     0.00008     0.00000     0.00000     0.00000
1953     16     0.01287     0.01219     0.00067     0.00001     0.00000     0.00000
1953     17     0.03674     0.03414     0.00250     0.00010     0.00000     0.00000
1953     18     0.07263     0.06331     0.00851     0.00076     0.00004     0.00000
1953     19     0.12081     0.09678     0.02114     0.00250     0.00039     0.00000
1953     20     0.15917     0.11469     0.03689     0.00630     0.00106     0.00023
1953     21     0.17945     0.11458     0.04980     0.01239     0.00244     0.00024
1953     22     0.18698     0.10289     0.06078     0.01818     0.00429     0.00084
1953     23     0.18977     0.08833     0.06785     0.02472     0.00689     0.00198
1953     24     0.18155     0.07227     0.06630     0.02869     0.01021     0.00410
1953     25     0.17521     0.06125     0.06466     0.03249     0.01152     0.00529
1953     26     0.16438     0.04999     0.05963     0.03204     0.01455     0.00816
1953     27     0.15298     0.03948     0.05505     0.03211     0.01597     0.01037
1953     28     0.13853     0.03158     0.04687     0.03144     0.01622     0.01241
1953     29     0.12917     0.02618     0.04212     0.03092     0.01631     0.01363
1953     30     0.11943     0.02166     0.03689     0.02765     0.01591     0.01733
1953     31     0.10802     0.01763     0.03128     0.02522     0.01471     0.01919
1953     32     0.09703     0.01476     0.02444     0.02225     0.01423     0.02136
1953     33     0.08537     0.01151     0.01923     0.01946     0.01283     0.02234
1953     34     0.07710     0.00880     0.01691     0.01578     0.01214     0.02347
1953     35     0.06505     0.00825     0.01268     0.01355     0.00878     0.02179
1953     36     0.06291     0.00691     0.01172     0.01232     0.00918     0.02277
1953     37     0.05013     0.00480     0.00841     0.00866     0.00720     0.02106
1953     38     0.04808     0.00485     0.00723     0.00735     0.00668     0.02198
1953     39     0.03816     0.00331     0.00499     0.00617     0.00512     0.01857
1953     40     0.03042     0.00258     0.00380     0.00458     0.00392     0.01553
1953     41     0.02448     0.00208     0.00283     0.00320     0.00328     0.01309
1953     42     0.01707     0.00134     0.00187     0.00230     0.00179     0.00977
1953     43     0.01155     0.00066     0.00089     0.00134     0.00126     0.00739
1953     44     0.00675     0.00037     0.00063     0.00068     0.00090     0.00417
1953     45     0.00348     0.00023     0.00025     0.00027     0.00033     0.00240
1953     46     0.00150     0.00006     0.00009     0.00013     0.00017     0.00106
1953     47     0.00086     0.00003     0.00003     0.00006     0.00008     0.00066
1953     48     0.00026     0.00003     0.00002     0.00000     0.00000     0.00022
1953     49     0.00020     0.00008     0.00000     0.00003     0.00000     0.00009
1953     50     0.00020     0.00006     0.00002     0.00004     0.00000     0.00009
1953     51     0.00013     0.00003     0.00002     0.00002     0.00000     0.00005
1953     52     0.00006     0.00001     0.00001     0.00001     0.00000     0.00002
1953     53     0.00002     0.00001     0.00001     0.00000     0.00000     0.00000
1953     54     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1953     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1954     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1954     13     0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
