Hungary, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 08/03/2022
Year   Age   Cohort      ASFR
1950   12-       .    0.00000
1950   13     1937    0.00002
1950   13     1936    0.00005
1950   14     1936    0.00035
1950   14     1935    0.00077
1950   15     1935    0.00241
1950   15     1934    0.00500
1950   16     1934    0.01080
1950   16     1933    0.01893
1950   17     1933    0.03473
1950   17     1932    0.04887
1950   18     1932    0.07330
1950   18     1931    0.08420
1950   19     1931    0.11009
1950   19     1930    0.11528
1950   20     1930    0.15373
1950   20     1929    0.15456
1950   21     1929    0.16857
1950   21     1928    0.17368
1950   22     1928    0.17835
1950   22     1927    0.17750
1950   23     1927    0.17345
1950   23     1926    0.18173
1950   24     1926    0.17218
1950   24     1925    0.17415
1950   25     1925    0.16691
1950   25     1924    0.16675
1950   26     1924    0.15785
1950   26     1923    0.15672
1950   27     1923    0.13457
1950   27     1922    0.14960
1950   28     1922    0.13052
1950   28     1921    0.12638
1950   29     1921    0.11625
1950   29     1920    0.11439
1950   30     1920    0.10468
1950   30     1919    0.10264
1950   31     1919    0.09579
1950   31     1918    0.09364
1950   32     1918    0.08687
1950   32     1917    0.08446
1950   33     1917    0.07926
1950   33     1916    0.07654
1950   34     1916    0.07311
1950   34     1915    0.06074
1950   35     1915    0.07317
1950   35     1914    0.06372
1950   36     1914    0.05812
1950   36     1913    0.05469
1950   37     1913    0.05129
1950   37     1912    0.04937
1950   38     1912    0.04429
1950   38     1911    0.04373
1950   39     1911    0.03830
1950   39     1910    0.03713
1950   40     1910    0.03301
1950   40     1909    0.03003
1950   41     1909    0.02453
1950   41     1908    0.02310
1950   42     1908    0.01912
1950   42     1907    0.01652
1950   43     1907    0.01213
1950   43     1906    0.01129
1950   44     1906    0.00749
1950   44     1905    0.00538
1950   45     1905    0.00524
1950   45     1904    0.00357
1950   46     1904    0.00213
1950   46     1903    0.00208
1950   47     1903    0.00088
1950   47     1902    0.00065
1950   48     1902    0.00051
1950   48     1901    0.00026
1950   49     1901    0.00026
1950   49     1900    0.00024
1950   50     1900    0.00024
1950   50     1899    0.00010
1950   51     1899    0.00010
1950   51     1898    0.00006
1950   52     1898    0.00006
1950   52     1897    0.00000
1950   53     1897    0.00000
1950   53     1896    0.00003
1950   54     1896    0.00003
1950   54     1895    0.00007
1950   55+       .    0.00004
1951   12-       .    0.00000
1951   13     1938    0.00002
1951   13     1937    0.00007
1951   14     1937    0.00049
1951   14     1936    0.00100
1951   15     1936    0.00208
1951   15     1935    0.00474
1951   16     1935    0.00926
1951   16     1934    0.01699
1951   17     1934    0.03274
1951   17     1933    0.04548
