Hungary, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 08/03/2022
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1952   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1952   13     1939    0.00003     0.00003     0.00000     0.00000     0.00000     0.00000
1952   13     1938    0.00009     0.00009     0.00000     0.00000     0.00000     0.00000
1952   14     1938    0.00058     0.00058     0.00000     0.00000     0.00000     0.00000
1952   14     1937    0.00111     0.00111     0.00000     0.00000     0.00000     0.00000
1952   15     1937    0.00220     0.00215     0.00006     0.00000     0.00000     0.00000
1952   15     1936    0.00337     0.00323     0.00014     0.00000     0.00000     0.00000
1952   16     1936    0.00984     0.00945     0.00039     0.00000     0.00000     0.00000
1952   16     1935    0.01394     0.01292     0.00094     0.00009     0.00000     0.00000
1952   17     1935    0.02984     0.02772     0.00196     0.00016     0.00000     0.00000
1952   17     1934    0.04021     0.03648     0.00331     0.00034     0.00008     0.00000
1952   18     1934    0.06573     0.05767     0.00746     0.00043     0.00016     0.00000
1952   18     1933    0.07821     0.06589     0.01133     0.00091     0.00008     0.00000
1952   19     1933    0.11045     0.08962     0.01831     0.00223     0.00029     0.00000
1952   19     1932    0.12224     0.09402     0.02420     0.00367     0.00035     0.00000
1952   20     1932    0.15008     0.10807     0.03404     0.00693     0.00091     0.00013
1952   20     1931    0.14845     0.10202     0.03712     0.00815     0.00110     0.00006
1952   21     1931    0.16718     0.10945     0.04492     0.01080     0.00159     0.00041
1952   21     1930    0.16084     0.09994     0.04634     0.01159     0.00244     0.00052
1952   22     1930    0.17575     0.10123     0.05446     0.01585     0.00349     0.00072
1952   22     1929    0.17005     0.09043     0.05653     0.01768     0.00410     0.00131
1952   23     1929    0.17342     0.08675     0.05834     0.02024     0.00633     0.00175
1952   23     1928    0.16908     0.07975     0.05810     0.02269     0.00654     0.00200
1952   24     1928    0.17085     0.07004     0.06359     0.02534     0.00858     0.00330
1952   24     1927    0.16673     0.06939     0.05971     0.02451     0.00976     0.00336
1952   25     1927    0.15901     0.05931     0.05760     0.02714     0.01049     0.00447
1952   25     1926    0.15566     0.05535     0.05610     0.02780     0.01078     0.00564
1952   26     1926    0.15178     0.04848     0.05644     0.02669     0.01342     0.00674
1952   26     1925    0.14326     0.04566     0.05046     0.02696     0.01300     0.00718
1952   27     1925    0.13800     0.03988     0.04938     0.02673     0.01327     0.00873
1952   27     1924    0.13140     0.03714     0.04549     0.02595     0.01324     0.00959
1952   28     1924    0.12940     0.03228     0.04415     0.02613     0.01581     0.01102
1952   28     1923    0.12083     0.03086     0.03984     0.02442     0.01404     0.01168
1952   29     1923    0.11455     0.02597     0.03743     0.02407     0.01374     0.01334
1952   29     1922    0.11241     0.02462     0.03634     0.02474     0.01243     0.01427
1952   30     1922    0.10381     0.01979     0.03281     0.02129     0.01354     0.01639
1952   30     1921    0.09827     0.01979     0.02794     0.01998     0.01345     0.01711
1952   31     1921    0.09173     0.01547     0.02487     0.02073     0.01261     0.01805
1952   31     1920    0.08519     0.01379     0.02187     0.01832     0.01215     0.01906
1952   32     1920    0.08367     0.01364     0.02161     0.01773     0.01155     0.01915
1952   32     1919    0.07638     0.01113     0.01813     0.01588     0.01157     0.01968
1952   33     1919    0.07713     0.01062     0.01722     0.01518     0.01184     0.02227
1952   33     1918    0.07381     0.01020     0.01724     0.01332     0.01055     0.02249
1952   34     1918    0.06774     0.00914     0.01425     0.01326     0.00998     0.02111
1952   34     1917    0.06016     0.00771     0.01207     0.01022     0.00957     0.02059
1952   35     1917    0.06542     0.00788     0.01224     0.01355     0.01013     0.02162
1952   35     1916    0.05780     0.00808     0.00967     0.01098     0.00813     0.02094
1952   36     1916    0.05669     0.00611     0.01032     0.00901     0.00819     0.02306
1952   36     1915    0.04359     0.00449     0.00817     0.00719     0.00580     0.01795
1952   37     1915    0.05341     0.00567     0.00841     0.00910     0.00676     0.02347
1952   37     1914    0.04189     0.00382     0.00596     0.00656     0.00541     0.02013
1952   38     1914    0.03988     0.00393     0.00598     0.00618     0.00540     0.01840
1952   38     1913    0.03736     0.00377     0.00464     0.00495     0.00533     0.01868
1952   39     1913    0.03532     0.00324     0.00529     0.00509     0.00429     0.01742
1952   39     1912    0.03081     0.00285     0.00343     0.00419     0.00329     0.01705
1952   40     1912    0.02660     0.00256     0.00317     0.00335     0.00322     0.01430
1952   40     1911    0.02575     0.00185     0.00259     0.00326     0.00316     0.01489
1952   41     1911    0.02349     0.00171     0.00209     0.00252     0.00292     0.01425
1952   41     1910    0.02135     0.00132     0.00211     0.00221     0.00275     0.01296
1952   42     1910    0.01701     0.00115     0.00153     0.00196     0.00176     0.01061
1952   42     1909    0.01321     0.00087     0.00124     0.00132     0.00122     0.00855
1952   43     1909    0.01050     0.00050     0.00085     0.00074     0.00098     0.00742
1952   43     1908    0.00974     0.00072     0.00083     0.00094     0.00072     0.00653
1952   44     1908    0.00701     0.00054     0.00048     0.00064     0.00083     0.00451
1952   44     1907    0.00594     0.00028     0.00036     0.00047     0.00069     0.00413
1952   45     1907    0.00331     0.00025     0.00022     0.00022     0.00028     0.00234
1952   45     1906    0.00245     0.00018     0.00020     0.00015     0.00020     0.00172
1952   46     1906    0.00170     0.00015     0.00009     0.00012     0.00020     0.00114
1952   46     1905    0.00188     0.00009     0.00003     0.00022     0.00015     0.00139
1952   47     1905    0.00068     0.00003     0.00000     0.00006     0.00015     0.00043
1952   47     1904    0.00067     0.00003     0.00006     0.00003     0.00003     0.00052
1952   48     1904    0.00040     0.00003     0.00000     0.00003     0.00006     0.00028
1952   48     1903    0.00024     0.00000     0.00009     0.00009     0.00000     0.00006
1952   49     1903    0.00028     0.00003     0.00000     0.00006     0.00003     0.00015
1952   49     1902    0.00015     0.00000     0.00000     0.00006     0.00000     0.00009
1952   50     1902    0.00018     0.00003     0.00000     0.00002     0.00001     0.00012
1952   50     1901    0.00016     0.00004     0.00000     0.00002     0.00001     0.00010
1952   51     1901    0.00012     0.00003     0.00000     0.00001     0.00000     0.00006
1952   51     1900    0.00009     0.00003     0.00001     0.00001     0.00000     0.00005
1952   52     1900    0.00005     0.00002     0.00000     0.00000     0.00000     0.00002
1952   52     1899    0.00004     0.00002     0.00000     0.00000     0.00000     0.00001
1952   53     1899    0.00002     0.00001     0.00000     0.00000     0.00000     0.00001
1952   53     1898    0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1952   54     1898    0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1952   54     1897    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1952   55+       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1953   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1953   13     1940    0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1953   13     1939    0.00012     0.00012     0.00000     0.00000     0.00000     0.00000
1953   14     1939    0.00075     0.00073     0.00002     0.00000     0.00000     0.00000
1953   14     1938    0.00141     0.00138     0.00003     0.00000     0.00000     0.00000
1953   15     1938    0.00265     0.00255     0.00011     0.00000     0.00000     0.00000
1953   15     1937    0.00394     0.00389     0.00006     0.00000     0.00000     0.00000
1953   16     1937    0.00984     0.00937     0.00047     0.00000     0.00000     0.00000
1953   16     1936    0.01596     0.01506     0.00087     0.00003     0.00000     0.00000
1953   17     1936    0.03047     0.02889     0.00153     0.00006     0.00000     0.00000
1953   17     1935    0.04316     0.03953     0.00350     0.00014     0.00000     0.00000
1953   18     1935    0.06379     0.05664     0.00646     0.00066     0.00003     0.00000
1953   18     1934    0.08196     0.07035     0.01069     0.00087     0.00006     0.00000
1953   19     1934    0.11197     0.09225     0.01784     0.00167     0.00021     0.00000
1953   19     1933    0.12967     0.10132     0.02444     0.00334     0.00057     0.00000
1953   20     1933    0.15298     0.11368     0.03313     0.00521     0.00088     0.00008
1953   20     1932    0.16547     0.11573     0.04071     0.00741     0.00124     0.00038
1953   21     1932    0.17910     0.11652     0.04911     0.01117     0.00207     0.00023
1953   21     1931    0.17985     0.11246     0.05056     0.01373     0.00285     0.00025
