Hungary, Cohort fertility rates by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 08/03/2022
Cohort  Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1897     12-          .           .           .           .           .           .
1897     13           .           .           .           .           .           .
1897     14           .           .           .           .           .           .
1897     15           .           .           .           .           .           .
1897     16           .           .           .           .           .           .
1897     17           .           .           .           .           .           .
1897     18           .           .           .           .           .           .
1897     19           .           .           .           .           .           .
1897     20           .           .           .           .           .           .
1897     21           .           .           .           .           .           .
1897     22           .           .           .           .           .           .
1897     23           .           .           .           .           .           .
1897     24           .           .           .           .           .           .
1897     25           .           .           .           .           .           .
1897     26           .           .           .           .           .           .
1897     27           .           .           .           .           .           .
1897     28           .           .           .           .           .           .
1897     29           .           .           .           .           .           .
1897     30           .           .           .           .           .           .
1897     31           .           .           .           .           .           .
1897     32           .           .           .           .           .           .
1897     33           .           .           .           .           .           .
1897     34           .           .           .           .           .           .
1897     35           .           .           .           .           .           .
1897     36           .           .           .           .           .           .
1897     37           .           .           .           .           .           .
1897     38           .           .           .           .           .           .
1897     39           .           .           .           .           .           .
1897     40           .           .           .           .           .           .
1897     41           .           .           .           .           .           .
1897     42           .           .           .           .           .           .
1897     43           .           .           .           .           .           .
1897     44           .           .           .           .           .           .
1897     45           .           .           .           .           .           .
1897     46           .           .           .           .           .           .
1897     47           .           .           .           .           .           .
1897     48           .           .           .           .           .           .
1897     49           .           .           .           .           .           .
1897     50           .           .           .           .           .           .
1897     51           .           .           .           .           .           .
1897     52           .           .           .           .           .           .
1897     53           .           .           .           .           .           .
1897     54           .           .           .           .           .           .
1897     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1898     12-          .           .           .           .           .           .
1898     13           .           .           .           .           .           .
1898     14           .           .           .           .           .           .
1898     15           .           .           .           .           .           .
1898     16           .           .           .           .           .           .
1898     17           .           .           .           .           .           .
1898     18           .           .           .           .           .           .
1898     19           .           .           .           .           .           .
1898     20           .           .           .           .           .           .
1898     21           .           .           .           .           .           .
1898     22           .           .           .           .           .           .
1898     23           .           .           .           .           .           .
1898     24           .           .           .           .           .           .
1898     25           .           .           .           .           .           .
1898     26           .           .           .           .           .           .
1898     27           .           .           .           .           .           .
1898     28           .           .           .           .           .           .
1898     29           .           .           .           .           .           .
1898     30           .           .           .           .           .           .
1898     31           .           .           .           .           .           .
1898     32           .           .           .           .           .           .
1898     33           .           .           .           .           .           .
1898     34           .           .           .           .           .           .
1898     35           .           .           .           .           .           .
1898     36           .           .           .           .           .           .
1898     37           .           .           .           .           .           .
1898     38           .           .           .           .           .           .
1898     39           .           .           .           .           .           .
1898     40           .           .           .           .           .           .
1898     41           .           .           .           .           .           .
1898     42           .           .           .           .           .           .
1898     43           .           .           .           .           .           .
1898     44           .           .           .           .           .           .
1898     45           .           .           .           .           .           .
1898     46           .           .           .           .           .           .
1898     47           .           .           .           .           .           .
1898     48           .           .           .           .           .           .
1898     49           .           .           .           .           .           .
1898     50           .           .           .           .           .           .
1898     51           .           .           .           .           .           .
1898     52           .           .           .           .           .           .
1898     53           .           .           .           .           .           .
1898     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1898     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1899     12-          .           .           .           .           .           .
1899     13           .           .           .           .           .           .
1899     14           .           .           .           .           .           .
1899     15           .           .           .           .           .           .
1899     16           .           .           .           .           .           .
1899     17           .           .           .           .           .           .
1899     18           .           .           .           .           .           .
1899     19           .           .           .           .           .           .
1899     20           .           .           .           .           .           .
1899     21           .           .           .           .           .           .
1899     22           .           .           .           .           .           .
1899     23           .           .           .           .           .           .
1899     24           .           .           .           .           .           .
1899     25           .           .           .           .           .           .
1899     26           .           .           .           .           .           .
1899     27           .           .           .           .           .           .
1899     28           .           .           .           .           .           .
1899     29           .           .           .           .           .           .
1899     30           .           .           .           .           .           .
1899     31           .           .           .           .           .           .
1899     32           .           .           .           .           .           .
1899     33           .           .           .           .           .           .
1899     34           .           .           .           .           .           .
1899     35           .           .           .           .           .           .
1899     36           .           .           .           .           .           .
1899     37           .           .           .           .           .           .
1899     38           .           .           .           .           .           .
