Hungary, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 08/03/2022
Year    ARDY   Cohort        ASFR
1950     12-    1938+     0.00000
1950     13     1937      0.00001
1950     14     1936      0.00020
1950     15     1935      0.00162
1950     16     1934      0.00796
1950     17     1933      0.02688
1950     18     1932      0.06150
1950     19     1931      0.09762
1950     20     1930      0.13458
1950     21     1929      0.16175
1950     22     1928      0.17606
1950     23     1927      0.17540
1950     24     1926      0.17688
1950     25     1925      0.17050
1950     26     1924      0.16214
1950     27     1923      0.14525
1950     28     1922      0.13965
1950     29     1921      0.12132
1950     30     1920      0.10927
1950     31     1919      0.09972
1950     32     1918      0.09026
1950     33     1917      0.08186
1950     34     1916      0.07483
1950     35     1915      0.06695
1950     36     1914      0.06092
1950     37     1913      0.05299
1950     38     1912      0.04683
1950     39     1911      0.04102
1950     40     1910      0.03508
1950     41     1909      0.02728
1950     42     1908      0.02111
1950     43     1907      0.01433
1950     44     1906      0.00939
1950     45     1905      0.00531
1950     46     1904      0.00285
1950     47     1903      0.00148
1950     48     1902      0.00058
1950     49     1901      0.00026
1950     50     1900      0.00024
1950     51     1899      0.00010
1950     52     1898      0.00006
1950     53     1897      0.00000
1950     54     1896      0.00003
1950     55+    1895-     0.00007
1951     12-    1939+     0.00000
1951     13     1938      0.00001
1951     14     1937      0.00028
1951     15     1936      0.00154
1951     16     1935      0.00707
1951     17     1934      0.02503
1951     18     1933      0.06030
1951     19     1932      0.09869
1951     20     1931      0.13884
1951     21     1930      0.16123
1951     22     1929      0.17215
1951     23     1928      0.17640
1951     24     1927      0.17083
1951     25     1926      0.16737
1951     26     1925      0.15852
1951     27     1924      0.14356
1951     28     1923      0.13005
1951     29     1922      0.12159
1951     30     1921      0.10621
1951     31     1920      0.09470
1951     32     1919      0.08618
1951     33     1918      0.07712
1951     34     1917      0.06840
1951     35     1916      0.06438
1951     36     1915      0.05654
1951     37     1914      0.05077
1951     38     1913      0.04296
1951     39     1912      0.03925
1951     40     1911      0.03152
1951     41     1910      0.02596
1951     42     1909      0.01928
1951     43     1908      0.01374
1951     44     1907      0.00920
1951     45     1906      0.00503
1951     46     1905      0.00281
1951     47     1904      0.00136
1951     48     1903      0.00061
1951     49     1902      0.00036
1951     50     1901      0.00024
1951     51     1900      0.00030
1951     52     1899      0.00003
1951     53     1898      0.00002
1951     54     1897      0.00000
1951     55+    1896-     0.00012
1952     12-    1940+     0.00000
1952     13     1939      0.00002
1952     14     1938      0.00034
1952     15     1937      0.00166
1952     16     1936      0.00662
1952     17     1935      0.02216
1952     18     1934      0.05324
1952     19     1933      0.09444
1952     20     1932      0.13663
1952     21     1931      0.15816
1952     22     1930      0.16832
1952     23     1929      0.17178
1952     24     1928      0.16998
1952     25     1927      0.16272
1952     26     1926      0.15369
1952     27     1925      0.14061
1952     28     1924      0.13036
1952     29     1923      0.11758
1952     30     1922      0.10793
1952     31     1921      0.09500
1952     32     1920      0.08439
1952     33     1919      0.07670
1952     34     1918      0.07077
1952     35     1917      0.06279
1952     36     1916      0.05725
1952     37     1915      0.04850
1952     38     1914      0.04089
1952     39     1913      0.03634
1952     40     1912      0.02871
1952     41     1911      0.02462
1952     42     1910      0.01919
1952     43     1909      0.01186
1952     44     1908      0.00838
1952     45     1907      0.00463
1952     46     1906      0.00207
1952     47     1905      0.00128
1952     48     1904      0.00054
1952     49     1903      0.00026
1952     50     1902      0.00017
