Hungary, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 08/03/2022
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1952     12-    1940+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1952     13     1939      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1952     14     1938      0.00034     0.00034     0.00000     0.00000     0.00000     0.00000
1952     15     1937      0.00166     0.00164     0.00003     0.00000     0.00000     0.00000
1952     16     1936      0.00662     0.00636     0.00026     0.00000     0.00000     0.00000
1952     17     1935      0.02216     0.02057     0.00147     0.00012     0.00000     0.00000
1952     18     1934      0.05324     0.04730     0.00543     0.00038     0.00012     0.00000
1952     19     1933      0.09444     0.07783     0.01484     0.00158     0.00019     0.00000
1952     20     1932      0.13663     0.10129     0.02928     0.00536     0.00064     0.00007
1952     21     1931      0.15816     0.10587     0.04116     0.00952     0.00136     0.00024
1952     22     1930      0.16832     0.10059     0.05042     0.01373     0.00297     0.00062
1952     23     1929      0.17178     0.08854     0.05746     0.01900     0.00525     0.00154
1952     24     1928      0.16998     0.07481     0.06089     0.02404     0.00758     0.00266
1952     25     1927      0.16272     0.06415     0.05861     0.02588     0.01014     0.00394
1952     26     1926      0.15369     0.05186     0.05627     0.02723     0.01212     0.00620
1952     27     1925      0.14061     0.04275     0.04991     0.02685     0.01313     0.00796
1952     28     1924      0.13036     0.03462     0.04479     0.02604     0.01458     0.01033
1952     29     1923      0.11758     0.02833     0.03859     0.02424     0.01389     0.01254
1952     30     1922      0.10793     0.02210     0.03450     0.02294     0.01301     0.01538
1952     31     1921      0.09500     0.01763     0.02640     0.02036     0.01303     0.01758
1952     32     1920      0.08439     0.01371     0.02173     0.01801     0.01183     0.01911
1952     33     1919      0.07670     0.01091     0.01775     0.01558     0.01168     0.02078
1952     34     1918      0.07077     0.00967     0.01575     0.01329     0.01027     0.02180
1952     35     1917      0.06279     0.00780     0.01216     0.01188     0.00985     0.02111
1952     36     1916      0.05725     0.00709     0.01000     0.01000     0.00816     0.02200
1952     37     1915      0.04850     0.00508     0.00829     0.00814     0.00628     0.02071
1952     38     1914      0.04089     0.00387     0.00597     0.00637     0.00541     0.01927
1952     39     1913      0.03634     0.00350     0.00496     0.00502     0.00481     0.01805
1952     40     1912      0.02871     0.00270     0.00330     0.00377     0.00326     0.01567
1952     41     1911      0.02462     0.00178     0.00234     0.00289     0.00304     0.01457
1952     42     1910      0.01919     0.00124     0.00182     0.00209     0.00225     0.01179
1952     43     1909      0.01186     0.00069     0.00105     0.00103     0.00110     0.00799
1952     44     1908      0.00838     0.00063     0.00066     0.00079     0.00078     0.00552
1952     45     1907      0.00463     0.00026     0.00029     0.00035     0.00049     0.00324
1952     46     1906      0.00207     0.00016     0.00015     0.00013     0.00020     0.00143
1952     47     1905      0.00128     0.00006     0.00002     0.00014     0.00015     0.00091
1952     48     1904      0.00054     0.00003     0.00003     0.00003     0.00005     0.00040
1952     49     1903      0.00026     0.00002     0.00005     0.00008     0.00002     0.00011
1952     50     1902      0.00017     0.00002     0.00000     0.00004     0.00000     0.00010
1952     51     1901      0.00014     0.00004     0.00000     0.00001     0.00001     0.00008
1952     52     1900      0.00007     0.00003     0.00000     0.00001     0.00000     0.00003
1952     53     1899      0.00003     0.00001     0.00000     0.00000     0.00000     0.00001
1952     54     1898      0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1952     55+    1897-     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1953     12-    1941+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1953     13     1940      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1953     14     1939      0.00044     0.00043     0.00001     0.00000     0.00000     0.00000
1953     15     1938      0.00204     0.00197     0.00007     0.00000     0.00000     0.00000
1953     16     1937      0.00692     0.00666     0.00026     0.00000     0.00000     0.00000
1953     17     1936      0.02326     0.02202     0.00120     0.00004     0.00000     0.00000
1953     18     1935      0.05382     0.04837     0.00503     0.00041     0.00001     0.00000
1953     19     1934      0.09728     0.08153     0.01434     0.00128     0.00014     0.00000
1953     20     1933      0.14140     0.10754     0.02882     0.00428     0.00072     0.00004
1953     21     1932      0.17251     0.11614     0.04505     0.00935     0.00167     0.00030
1953     22     1931      0.18364     0.10890     0.05544     0.01530     0.00353     0.00047
1953     23     1930      0.18840     0.09565     0.06426     0.02188     0.00526     0.00136
1953     24     1929      0.18679     0.08007     0.06815     0.02724     0.00829     0.00305
1953     25     1928      0.17750     0.06543     0.06522     0.03089     0.01130     0.00466
1953     26     1927      0.16828     0.05588     0.06107     0.03172     0.01315     0.00646
1953     27     1926      0.16023     0.04456     0.05832     0.03242     0.01545     0.00948
1953     28     1925      0.14611     0.03457     0.05122     0.03262     0.01601     0.01169
1953     29     1924      0.13320     0.02922     0.04448     0.03017     0.01684     0.01249
1953     30     1923      0.12550     0.02475     0.04000     0.02922     0.01589     0.01564
1953     31     1922      0.11218     0.01906     0.03306     0.02655     0.01519     0.01833
1953     32     1921      0.10348     0.01589     0.02839     0.02367     0.01501     0.02053
1953     33     1920      0.08925     0.01357     0.02110     0.02072     0.01260     0.02127
1953     34     1919      0.08123     0.00962     0.01769     0.01764     0.01279     0.02348
1953     35     1918      0.07303     0.00868     0.01532     0.01498     0.01065     0.02340
1953     36     1917      0.06500     0.00804     0.01233     0.01309     0.00912     0.02242
1953     37     1916      0.05770     0.00575     0.01060     0.01097     0.00825     0.02214
1953     38     1915      0.04965     0.00493     0.00749     0.00798     0.00720     0.02206
1953     39     1914      0.04185     0.00385     0.00589     0.00673     0.00583     0.01957
1953     40     1913      0.03381     0.00293     0.00445     0.00504     0.00439     0.01699
1953     41     1912      0.02785     0.00233     0.00333     0.00404     0.00355     0.01459
1953     42     1911      0.02052     0.00174     0.00233     0.00275     0.00232     0.01137
