Hungary, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 08/03/2022
Year    Age        Total          B1          B2          B3          B4         B5p
1952     12-        0.08        0.08        0.00        0.00        0.00        0.00
1952     13         4.52        4.52        0.00        0.00        0.00        0.00
1952     14        61.40       61.40        0.00        0.00        0.00        0.00
1952     15       200.00      193.00        7.00        0.00        0.00        0.00
1952     16       846.02      796.02       47.00        3.00        0.00        0.00
1952     17      2559.05     2346.07      192.00       18.00        3.00        0.00
1952     18      5355.11     4597.14      698.98       50.00        9.00        0.00
1952     19      8692.19     6861.25     1586.95      220.00       24.00        0.00
1952     20     11327.25     7980.33     2693.94      569.98       76.00        7.00
1952     21     12968.28     8275.38     3609.93      885.98      160.00       37.00
1952     22     13453.29     7468.39     4311.94     1300.98      294.00       78.00
1952     23     13439.29     6534.37     4568.96     1683.98      504.98      147.00
1952     24     13040.28     5384.34     4766.98     1925.98      705.98      257.00
1952     25     12515.27     4560.30     4522.00     2184.98      845.99      402.00
1952     26     12141.26     3874.27     4399.02     2208.00     1087.00      572.99
1952     27     10644.22     3045.22     3752.02     2080.00     1046.00      720.98
1952     28      9905.21     2499.19     3325.04     2001.00     1182.00      897.98
1952     29      9419.20     2100.17     3062.04     2025.02     1087.00     1144.98
1952     30      8694.19     1701.14     2618.04     1776.02     1160.00     1439.00
1952     31      7126.15     1179.10     1884.04     1574.02      997.00     1492.00
1952     32      6761.15     1048.09     1681.04     1420.02      975.00     1637.00
1952     33      3828.08      528.05      870.02      729.01      572.00     1129.00
1952     34      2565.06      338.03      528.02      471.00      392.00      836.00
1952     35      2499.06      324.02      444.01      497.00      370.00      864.00
1952     36      2365.06      249.02      437.02      383.00      328.00      968.00
1952     37      3140.07      308.02      469.02      512.01      402.00     1449.01
1952     38      3053.06      304.02      420.02      440.01      424.00     1465.01
1952     39      2631.06      242.02      346.01      369.00      301.00     1373.01
1952     40      2044.04      173.02      226.00      258.00      249.00     1138.01
1952     41      1717.04      116.02      161.00      181.00      217.00     1042.02
1952     42      1166.02       78.00      107.00      127.00      115.00      739.00
1952     43       760.02       46.00       63.00       63.00       64.00      524.00
1952     44       475.01       30.00       31.00       41.00       56.00      317.00
1952     45       203.00       15.00       15.00       13.00       17.00      143.00
1952     46       119.00        8.00        4.00       11.00       12.00       84.00
1952     47        44.00        2.00        2.00        3.00        6.00       31.00
1952     48        21.00        1.00        3.00        4.00        2.00       11.00
1952     49        14.00        1.00        0.00        4.00        1.00        8.00
1952     50        11.20        2.23        0.18        1.17        0.52        7.09
1952     51         6.70        2.09        0.33        0.51        0.28        3.49
1952     52         2.84        1.12        0.28        0.22        0.13        1.09
1952     53         1.01        0.44        0.16        0.09        0.05        0.27
1952     54         0.25        0.11        0.05        0.03        0.01        0.05
1952     55+        0.00        0.00        0.00        0.00        0.00        0.00
1953     12-        0.10        0.09        0.01        0.00        0.00        0.00
1953     13         5.93        5.72        0.22        0.00        0.00        0.00
1953     14        77.98       76.20        1.77        0.00        0.00        0.00
1953     15       239.03      233.03        6.00        0.00        0.00        0.00
1953     16       925.13      876.13       48.00        1.00        0.00        0.00
1953     17      2616.38     2431.38      178.00        7.00        0.00        0.00
1953     18      5322.77     4639.75      624.01       56.00        3.00        0.00
1953     19      8978.30     7192.24     1571.05      186.01       29.00        0.00
1953     20     11874.72     8556.56     2752.12      470.03       79.02       17.01
1953     21     13588.97     8676.67     3771.20      938.06      185.03       18.02
1953     22     14763.14     8123.63     4799.29     1435.11      339.06       66.04
1953     23     14741.14     6861.42     5270.35     1920.16      535.11      154.09
1953     24     14235.06     5666.18     5198.35     2249.19      800.16      321.20
1953     25     13509.96     4722.98     4985.33     2505.20      888.18      408.25
1953     26     13060.89     3971.79     4738.28     2546.19     1156.22      648.41
1953     27     12578.82     3246.63     4526.25     2640.19     1313.24      852.53
1953     28     10909.59     2487.46     3691.17     2476.15     1277.22      977.60
1953     29     10199.48     2067.37     3326.12     2441.13     1288.22     1076.64
1953     30      9888.44     1793.28     3054.06     2289.08     1317.19     1434.83
1953     31      9266.35     1512.22     2683.01     2163.03     1262.16     1645.92
1953     32      7790.13     1185.14     1961.96     1785.99     1142.12     1714.92
1953     33      7188.04      969.10     1618.93     1638.95     1080.09     1880.97
1953     34      3888.56      444.03      852.95      795.96      612.04     1183.59
1953     35      2601.38      330.02      506.96      541.96      351.02      871.42
1953     36      2548.36      280.01      474.96      498.96      372.02      922.43
1953     37      2402.35      230.00      402.95      414.96      345.00     1009.44
1953     38      3232.46      326.00      485.93      493.94      448.99     1477.62
1953     39      3005.44      261.00      392.94      485.93      402.99     1462.59
1953     40      2415.35      205.00      301.94      363.94      310.98     1233.48
1953     41      1904.27      162.00      219.96      248.95      254.98     1018.38
1953     42      1304.19      102.00      142.97      175.97      136.99      746.27
1953     43       886.13       51.00       67.98      102.98       96.99      567.18
1953     44       505.07       28.00       46.98       50.99       67.00      312.11
1953     45       254.04       17.00       18.00       20.00       24.00      175.05
1953     46       105.02        4.00        6.00        9.00       12.00       74.02
1953     47        57.00        2.00        2.00        4.00        5.00       44.02
1953     48        17.00        2.00        1.00        0.00        0.00       14.00
1953     49        13.00        5.00        0.00        2.00        0.00        6.00
1953     50        12.88        3.61        1.06        2.44        0.00        5.77
