Hungary, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 08/03/2022
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1952    12-        .            0.08           0.08           0.00           0.00           0.00           0.00
1952    13      1939            1.16           1.16           0.00           0.00           0.00           0.00
1952    13      1938            3.36           3.36           0.00           0.00           0.00           0.00
1952    14      1938           21.85          21.85           0.00           0.00           0.00           0.00
1952    14      1937           39.55          39.55           0.00           0.00           0.00           0.00
1952    15      1937           80.00          78.00           2.00           0.00           0.00           0.00
1952    15      1936          120.00         115.00           5.00           0.00           0.00           0.00
1952    16      1936          355.01         341.01          14.00           0.00           0.00           0.00
1952    16      1935          491.01         455.01          33.00           3.00           0.00           0.00
1952    17      1935         1124.02        1044.03          74.00           6.00           0.00           0.00
1952    17      1934         1435.03        1302.04         118.00          12.00           3.00           0.00
1952    18      1934         2448.05        2148.06         277.99          16.00           6.00           0.00
1952    18      1933         2907.06        2449.08         420.99          34.00           3.00           0.00
1952    19      1933         4161.09        3376.12         689.98          84.00          11.00           0.00
1952    19      1932         4531.10        3485.13         896.97         136.00          13.00           0.00
1952    20      1932         5952.13        4286.17        1349.97         274.99          36.00           5.00
1952    20      1931         5375.12        3694.16        1343.97         294.99          40.00           2.00
1952    21      1931         6516.14        4266.19        1750.96         420.99          62.00          16.00
1952    21      1930         6452.14        4009.19        1858.97         464.99          98.00          21.00
1952    22      1930         7106.15        4093.21        2201.97         640.99         141.00          29.00
1952    22      1929         6347.14        3375.18        2109.97         659.99         153.00          49.00
1952    23      1929         6845.15        3424.19        2302.98         798.99         249.99          69.00
1952    23      1928         6594.14        3110.18        2265.98         884.99         254.99          78.00
1952    24      1928         6891.15        2825.18        2564.99        1021.99         345.99         133.00
1952    24      1927         6149.13        2559.16        2201.99         903.99         359.99         124.00
1952    25      1927         6333.14        2362.15        2294.00        1080.99         417.99         178.00
1952    25      1926         6182.13        2198.15        2228.00        1103.99         428.00         224.00
1952    26      1926         6233.13        1991.14        2318.01        1096.00         551.00         277.00
1952    26      1925         5908.13        1883.13        2081.01        1112.00         536.00         295.99
1952    27      1925         5782.12        1671.12        2069.01        1120.00         556.00         365.99
1952    27      1924         4862.10        1374.10        1683.01         960.00         490.00         354.99
1952    28      1924         5155.11        1286.10        1759.02        1041.00         630.00         438.99
1952    28      1923         4750.10        1213.09        1566.02         960.00         552.00         458.99
1952    29      1923         4835.10        1096.09        1580.02        1016.01         580.00         562.99
1952    29      1922         4584.10        1004.08        1482.02        1009.01         507.00         581.99
1952    30      1922         4617.10         880.07        1459.02         947.01         602.00         729.00
1952    30      1921         4077.09         821.07        1159.02         829.01         558.00         710.00
1952    31      1921         3796.08         640.05        1029.02         858.01         522.00         747.00
1952    31      1920         3330.07         539.05         855.02         716.01         475.00         745.00
1952    32      1920         3644.08         594.05         941.02         772.01         503.00         834.00
1952    32      1919         3117.07         454.04         740.02         648.01         472.00         803.00
1952    33      1919         2338.05         322.03         522.01         460.01         359.00         675.00
1952    33      1918         1490.03         206.02         348.01         269.00         213.00         454.00
1952    34      1918         1364.03         184.02         287.01         267.00         201.00         425.00
1952    34      1917         1201.03         154.01         241.01         204.00         191.00         411.00
1952    35      1917         1304.03         157.01         244.01         270.00         202.00         431.00
1952    35      1916         1195.03         167.01         200.00         227.00         168.00         433.00
1952    36      1916         1170.03         126.01         213.01         186.00         169.00         476.00
1952    36      1915         1195.03         123.01         224.01         197.00         159.00         492.00
1952    37      1915         1461.03         155.01         230.01         249.00         185.00         642.00
1952    37      1914         1679.04         153.01         239.01         263.01         217.00         807.01
1952    38      1914         1595.03         157.01         239.01         247.01         216.00         736.00
1952    38      1913         1458.03         147.01         181.01         193.00         208.00         729.01
1952    39      1913         1375.03         126.01         206.01         198.00         167.00         678.00
1952    39      1912         1256.03         116.01         140.00         171.00         134.00         695.01
1952    40      1912         1081.02         104.01         129.00         136.00         131.00         581.00
1952    40      1911          963.02          69.01          97.00         122.00         118.00         557.01
1952    41      1911          877.02          64.01          78.00          94.00         109.00         532.01
1952    41      1910          840.02          52.01          83.00          87.00         108.00         510.01
1952    42      1910          667.01          45.00          60.00          77.00          69.00         416.00
1952    42      1909          499.01          33.00          47.00          50.00          46.00         323.00
1952    43      1909          396.01          19.00          32.00          28.00          37.00         280.00
1952    43      1908          364.01          27.00          31.00          35.00          27.00         244.00
1952    44      1908          261.01          20.00          18.00          24.00          31.00         168.00
1952    44      1907          214.00          10.00          13.00          17.00          25.00         149.00
1952    45      1907          119.00           9.00           8.00           8.00          10.00          84.00
1952    45      1906           84.00           6.00           7.00           5.00           7.00          59.00
1952    46      1906           58.00           5.00           3.00           4.00           7.00          39.00
1952    46      1905           61.00           3.00           1.00           7.00           5.00          45.00
1952    47      1905           22.00           1.00           0.00           2.00           5.00          14.00
1952    47      1904           22.00           1.00           2.00           1.00           1.00          17.00
1952    48      1904           13.00           1.00           0.00           1.00           2.00           9.00
1952    48      1903            8.00           0.00           3.00           3.00           0.00           2.00
1952    49      1903            9.00           1.00           0.00           2.00           1.00           5.00
1952    49      1902            5.00           0.00           0.00           2.00           0.00           3.00
1952    50      1902            6.13           1.10           0.07           0.70           0.30           3.95
1952    50      1901            5.07           1.13           0.11           0.47           0.22           3.14
1952    51      1901            3.61           1.07           0.15           0.28           0.15           1.96
1952    51      1900            3.09           1.02           0.18           0.23           0.13           1.53
1952    52      1900            1.70           0.66           0.15           0.13           0.08           0.68
1952    52      1899            1.14           0.46           0.13           0.09           0.05           0.41
1952    53      1899            0.60           0.26           0.09           0.05           0.03           0.17
1952    53      1898            0.41           0.18           0.07           0.04           0.02           0.10
1952    54      1898            0.19           0.08           0.04           0.02           0.01           0.04
1952    54      1897            0.06           0.03           0.01           0.01           0.00           0.01
1952    55+        .            0.00           0.00           0.00           0.00           0.00           0.00
1953    12-        .            0.10           0.09           0.01           0.00           0.00           0.00
1953    13      1940            1.60           1.53           0.07           0.00           0.00           0.00
1953    13      1939            4.33           4.19           0.15           0.00           0.00           0.00
1953    14      1939           27.32          26.67           0.65           0.00           0.00           0.00
1953    14      1938           50.66          49.53           1.12           0.00           0.00           0.00
1953    15      1938           99.01          95.01           4.00           0.00           0.00           0.00
1953    15      1937          140.02         138.02           2.00           0.00           0.00           0.00
1953    16      1937          357.05         340.05          17.00           0.00           0.00           0.00
1953    16      1936          568.08         536.08          31.00           1.00           0.00           0.00
1953    17      1936         1098.16        1041.16          55.00           2.00           0.00           0.00
1953    17      1935         1518.22        1390.22         123.00           5.00           0.00           0.00
1953    18      1935         2400.35        2131.34         243.00          25.00           1.00           0.00
