Hungary, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 08/03/2022
Year  ARDY   Cohort       Total
1950    12-   1938+        0.01
1950    13    1937         0.60
1950    14    1936        14.19
1950    15    1935       118.22
1950    16    1934       582.10
1950    17    1933      2021.35
1950    18    1932      4742.83
1950    19    1931      7372.28
1950    20    1930     10892.90
1950    21    1929     12451.17
1950    22    1928     14019.44
1950    23    1927     13501.35
1950    24    1926     14332.49
1950    25    1925     14228.47
1950    26    1924     12526.18
1950    27    1923     11907.07
1950    28    1922     11967.08
1950    29    1921     10095.76
1950    30    1920      9084.58
1950    31    1919      7112.24
1950    32    1918      3662.64
1950    33    1917      3281.57
1950    34    1916      3110.54
1950    35    1915      3689.64
1950    36    1914      4916.86
1950    37    1913      4159.72
1950    38    1912      3842.67
1950    39    1911      3083.54
1950    40    1910      2780.49
1950    41    1909      2071.36
1950    42    1908      1588.27
1950    43    1907      1041.18
1950    44    1906       648.11
1950    45    1905       347.06
1950    46    1904       188.03
1950    47    1903        98.02
1950    48    1902        39.00
1950    49    1901        16.00
1950    50    1900        16.00
1950    51    1899         6.00
1950    52    1898         4.00
1950    53    1897         0.00
1950    54    1896         2.00
1950    55+   1895-        4.00
1951    12-   1939+        0.01
1951    13    1938         0.96
1951    14    1937        20.27
1951    15    1936       110.79
1951    16    1935       516.12
1951    17    1934      1827.43
1951    18    1933      4523.07
1951    19    1932      7590.79
1951    20    1931     10461.47
1951    21    1930     13017.07
1951    22    1929     13231.12
1951    23    1928     14020.31
1951    24    1927     13126.10
1951    25    1926     13539.19
1951    26    1925     13202.11
1951    27    1924     11060.61
1951    28    1923     10630.51
1951    29    1922     10391.45
1951    30    1921      8819.09
1951    31    1920      7848.85
1951    32    1919      6136.45
1951    33    1918      3119.73
1951    34    1917      2735.64
1951    35    1916      2667.63
1951    36    1915      3106.73
1951    37    1914      4080.96
1951    38    1913      3360.79
1951    39    1912      3207.75
1951    40    1911      2362.56
1951    41    1910      2048.49
1951    42    1909      1459.34
1951    43    1908      1029.24
1951    44    1907       665.16
1951    45    1906       346.08
1951    46    1905       183.04
1951    47    1904        89.02
1951    48    1903        40.00
1951    49    1902        24.00
1951    50    1901        15.00
1951    51    1900        20.00
1951    52    1899         2.00
1951    53    1898         1.00
1951    54    1897         0.00
1951    55+   1896-        7.00
1952    12-   1940+        0.02
1952    13    1939         1.22
1952    14    1938        25.21
1952    15    1937       119.55
1952    16    1936       475.01
1952    17    1935      1615.03
1952    18    1934      3883.08
1952    19    1933      7068.15
1952    20    1932     10483.23
1952    21    1931     11891.26
1952    22    1930     13558.29
1952    23    1929     13192.29
1952    24    1928     13485.29
1952    25    1927     12482.27
1952    26    1926     12415.26
1952    27    1925     11690.25
1952    28    1924     10017.21
1952    29    1923      9585.20
1952    30    1922      9201.20
1952    31    1921      7873.17
1952    32    1920      6974.15
1952    33    1919      5455.12
1952    34    1918      2854.06
1952    35    1917      2505.06
1952    36    1916      2365.06
1952    37    1915      2656.06
1952    38    1914      3274.07
1952    39    1913      2833.06
1952    40    1912      2337.05
1952    41    1911      1840.04
1952    42    1910      1507.03
1952    43    1909       895.02
1952    44    1908       625.02
1952    45    1907       333.00
1952    46    1906       142.00
1952    47    1905        83.00
1952    48    1904        35.00
1952    49    1903        17.00
1952    50    1902        11.13
1952    51    1901         8.68
1952    52    1900         4.79
1952    53    1899         1.74
1952    54    1898         0.60
1952    55+   1897-        0.06
1953    12-   1941+        0.02
1953    13    1940         1.68
1953    14    1939        31.65
1953    15    1938       149.67
1953    16    1937       497.07
1953    17    1936      1666.24
1953    18    1935      3918.57
1953    19    1934      7089.02
1953    20    1933     10565.53
1953    21    1932     13210.92
1953    22    1931     13783.00
1953    23    1930     15150.19
1953    24    1929     14341.08
1953    25    1928     14061.04
1953    26    1927     12893.87
1953    27    1926     12933.87
1953    28    1925     12129.76
1953    29    1924     10212.49
1953    30    1923     10204.48
1953    31    1922      9542.39
1953    32    1921      8559.24
1953    33    1920      7356.07
1953    34    1919      5772.83
1953    35    1918      2935.43
1953    36    1917      2587.37
1953    37    1916      2378.34
1953    38    1915      2711.39
1953    39    1914      3340.48
1953    40    1913      2627.39
1953    41    1912      2258.32
1953    42    1911      1529.22
1953    43    1910      1122.16
1953    44    1909       657.10
1953    45    1908       373.05
1953    46    1907       185.03
1953    47    1906        66.01
1953    48    1905        35.00
1953    49    1904        18.00
1953    50    1903        11.62
1953    51    1902        10.86
1953    52    1901         5.41
1953    53    1900         2.35
1953    54    1899         0.68
1953    55+   1898-        0.08
1954    12-   1942+        0.02
1954    13    1941         1.14
1954    14    1940        26.53
1954    15    1939       149.36
1954    16    1938       638.18
1954    17    1937      1837.51
1954    18    1936      4067.15
1954    19    1935      7393.08
1954    20    1934     10929.08
1954    21    1933     13877.92
1954    22    1932     15486.37
1954    23    1931     15571.39
1954    24    1930     16016.52
1954    25    1929     14773.17
1954    26    1928     14328.04
1954    27    1927     12985.67
1954    28    1926     12971.66
1954    29    1925     12345.48
1954    30    1924     10494.96
1954    31    1923     10138.86
1954    32    1922      9402.66
1954    33    1921      8222.32
1954    34    1920      7077.00
1954    35    1919      5770.63
1954    36    1918      2726.77
1954    37    1917      2452.70
1954    38    1916      2168.61
1954    39    1915      2376.67
1954    40    1914      2893.81
1954    41    1913      2146.61
1954    42    1912      1633.46
1954    43    1911      1048.30
1954    44    1910       703.20
1954    45    1909       365.10
1954    46    1908       191.05
1954    47    1907        62.02
1954    48    1906        31.01
1954    49    1905        11.00
1954    50    1904         9.62
1954    51    1903        11.85
1954    52    1902         6.92
1954    53    1901         2.64
1954    54    1900         0.90
1954    55+   1899-        0.09
1955    12-   1943+        0.02
1955    13    1942         1.22
1955    14    1941        24.40
1955    15    1940       155.36
1955    16    1939       620.00
1955    17    1938      1903.02
1955    18    1937      4494.05
1955    19    1936      7594.07
1955    20    1935     10846.11
1955    21    1934     13693.13
1955    22    1933     14781.14
1955    23    1932     15431.14
1955    24    1931     14372.14
1955    25    1930     14527.13
1955    26    1929     12805.12
1955    27    1928     12512.12
1955    28    1927     11128.11
1955    29    1926     10755.10
1955    30    1925     10193.09
1955    31    1924      8490.08
1955    32    1923      8160.08
1955    33    1922      7840.08
1955    34    1921      6794.07
1955    35    1920      5754.06
1955    36    1919      4512.05
1955    37    1918      2122.02
1955    38    1917      1798.02
1955    39    1916      1604.02
1955    40    1915      1739.02
1955    41    1914      2053.02
1955    42    1913      1364.02
1955    43    1912      1036.01
1955    44    1911       645.00
1955    45    1910       370.00
1955    46    1909       187.00
1955    47    1908        69.00
1955    48    1907        27.00
1955    49    1906        10.00
1955    50    1905         8.83
1955    51    1904         5.44
1955    52    1903         2.86
1955    53    1902         1.33
1955    54    1901         0.47
1955    55+   1900-        0.06
1956    12-   1944+        0.02
1956    13    1943         1.37
1956    14    1942        32.35
1956    15    1941       170.38
1956    16    1940       665.37
1956    17    1939      1968.11
1956    18    1938      4361.46
1956    19    1937      7766.40
1956    20    1936     10759.08
1956    21    1935     12943.31
1956    22    1934     14091.97
1956    23    1933     14512.21
1956    24    1932     13919.87
1956    25    1931     12748.20
1956    26    1930     12501.06
1956    27    1929     10926.17
1956    28    1928     10196.76
1956    29    1927      8803.98
1956    30    1926      8557.84
1956    31    1925      7916.48
1956    32    1924      6709.79
1956    33    1923      6469.65
1956    34    1922      5958.37
1956    35    1921      5099.88
1956    36    1920      4249.40
1956    37    1919      3370.91
1956    38    1918      1586.89
1956    39    1917      1260.71
1956    40    1916      1059.60
1956    41    1915      1124.64
1956    42    1914      1180.66
1956    43    1913       820.47
1956    44    1912       540.30
1956    45    1911       264.15
1956    46    1910       141.08
1956    47    1909        67.04
1956    48    1908        28.02
1956    49    1907        11.00
1956    50    1906        11.65
1956    51    1905         7.05
1956    52    1904         3.92
1956    53    1903         1.71
1956    54    1902         0.61
1956    55+   1901-        0.06
1957    12-   1945+        0.02
1957    13    1944         1.73
1957    14    1943        32.79
1957    15    1942       189.53
1957    16    1941       609.18
1957    17    1940      2198.65
1957    18    1939      4585.34
1957    19    1938      7798.28
1957    20    1937     10737.14
1957    21    1936     12301.60
1957    22    1935     13025.82
1957    23    1934     13057.83
1957    24    1933     12084.54
1957    25    1932     11053.24
1957    26    1931      9925.90
1957    27    1930      9389.76
1957    28    1929      8185.40
1957    29    1928      7471.18
1957    30    1927      6572.92
1957    31    1926      6143.80
1957    32    1925      5614.65
1957    33    1924      4585.34
1957    34    1923      4576.34
1957    35    1922      4040.18
