Hungary, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 08/03/2022
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1952    12-   1940+        0.02        0.02        0.00        0.00        0.00        0.00
1952    13    1939         1.22        1.22        0.00        0.00        0.00        0.00
1952    14    1938        25.21       25.21        0.00        0.00        0.00        0.00
1952    15    1937       119.55      117.55        2.00        0.00        0.00        0.00
1952    16    1936       475.01      456.01       19.00        0.00        0.00        0.00
1952    17    1935      1615.03     1499.04      107.00        9.00        0.00        0.00
1952    18    1934      3883.08     3450.10      395.99       28.00        9.00        0.00
1952    19    1933      7068.15     5825.20     1110.97      118.00       14.00        0.00
1952    20    1932     10483.23     7771.30     2246.94      410.99       49.00        5.00
1952    21    1931     11891.26     7960.35     3094.93      715.98      102.00       18.00
1952    22    1930     13558.29     8102.40     4060.94     1105.98      239.00       50.00
1952    23    1929     13192.29     6799.37     4412.95     1458.98      402.99      118.00
1952    24    1928     13485.29     5935.36     4830.97     1906.98      600.98      211.00
1952    25    1927     12482.27     4921.31     4495.99     1984.98      777.98      302.00
1952    26    1926     12415.26     4189.29     4546.01     2199.99      979.00      501.00
1952    27    1925     11690.25     3554.25     4150.02     2232.00     1092.00      661.98
1952    28    1924     10017.21     2660.20     3442.03     2001.00     1120.00      793.98
1952    29    1923      9585.20     2309.18     3146.04     1976.01     1132.00     1021.98
1952    30    1922      9201.20     1884.15     2941.04     1956.02     1109.00     1310.99
1952    31    1921      7873.17     1461.12     2188.04     1687.02     1080.00     1457.00
1952    32    1920      6974.15     1133.10     1796.04     1488.02      978.00     1579.00
1952    33    1919      5455.12      776.07     1262.03     1108.02      831.00     1478.00
1952    34    1918      2854.06      390.04      635.02      536.00      414.00      879.00
1952    35    1917      2505.06      311.02      485.02      474.00      393.00      842.00
1952    36    1916      2365.06      293.02      413.01      413.00      337.00      909.00
1952    37    1915      2656.06      278.02      454.02      446.00      344.00     1134.00
1952    38    1914      3274.07      310.02      478.02      510.02      433.00     1543.01
1952    39    1913      2833.06      273.02      387.02      391.00      375.00     1407.01
1952    40    1912      2337.05      220.02      269.00      307.00      265.00     1276.01
1952    41    1911      1840.04      133.02      175.00      216.00      227.00     1089.02
1952    42    1910      1507.03       97.01      143.00      164.00      177.00      926.01
1952    43    1909       895.02       52.00       79.00       78.00       83.00      603.00
1952    44    1908       625.02       47.00       49.00       59.00       58.00      412.00
1952    45    1907       333.00       19.00       21.00       25.00       35.00      233.00
1952    46    1906       142.00       11.00       10.00        9.00       14.00       98.00
1952    47    1905        83.00        4.00        1.00        9.00       10.00       59.00
1952    48    1904        35.00        2.00        2.00        2.00        3.00       26.00
1952    49    1903        17.00        1.00        3.00        5.00        1.00        7.00
1952    50    1902        11.13        1.10        0.07        2.70        0.30        6.95
1952    51    1901         8.68        2.20        0.26        0.75        0.37        5.10
1952    52    1900         4.79        1.68        0.33        0.36        0.21        2.21
1952    53    1899         1.74        0.72        0.22        0.14        0.08        0.58
1952    54    1898         0.60        0.26        0.11        0.06        0.03        0.14
1952    55+   1897-        0.06        0.03        0.01        0.01        0.00        0.01
1953    12-   1941+        0.02        0.02        0.00        0.00        0.00        0.00
1953    13    1940         1.68        1.60        0.08        0.00        0.00        0.00
1953    14    1939        31.65       30.86        0.80        0.00        0.00        0.00
1953    15    1938       149.67      144.54        5.12        0.00        0.00        0.00
1953    16    1937       497.07      478.07       19.00        0.00        0.00        0.00
1953    17    1936      1666.24     1577.24       86.00        3.00        0.00        0.00
1953    18    1935      3918.57     3521.56      366.00       30.00        1.00        0.00
1953    19    1934      7089.02     5940.99     1045.03       93.00       10.00        0.00
1953    20    1933     10565.53     8035.43     2153.08      320.02       54.01        3.00
1953    21    1932     13210.92     8893.67     3450.17      716.05      128.02       23.02
1953    22    1931     13783.00     8173.61     4161.24     1148.08      265.05       35.03
1953    23    1930     15150.19     7691.57     5167.33     1759.14      423.08      109.06
1953    24    1929     14341.08     6147.28     5232.35     2091.18      636.13      234.14
1953    25    1928     14061.04     5183.08     5166.35     2447.20      895.18      369.23
1953    26    1927     12893.87     4281.87     4679.29     2430.19     1007.20      495.31
1953    27    1926     12933.87     3596.71     4707.27     2617.19     1247.23      765.48
1953    28    1925     12129.76     2869.54     4252.22     2708.18     1329.24      970.60
1953    29    1924     10212.49     2240.41     3410.14     2313.13     1291.22      957.58
1953    30    1923     10204.48     2012.34     3252.09     2376.11     1292.20     1271.75
1953    31    1922      9542.39     1621.24     2812.03     2258.05     1292.18     1558.88
1953    32    1921      8559.24     1314.18     2347.98     1958.01     1241.14     1697.93
1953    33    1920      7356.07     1118.12     1738.95     1707.97     1038.10     1752.93
1953    34    1919      5772.83      684.06     1256.93     1253.95      909.06     1668.84
1953    35    1918      2935.43      349.02      615.96      601.96      428.03      940.46
1953    36    1917      2587.37      320.02      490.96      520.96      363.02      892.42
1953    37    1916      2378.34      237.00      436.96      451.96      340.01      912.42
1953    38    1915      2711.39      269.00      408.94      435.95      393.00     1204.51
1953    39    1914      3340.48      307.00      469.93      536.93      464.99     1561.65
1953    40    1913      2627.39      228.00      345.94      391.94      340.98     1320.52
1953    41    1912      2258.32      189.00      269.95      327.94      287.98     1183.45
1953    42    1911      1529.22      130.00      173.96      204.96      172.99      847.31
1953    43    1910      1122.16       84.00      110.98      120.98      138.98      667.23
1953    44    1909       657.10       34.00       42.98       73.98       68.00      438.14
1953    45    1908       373.05       20.00       36.99       38.00       48.00      230.08
1953    46    1907       185.03        8.00        8.00       14.00       18.00      137.03
1953    47    1906        66.01        4.00        6.00        4.00        9.00       43.02
1953    48    1905        35.00        2.00        2.00        2.00        2.00       27.01
1953    49    1904        18.00        2.00        0.00        1.00        0.00       15.00
1953    50    1903        11.62        4.93        0.42        2.24        0.00        4.04
1953    51    1902        10.86        2.83        1.45        2.10        0.00        4.47
1953    52    1901         5.41        1.36        1.23        1.06        0.00        1.77
1953    53    1900         2.35        0.65        0.67        0.45        0.00        0.58
1953    54    1899         0.68        0.21        0.21        0.13        0.00        0.13
1953    55+   1898-        0.08        0.03        0.03        0.01        0.00        0.01
1954    12-   1942+        0.02        0.02        0.00        0.00        0.00        0.00
1954    13    1941         1.14        1.11        0.03        0.00        0.00        0.00
1954    14    1940        26.53       26.15        0.38        0.00        0.00        0.00
1954    15    1939       149.36      146.77        2.59        0.00        0.00        0.00
1954    16    1938       638.18      608.18       30.01        0.00        0.00        0.00
