Hungary, Crude birth rate
Last modified: 08/03/2022
Year      CBR
1950    20.94
1951    20.23
1952    19.55
1953    21.57
1954    23.02
1955    21.41
1956    19.56
1957    17.00
1958    16.03
1959    15.21
1960    14.67
1961    14.00
1962    12.93
1963    13.12
1964    13.06
1965    13.11
1966    13.62
1967    14.59
1968    15.07
1969    15.01
1970    14.71
1971    14.56
1972    14.77
1973    15.01
1974    17.82
1975    18.46
1976    17.52
1977    16.71
1978    15.77
1979    15.00
1980    13.90
1981    13.38
1982    12.53
1983    11.98
1984    11.85
1985    12.35
1986    12.20
1987    12.02
1988    11.91
1989    11.86
1990    12.11
1991    12.26
1992    11.74
1993    11.30
1994    11.18
1995    10.85
1996    10.21
1997     9.76
1998     9.48
1999     9.25
2000     9.57
2001     9.54
2002     9.54
2003     9.36
2004     9.43
2005     9.68
2006     9.93
2007     9.72
2008     9.89
2009     9.64
2010     9.05
2011     8.85
2012     9.10
2013     8.97
2014     9.28
2015     9.32
2016     9.48
2017     9.36
2018     9.19
2019     9.13
2020     9.47
