Hungary, Crude birth rate by birth order
Last modified: 08/03/2022
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1952    19.55     7.71     5.46     2.74     1.44     2.21
1953    21.57     8.10     6.12     3.33     1.68     2.33
1954    23.02     8.13     6.85     3.64     1.88     2.51
1955    21.41     8.00     6.31     3.21     1.66     2.23
1956    19.56     7.60     5.73     2.84     1.47     1.92
1957    17.00     7.25     4.95     2.16     1.06     1.58
1958    16.03     6.97     4.80     1.96     0.93     1.38
1959    15.21     6.68     4.54     1.83     0.87     1.30
1960    14.67     6.45     4.30     1.87     0.83     1.22
1961    14.00     6.30     4.07     1.72     0.78     1.13
1962    12.93     5.87     3.75     1.55     0.72     1.04
1963    13.12     5.91     3.96     1.52     0.70     1.03
1964    13.06     6.21     3.88     1.41     0.64     0.92
1965    13.11     6.40     3.92     1.33     0.59     0.88
1966    13.62     6.71     4.22     1.26     0.57     0.86
1967    14.59     7.10     4.74     1.34     0.57     0.84
1968    15.07     7.29     5.07     1.36     0.55     0.80
1969    15.01     7.38     5.02     1.33     0.52     0.76
1970    14.71     7.26     4.96     1.30     0.49     0.70
1971    14.56     7.20     4.91     1.29     0.48     0.68
1972    14.77     7.27     5.09     1.29     0.47     0.66
1973    15.01     7.34     5.15     1.42     0.47     0.62
1974    17.82     7.94     6.82     1.87     0.54     0.64
1975    18.46     8.05     7.30     1.98     0.54     0.58
1976    17.52     7.93     6.78     1.81     0.50     0.51
1977    16.71     7.52     6.50     1.75     0.47     0.48
1978    15.77     7.17     6.17     1.59     0.43     0.41
1979    15.00     6.86     5.83     1.50     0.41     0.40
1980    13.90     6.32     5.40     1.42     0.39     0.37
1981    13.38     5.99     5.15     1.49     0.40     0.35
1982    12.53     5.66     4.81     1.38     0.38     0.32
1983    11.98     5.43     4.57     1.31     0.37     0.30
1984    11.85     5.47     4.44     1.26     0.36     0.31
1985    12.35     5.54     4.64     1.43     0.41     0.33
1986    12.20     5.34     4.65     1.46     0.43     0.33
1987    12.02     5.28     4.50     1.46     0.44     0.33
1988    11.91     5.29     4.34     1.49     0.44     0.35
1989    11.86     5.19     4.32     1.56     0.45     0.34
1990    12.11     5.36     4.32     1.63     0.46     0.34
1991    12.26     5.47     4.34     1.59     0.48     0.37
1992    11.74     5.20     4.13     1.55     0.49     0.37
1993    11.30     4.93     3.92     1.57     0.50     0.38
1994    11.18     4.82     3.75     1.68     0.52     0.40
1995    10.85     4.69     3.72     1.57     0.49     0.39
1996    10.21     4.55     3.42     1.37     0.47     0.40
1997     9.76     4.33     3.19     1.35     0.47     0.41
1998     9.48     4.24     3.13     1.29     0.44     0.38
1999     9.25     4.18     3.00     1.27     0.43     0.37
2000     9.57     4.31     3.10     1.33     0.45     0.39
2001     9.54     4.23     3.05     1.39     0.46     0.40
2002     9.54     4.31     3.06     1.32     0.46     0.39
2003     9.36     4.25     3.02     1.29     0.44     0.37
2004     9.43     4.40     2.99     1.24     0.42     0.36
2005     9.68     4.51     3.11     1.27     0.43     0.37
2006     9.93     4.55     3.28     1.29     0.44     0.36
2007     9.72     4.51     3.20     1.24     0.41     0.36
2008     9.89     4.60     3.23     1.25     0.44     0.37
2009     9.64     4.50     3.20     1.19     0.41     0.35
2010     9.05     4.28     2.95     1.09     0.38     0.34
2011     8.85     4.10     2.89     1.14     0.38     0.33
2012     9.10     4.20     2.97     1.20     0.39     0.34
2013     8.97     4.16     2.88     1.19     0.39     0.34
2014     9.28     4.29     2.98     1.26     0.40     0.35
2015     9.32     4.34     3.00     1.25     0.39     0.33
2016     9.48     4.45     3.08     1.27     0.37     0.32
2017     9.36     4.36     3.03     1.30     0.37     0.30
2018     9.19     4.27     3.02     1.25     0.35     0.29
2019     9.13     4.28     3.01     1.20     0.36     0.28
2020     9.47     4.42     3.07     1.29     0.40     0.29
