Hungary, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 08/03/2022
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1937    12         .         .         .         .         .         .
1937    13         .         .         .         .         .         .
1937    14         .         .         .         .         .         .
1937    15     0.000     0.000     0.000     0.000     0.000     0.000
1937    16     0.003     0.003     0.000     0.000     0.000     0.000
1937    17     0.016     0.016     0.001     0.000     0.000     0.000
1937    18     0.058     0.053     0.004     0.000     0.000     0.000
1937    19     0.143     0.127     0.014     0.001     0.000     0.000
1937    20     0.274     0.232     0.038     0.004     0.000     0.000
1937    21     0.444     0.359     0.074     0.010     0.001     0.000
1937    22     0.621     0.476     0.122     0.020     0.003     0.001
1937    23     0.792     0.573     0.177     0.034     0.007     0.001
1937    24     0.949     0.651     0.231     0.053     0.012     0.003
1937    25     1.089     0.711     0.283     0.071     0.019     0.006
1937    26     1.214     0.757     0.332     0.088     0.026     0.011
1937    27     1.328     0.792     0.381     0.105     0.033     0.016
1937    28     1.429     0.821     0.424     0.121     0.040     0.023
1937    29     1.519     0.842     0.465     0.136     0.046     0.030
1937    30     1.603     0.859     0.505     0.149     0.051     0.039
1937    31     1.679     0.872     0.540     0.162     0.058     0.047
1937    32     1.743     0.882     0.568     0.174     0.063     0.055
1937    33     1.795     0.890     0.590     0.185     0.067     0.063
1937    34     1.836     0.895     0.606     0.193     0.071     0.070
1937    35     1.868     0.899     0.617     0.200     0.074     0.077
1937    36     1.894     0.903     0.626     0.205     0.077     0.083
1937    37     1.916     0.906     0.632     0.210     0.079     0.089
1937    38     1.936     0.908     0.636     0.215     0.082     0.094
1937    39     1.951     0.910     0.640     0.218     0.084     0.099
1937    40     1.960     0.911     0.642     0.220     0.085     0.102
1937    41     1.967     0.912     0.644     0.222     0.086     0.104
1937    42     1.971     0.912     0.644     0.222     0.086     0.105
1937    43     1.974     0.913     0.645     0.223     0.087     0.106
1937    44     1.975     0.913     0.645     0.223     0.087     0.107
1937    45     1.976     0.913     0.645     0.223     0.087     0.107
1937    46     1.977     0.913     0.645     0.223     0.087     0.108
1937    47     1.977     0.913     0.645     0.223     0.087     0.108
1937    48     1.977     0.913     0.645     0.223     0.087     0.108
1937    49     1.977     0.913     0.645     0.223     0.087     0.108
1937    50     1.977     0.913     0.645     0.223     0.087     0.108
1937    51     1.977     0.913     0.645     0.223     0.087     0.108
1937    52     1.977     0.913     0.645     0.223     0.087     0.108
1937    53     1.977     0.913     0.645     0.223     0.087     0.108
1937    54     1.977     0.913     0.645     0.223     0.087     0.108
1937    55     1.977     0.913     0.645     0.223     0.087     0.108
1938    12         .         .         .         .         .         .
1938    13         .         .         .         .         .         .
1938    14     0.000     0.000     0.000     0.000     0.000     0.000
1938    15     0.001     0.001     0.000     0.000     0.000     0.000
1938    16     0.005     0.005     0.000     0.000     0.000     0.000
1938    17     0.020     0.019     0.001     0.000     0.000     0.000
1938    18     0.060     0.055     0.004     0.000     0.000     0.000
1938    19     0.141     0.125     0.014     0.001     0.000     0.000
1938    20     0.276     0.236     0.036     0.004     0.000     0.000
1938    21     0.439     0.358     0.070     0.010     0.001     0.000
1938    22     0.609     0.470     0.115     0.020     0.004     0.001
1938    23     0.772     0.565     0.165     0.033     0.007     0.002
1938    24     0.920     0.641     0.215     0.048     0.012     0.004
1938    25     1.056     0.700     0.265     0.065     0.018     0.007
1938    26     1.182     0.749     0.316     0.081     0.025     0.011
1938    27     1.295     0.786     0.364     0.096     0.031     0.017
1938    28     1.398     0.816     0.412     0.110     0.037     0.023
1938    29     1.490     0.836     0.457     0.124     0.043     0.030
1938    30     1.580     0.855     0.502     0.138     0.049     0.037
1938    31     1.656     0.868     0.538     0.151     0.054     0.044
1938    32     1.719     0.878     0.566     0.163     0.059     0.052
1938    33     1.769     0.886     0.587     0.173     0.063     0.059
1938    34     1.808     0.891     0.602     0.180     0.067     0.067
1938    35     1.839     0.895     0.613     0.187     0.071     0.073
1938    36     1.867     0.899     0.622     0.193     0.073     0.079
1938    37     1.892     0.902     0.629     0.199     0.076     0.085
1938    38     1.910     0.904     0.634     0.203     0.079     0.090
1938    39     1.923     0.906     0.637     0.206     0.080     0.094
1938    40     1.933     0.907     0.639     0.208     0.082     0.097
1938    41     1.939     0.908     0.641     0.209     0.083     0.099
1938    42     1.943     0.908     0.641     0.210     0.083     0.100
1938    43     1.946     0.909     0.642     0.210     0.084     0.101
1938    44     1.947     0.909     0.642     0.211     0.084     0.102
1938    45     1.948     0.909     0.642     0.211     0.084     0.102
1938    46     1.948     0.909     0.642     0.211     0.084     0.102
1938    47     1.948     0.909     0.642     0.211     0.084     0.102
1938    48     1.948     0.909     0.642     0.211     0.084     0.102
1938    49     1.948     0.909     0.642     0.211     0.084     0.102
