Hungary, Cohort fertility tables, birth orders 1 to 5+
Last modified: 08/03/2022
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1937    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1937    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1937    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1937    15    30   10000   0.00301   0.00301      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1937    16   125    9970   0.01266   0.01258     30     5     30   0.06033   0.18066      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1937    17   374    9844   0.03876   0.03802    156    37    150   0.11685   0.24807      5      2      5   0.10367   0.43617      0      0      0         .         .      0      0      0         .         .       0        .
1937    18   741    9470   0.08146   0.07827    530   100    487   0.12430   0.20606     43      9     40   0.09877   0.21137      2      1      2   0.11111   0.29438      0      0      0         .         .       0        .
1937    19  1044    8729   0.12726   0.11964   1271   236   1128   0.15434   0.20961    143     30    132   0.12656   0.22551     11      2     10   0.10207   0.23913      1      0      1   0.22428   0.61588       0     4.00
1937    20  1274    7685   0.18079   0.16580   2315   362   1936   0.15149   0.18716    379     58    339   0.11747   0.17028     41      8     38   0.12461   0.20739      3      1      3   0.18469   0.41416       0     4.14
1937    21  1166    6410   0.20017   0.18196   3590   478   2848   0.14978   0.16789    742     98    643   0.11789   0.15269     98     18     87   0.14135   0.20617     11      4     11   0.21713   0.39634       2     4.16
1937    22   977    5244   0.20540   0.18627   4756   546   3536   0.14544   0.15430   1220    145   1023   0.11870   0.14192    197     37    168   0.16729   0.22124     29      8     29   0.16715   0.27422       6     4.21
1937    23   773    4267   0.19933   0.18126   5733   546   3967   0.13388   0.13771   1766    184   1424   0.11449   0.12907    342     52    276   0.15370   0.19028     66     17     66   0.18173   0.25392      14     4.21
1937    24   599    3494   0.18753   0.17145   6506   516   4194   0.12185   0.12305   2312    187   1786   0.09601   0.10484    526     68    407   0.14676   0.16818    119     30    119   0.19333   0.24916      31     4.26
1937    25   467    2895   0.17547   0.16132   7105   488   4277   0.11426   0.11398   2828    166   2115   0.07315   0.07871    713     75    526   0.13211   0.14354    187     46    187   0.20502   0.24640      60     4.32
1937    26   349    2428   0.15501   0.14386   7572   493   4257   0.11769   0.11571   3316    172   2436   0.06619   0.07055    879     69    617   0.10308   0.11168    262     56    262   0.18806   0.21274     106     4.41
1937    27   288    2078   0.14908   0.13874   7922   431   4113   0.10658   0.10473   3808    162   2757   0.05589   0.05862   1051     65    720   0.08488   0.09057    331     70    331   0.19109   0.20989     162     4.49
1937    28   214    1790   0.12688   0.11931   8210   408   3971   0.10539   0.10281   4239    147   3026   0.04642   0.04843   1213     59    816   0.06881   0.07249    397     72    397   0.16990   0.18258     232     4.58
1937    29   167    1577   0.11153   0.10564   8423   403   3776   0.11020   0.10675   4647    128   3288   0.03740   0.03897   1359     59    904   0.06252   0.06493    456     82    456   0.16897   0.17985     304     4.67
1937    30   132    1410   0.09803   0.09345   8590   351   3540   0.10228   0.09912   5050    134   3563   0.03657   0.03768   1488     61    973   0.06049   0.06276    514     83    514   0.15273   0.16179     386     4.75
1937    31   100    1278   0.08114   0.07798   8722   279   3321   0.08627   0.08394   5401    123   3779   0.03193   0.03259   1622     52   1046   0.04844   0.05007    575     81    575   0.13534   0.14150     469     4.82
1937    32    74    1179   0.06478   0.06275   8821   221   3142   0.07202   0.07034   5680    104   3935   0.02606   0.02644   1745     46   1117   0.04017   0.04121    628     78    628   0.12012   0.12453     551     4.88
1937    33    57    1105   0.05343   0.05204   8895   159   2995   0.05396   0.05305   5901     85   4052   0.02089   0.02108   1849     35   1175   0.02913   0.02975    674     71    674   0.10261   0.10527     629     4.93
1937    34    42    1047   0.04095   0.04013   8953   114   2893   0.04008   0.03958   6060     64   4125   0.01542   0.01551   1934     30   1226   0.02428   0.02461    709     70    709   0.09688   0.09894     700     4.99
1937    35    35    1005   0.03547   0.03485   8995    83   2821   0.02977   0.02951   6174     55   4176   0.01315   0.01320   1998     29   1259   0.02269   0.02293    739     62    739   0.08228   0.08389     770     5.04
1937    36    30     970   0.03103   0.03056   9030    58   2772   0.02107   0.02096   6257     50   4204   0.01189   0.01190   2054     24   1286   0.01865   0.01883    768     60    768   0.07694   0.07815     832     5.08
