Hungary, Cumulative period fertility rates (Lexis squares)
Last modified: 08/03/2022
Year    Age     CPFR
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.001
1950    16     0.004
1950    17     0.019
1950    18     0.061
1950    19     0.139
1950    20     0.252
1950    21     0.406
1950    22     0.577
1950    23     0.755
1950    24     0.933
1950    25     1.106
1950    26     1.273
1950    27     1.430
1950    28     1.572
1950    29     1.701
1950    30     1.816
1950    31     1.920
1950    32     2.015
1950    33     2.100
1950    34     2.178
1950    35     2.244
1950    36     2.312
1950    37     2.368
1950    38     2.418
1950    39     2.462
1950    40     2.500
1950    41     2.532
1950    42     2.556
1950    43     2.573
1950    44     2.585
1950    45     2.592
1950    46     2.596
1950    47     2.598
1950    48     2.599
1950    49     2.599
1950    50     2.599
1950    51     2.600
1950    52     2.600
1950    53     2.600
1950    54     2.600
1950    55     2.600
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.001
1951    16     0.004
1951    17     0.017
1951    18     0.056
1951    19     0.137
1951    20     0.255
1951    21     0.408
1951    22     0.578
1951    23     0.752
1951    24     0.928
1951    25     1.098
1951    26     1.260
1951    27     1.413
1951    28     1.551
1951    29     1.676
1951    30     1.789
1951    31     1.889
1951    32     1.979
1951    33     2.060
1951    34     2.131
1951    35     2.199
1951    36     2.256
1951    37     2.312
1951    38     2.359
1951    39     2.400
1951    40     2.435
1951    41     2.464
1951    42     2.487
1951    43     2.503
1951    44     2.514
1951    45     2.521
1951    46     2.525
1951    47     2.527
1951    48     2.528
1951    49     2.528
1951    50     2.528
1951    51     2.529
1951    52     2.529
1951    53     2.529
1951    54     2.529
1951    55     2.529
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.001
1952    16     0.004
1952    17     0.016
1952    18     0.050
1952    19     0.122
1952    20     0.239
1952    21     0.388
1952    22     0.552
1952    23     0.725
1952    24     0.896
1952    25     1.065
1952    26     1.222
1952    27     1.370
1952    28     1.505
1952    29     1.630
1952    30     1.744
1952    31     1.845
1952    32     1.933
1952    33     2.013
1952    34     2.089
1952    35     2.153
1952    36     2.215
1952    37     2.264
1952    38     2.310
1952    39     2.349
1952    40     2.382
1952    41     2.408
1952    42     2.431
1952    43     2.446
1952    44     2.456
1952    45     2.462
1952    46     2.465
1952    47     2.467
1952    48     2.468
1952    49     2.468
1952    50     2.468
1952    51     2.468
1952    52     2.469
1952    53     2.469
1952    54     2.469
1952    55     2.469
1953    12     0.000
1953    13     0.000
1953    14     0.000
1953    15     0.001
1953    16     0.004
1953    17     0.017
1953    18     0.054
1953    19     0.127
1953    20     0.247
1953    21     0.407
1953    22     0.586
1953    23     0.773
1953    24     0.963
1953    25     1.144
1953    26     1.320
1953    27     1.484
1953    28     1.637
1953    29     1.776
1953    30     1.905
1953    31     2.024
1953    32     2.132
1953    33     2.229
1953    34     2.315
1953    35     2.392
1953    36     2.457
1953    37     2.520
1953    38     2.570
1953    39     2.618
1953    40     2.656
1953    41     2.686
1953    42     2.711
1953    43     2.728
1953    44     2.739
1953    45     2.746
1953    46     2.750
1953    47     2.751
1953    48     2.752
1953    49     2.752
1953    50     2.753
1953    51     2.753
1953    52     2.753
1953    53     2.753
1953    54     2.753
1953    55     2.753
1954    12     0.000
1954    13     0.000
1954    14     0.000
1954    15     0.001
1954    16     0.005
1954    17     0.019
1954    18     0.058
1954    19     0.136
1954    20     0.261
1954    21     0.431
1954    22     0.629
1954    23     0.836
1954    24     1.042
1954    25     1.239
1954    26     1.424
1954    27     1.602
1954    28     1.767
1954    29     1.922
1954    30     2.064
1954    31     2.196
1954    32     2.315
1954    33     2.419
1954    34     2.512
1954    35     2.595
1954    36     2.670
1954    37     2.732
1954    38     2.790
1954    39     2.836
1954    40     2.878
1954    41     2.910
1954    42     2.934
1954    43     2.950
1954    44     2.962
1954    45     2.968
1954    46     2.972
1954    47     2.974
1954    48     2.974
1954    49     2.975
1954    50     2.975
1954    51     2.975
1954    52     2.975
1954    53     2.975
1954    54     2.975
1954    55     2.975
1955    12     0.000
1955    13     0.000
1955    14     0.000
1955    15     0.001
1955    16     0.005
1955    17     0.020
1955    18     0.061
1955    19     0.145
1955    20     0.274
1955    21     0.444
1955    22     0.641
1955    23     0.846
1955    24     1.043
1955    25     1.232
1955    26     1.406
1955    27     1.570
1955    28     1.722
1955    29     1.859
1955    30     1.988
1955    31     2.105
1955    32     2.210
1955    33     2.307
1955    34     2.394
1955    35     2.470
1955    36     2.536
1955    37     2.594
1955    38     2.641
1955    39     2.684
1955    40     2.717
1955    41     2.749
1955    42     2.769
1955    43     2.785
1955    44     2.795
1955    45     2.801
1955    46     2.805
1955    47     2.807
1955    48     2.807
1955    49     2.807
1955    50     2.807
1955    51     2.808
1955    52     2.808
1955    53     2.808
1955    54     2.808
1955    55     2.808
1956    12     0.000
1956    13     0.000
1956    14     0.000
1956    15     0.001
1956    16     0.005
1956    17     0.021
1956    18     0.062
1956    19     0.146
1956    20     0.279
1956    21     0.448
1956    22     0.639
1956    23     0.837
1956    24     1.031
1956    25     1.211
1956    26     1.375
1956    27     1.527
1956    28     1.663
1956    29     1.785
1956    30     1.898
1956    31     2.000
1956    32     2.092
1956    33     2.177
1956    34     2.252
1956    35     2.318
1956    36     2.375
1956    37     2.425
1956    38     2.467
1956    39     2.503
1956    40     2.532
1956    41     2.553
1956    42     2.572
1956    43     2.585
1956    44     2.593
1956    45     2.598
1956    46     2.601
1956    47     2.602
1956    48     2.603
1956    49     2.603
1956    50     2.603
1956    51     2.603
1956    52     2.603
1956    53     2.603
1956    54     2.603
1956    55     2.603
1957    12     0.000
1957    13     0.000
1957    14     0.000
1957    15     0.001
1957    16     0.005
1957    17     0.020
1957    18     0.065
1957    19     0.150
1957    20     0.284
1957    21     0.451
1957    22     0.638
1957    23     0.824
1957    24     1.001
1957    25     1.159
1957    26     1.301
1957    27     1.431
1957    28     1.544
1957    29     1.647
1957    30     1.738
1957    31     1.822
1957    32     1.894
1957    33     1.960
1957    34     2.018
1957    35     2.072
1957    36     2.117
1957    37     2.156
1957    38     2.189
1957    39     2.217
1957    40     2.238
1957    41     2.256
1957    42     2.269
1957    43     2.279
1957    44     2.286
1957    45     2.291
1957    46     2.293
1957    47     2.294
1957    48     2.294
1957    49     2.294
