Hungary, Cumulative period fertility rates (vertical parallelograms)
Last modified: 08/03/2022
Year  ARDY  Cohort     CPFR
1950   12    1938     0.000
1950   13    1937     0.000
1950   14    1936     0.000
1950   15    1935     0.000
1950   16    1934     0.002
1950   17    1933     0.010
1950   18    1932     0.037
1950   19    1931     0.098
1950   20    1930     0.196
1950   21    1929     0.330
1950   22    1928     0.492
1950   23    1927     0.668
1950   24    1926     0.844
1950   25    1925     1.020
1950   26    1924     1.191
1950   27    1923     1.353
1950   28    1922     1.498
1950   29    1921     1.638
1950   30    1920     1.759
1950   31    1919     1.869
1950   32    1918     1.968
1950   33    1917     2.059
1950   34    1916     2.140
1950   35    1915     2.215
1950   36    1914     2.282
1950   37    1913     2.343
1950   38    1912     2.396
1950   39    1911     2.443
1950   40    1910     2.484
1950   41    1909     2.519
1950   42    1908     2.546
1950   43    1907     2.567
1950   44    1906     2.582
1950   45    1905     2.591
1950   46    1904     2.596
1950   47    1903     2.599
1950   48    1902     2.601
1950   49    1901     2.601
1950   50    1900     2.602
1950   51    1899     2.602
1950   52    1898     2.602
1950   53    1897     2.602
1950   54    1896     2.602
1950   55    1895     2.602
1951   12    1939     0.000
1951   13    1938     0.000
1951   14    1937     0.000
1951   15    1936     0.000
1951   16    1935     0.002
1951   17    1934     0.009
1951   18    1933     0.034
1951   19    1932     0.094
1951   20    1931     0.193
1951   21    1930     0.332
1951   22    1929     0.493
1951   23    1928     0.665
1951   24    1927     0.842
1951   25    1926     1.012
1951   26    1925     1.180
1951   27    1924     1.338
1951   28    1923     1.482
1951   29    1922     1.612
1951   30    1921     1.733
1951   31    1920     1.840
1951   32    1919     1.934
1951   33    1918     2.021
1951   34    1917     2.098
1951   35    1916     2.166
1951   36    1915     2.230
1951   37    1914     2.287
1951   38    1913     2.338
1951   39    1912     2.381
1951   40    1911     2.420
1951   41    1910     2.452
1951   42    1909     2.477
1951   43    1908     2.497
1951   44    1907     2.510
1951   45    1906     2.520
1951   46    1905     2.525
1951   47    1904     2.528
1951   48    1903     2.529
1951   49    1902     2.529
1951   50    1901     2.530
1951   51    1900     2.530
1951   52    1899     2.530
1951   53    1898     2.530
1951   54    1897     2.530
1951   55    1896     2.530
1952   12    1940     0.000
1952   13    1939     0.000
1952   14    1938     0.000
1952   15    1937     0.000
1952   16    1936     0.002
1952   17    1935     0.009
1952   18    1934     0.031
1952   19    1933     0.084
1952   20    1932     0.178
1952   21    1931     0.315
1952   22    1930     0.473
1952   23    1929     0.642
1952   24    1928     0.813
1952   25    1927     0.983
1952   26    1926     1.146
1952   27    1925     1.300
1952   28    1924     1.440
1952   29    1923     1.571
1952   30    1922     1.688
1952   31    1921     1.796
1952   32    1920     1.891
1952   33    1919     1.976
1952   34    1918     2.052
1952   35    1917     2.123
1952   36    1916     2.186
1952   37    1915     2.243
