Hungary, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 08/03/2022
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1952   12    1940     0.000     0.000     0.000     0.000     0.000     0.000
1952   13    1939     0.000     0.000     0.000     0.000     0.000     0.000
1952   14    1938     0.000     0.000     0.000     0.000     0.000     0.000
1952   15    1937     0.000     0.000     0.000     0.000     0.000     0.000
1952   16    1936     0.002     0.002     0.000     0.000     0.000     0.000
1952   17    1935     0.009     0.008     0.000     0.000     0.000     0.000
1952   18    1934     0.031     0.029     0.002     0.000     0.000     0.000
1952   19    1933     0.084     0.076     0.007     0.001     0.000     0.000
1952   20    1932     0.178     0.154     0.022     0.002     0.000     0.000
1952   21    1931     0.315     0.255     0.051     0.007     0.001     0.000
1952   22    1930     0.473     0.361     0.092     0.017     0.002     0.000
1952   23    1929     0.642     0.462     0.143     0.031     0.005     0.001
1952   24    1928     0.813     0.550     0.200     0.050     0.011     0.002
1952   25    1927     0.983     0.625     0.261     0.074     0.018     0.005
1952   26    1926     1.146     0.689     0.320     0.100     0.028     0.009
1952   27    1925     1.300     0.741     0.376     0.127     0.040     0.015
1952   28    1924     1.440     0.784     0.426     0.154     0.053     0.023
1952   29    1923     1.571     0.819     0.471     0.180     0.068     0.034
1952   30    1922     1.688     0.847     0.509     0.204     0.082     0.046
1952   31    1921     1.796     0.869     0.544     0.227     0.095     0.061
1952   32    1920     1.891     0.887     0.570     0.247     0.108     0.079
1952   33    1919     1.976     0.900     0.592     0.265     0.120     0.098
1952   34    1918     2.052     0.911     0.610     0.281     0.132     0.119
1952   35    1917     2.123     0.921     0.626     0.294     0.142     0.141
1952   36    1916     2.186     0.929     0.638     0.306     0.152     0.162
1952   37    1915     2.243     0.936     0.648     0.316     0.160     0.184
1952   38    1914     2.292     0.941     0.656     0.324     0.166     0.205
1952   39    1913     2.333     0.945     0.662     0.331     0.171     0.224
1952   40    1912     2.369     0.948     0.667     0.336     0.176     0.242
1952   41    1911     2.398     0.951     0.670     0.339     0.180     0.258
1952   42    1910     2.422     0.953     0.673     0.342     0.183     0.272
1952   43    1909     2.441     0.954     0.674     0.344     0.185     0.284
1952   44    1908     2.453     0.955     0.675     0.345     0.186     0.292
1952   45    1907     2.462     0.955     0.676     0.346     0.187     0.297
1952   46    1906     2.466     0.956     0.676     0.346     0.187     0.301
1952   47    1905     2.468     0.956     0.677     0.347     0.187     0.302
1952   48    1904     2.470     0.956     0.677     0.347     0.188     0.303
1952   49    1903     2.470     0.956     0.677     0.347     0.188     0.303
1952   50    1902     2.470     0.956     0.677     0.347     0.188     0.303
1952   51    1901     2.471     0.956     0.677     0.347     0.188     0.304
1952   52    1900     2.471     0.956     0.677     0.347     0.188     0.304
1952   53    1899     2.471     0.956     0.677     0.347     0.188     0.304
1952   54    1898     2.471     0.956     0.677     0.347     0.188     0.304
1952   55    1897     2.471     0.956     0.677     0.347     0.188     0.304
1953   12    1941     0.000     0.000     0.000     0.000     0.000     0.000
1953   13    1940     0.000     0.000     0.000     0.000     0.000     0.000
1953   14    1939     0.000     0.000     0.000     0.000     0.000     0.000
1953   15    1938     0.000     0.000     0.000     0.000     0.000     0.000
1953   16    1937     0.003     0.002     0.000     0.000     0.000     0.000
