Hungary, Female exposure to risk by calendar year, age and parity
Last modified: 08/03/2022
Year   Age            E0x            E1x            E2x            E3x           E4px
1970    12       75114.20           0.00           0.00           0.00           0.00
1970    13       80778.14          16.41           0.92           0.00           0.00
1970    14       90365.35         117.73          11.76           0.00           0.00
1970    15       98311.10         443.04          40.28           0.74           0.00
1970    16       95373.33        1266.12         111.81           7.77           0.00
1970    17       84889.53        3089.06         321.34          21.21           0.79
1970    18       74846.91        6635.08         776.52          72.77           8.54
1970    19       69835.72       13235.61        1821.57         199.01          34.19
1970    20       60075.59       20716.70        3571.60         427.68         102.85
1970    21       48963.53       26310.12        5720.86         742.29         193.87
1970    22       39867.94       30072.51        8375.13        1103.35         304.16
1970    23       31540.98       30693.34       10771.74        1500.10         483.81
1970    24       23077.24       28192.15       12422.18        1816.41         657.30
1970    25       21247.00       31863.10       17519.61        2597.99        1071.83
1970    26       18615.83       32125.72       21287.30        3352.95        1456.67
1970    27       15263.28       29424.36       22699.80        3869.40        1710.40
1970    28       13352.70       27872.33       24695.12        4586.34        2186.66
1970    29       11546.47       25925.41       25873.27        5333.94        2613.43
1970    30       10315.20       24323.98       26639.43        5915.99        3048.06
1970    31        9366.27       22774.53       27169.94        6454.52        3482.50
1970    32        8626.03       21815.66       27713.55        7173.33        3967.09
1970    33        8067.88       20891.42       27456.11        7678.61        4395.97
1970    34        7691.72       20213.84       27355.27        7983.03        4655.11
1970    35        7692.07       20256.75       28251.24        8718.72        5147.44
1970    36        7647.43       19898.23       28343.86        9457.36        5753.39
1970    37        7441.56       19294.13       28217.43        9870.45        6305.86
1970    38        7567.67       19094.66       28370.87       10338.20        6821.61
1970    39        8268.48       19616.03       28900.28       11051.08        7528.79
1970    40        8576.40       18943.24       27782.40       11166.62        7942.32
1970    41        8940.32       18598.09       27343.60       11536.32        8607.47
1970    42        9155.57       17847.92       26076.29       11450.81        8928.40
1970    43        9940.35       18130.59       26129.14       11859.65        9599.66
1970    44       10646.17       18578.61       26242.12       12349.58       10404.21
1970    45       10471.18       17611.74       24336.33       11949.20       10303.56
1970    46       10668.51       17419.00       23696.11       12107.17       10802.18
1970    47       11352.97       18000.14       24265.52       12581.29       11904.32
1970    48       11921.87       18475.85       24542.24       12940.82       12927.64
1970    49       11226.23       17274.48       22357.15       12065.47       12593.98
1970    50       11812.87       18142.61       23255.62       12559.38       13363.95
1970    51        7303.60       10680.56       13564.74        7397.54        8030.41
1970    52        5941.38        8284.83       10430.53        5746.93        6358.66
1970    53        6009.73        8380.12       10550.51        5813.03        6431.80
1970    54        7102.64        9904.12       12469.21        6870.18        7601.47
1970    55        9944.71       13867.17       17458.65        9619.23       10643.14
1971    12       71392.52           0.00           0.00           0.00           0.00
1971    13       75077.28          13.34           0.00           0.00           0.00
1971    14       80665.86         102.47           3.70           0.00           0.00
1971    15       89989.72         419.43          25.34           0.00           0.00
1971    16       97292.06        1303.37          99.53           3.70           0.00
1971    17       92989.01        3322.52         292.36          25.30           0.52
1971    18       80198.45        7116.87         758.82          73.63           3.91
1971    19       67453.48       12845.27        1702.40         195.76          25.18
1971    20       60022.32       20849.12        3628.60         444.75          83.58
1971    21       50026.70       27480.03        6237.64         814.98         214.69
1971    22       40175.97       31026.81        9008.74        1249.05         352.55
1971    23       32670.80       32688.48       12080.81        1643.27         518.67
1971    24       26051.81       31617.17       14434.51        2026.51         743.60
1971    25       19175.58       27978.16       15649.14        2342.54         902.83
1971    26       17839.15       30711.37       21062.01        3179.33        1374.32
1971    27       15893.47       30426.72       24675.66        3952.68        1789.07
1971    28       13283.48       27641.48       25399.44        4506.45        2025.49
1971    29       11878.72       26107.76       26904.54        5201.61        2495.76
1971    30       10468.35       24375.14       27547.28        5901.25        2932.18
1971    31        9527.72       22992.29       27866.92        6420.09        3362.19
1971    32        8762.39       21674.09       28101.36        6857.15        3773.36
1971    33        8155.18       20971.23       28335.52        7526.54        4231.37
1971    34        7708.75       20279.10       27823.25        7964.90        4645.53
1971    35        7409.02       19774.07       27567.93        8174.00        4877.41
1971    36        7478.74       19931.52       28367.23        8844.99        5346.87
1971    37        7488.14       19664.72       28372.99        9547.06        5937.07
1971    38        7306.52       19145.54       28197.15        9938.13        6439.38
1971    39        7455.94       18982.09       28345.16       10380.16        6919.31
1971    40        8174.27       19526.83       28876.39       11065.61        7605.82
1971    41        8501.60       18883.83       27727.36       11156.87        7991.19
1971    42        8882.67       18546.61       27286.23       11523.06        8632.47
1971    43        9106.10       17799.30       26012.46       11429.26        8936.12
1971    44        9894.31       18077.41       26055.32       11827.90        9589.20
1971    45       10606.59       18527.77       26167.18       12314.33       10384.41
1971    46       10435.93       17560.01       24263.07       11911.03       10278.47
1971    47       10634.88       17367.43       23627.40       12069.34       10772.67
1971    48       11311.92       17936.62       24180.92       12534.89       11864.33
1971    49       11883.09       18417.04       24463.45       12898.25       12887.16
1971    50       11187.01       17214.13       22279.05       12022.83       12550.46
1971    51       11765.17       18069.35       23161.72       12508.67       13309.99
1971    52        7267.31       10630.63       13499.71        7362.08        7991.91
1971    53        5906.80        8237.99       10372.57        5714.44        6322.71
1971    54        5974.71        8330.28       10489.55        5779.65        6394.32
1971    55        7060.14        9844.86       12393.43        6830.23        7555.99
1972    12       68737.31           0.00           0.00           0.00           0.00
1972    13       71367.29          15.36           0.00           0.00           0.00
1972    14       74991.22          81.06           4.45           0.00           0.00
1972    15       80344.55         374.33          17.74           0.00           0.00
1972    16       89011.18        1266.15          89.51           4.29           0.00
1972    17       94713.41        3555.38         309.61          21.20           0.49
1972    18       87960.79        7699.71         747.16          78.09           4.67
1972    19       72425.75       13637.75        1684.20         212.21          21.51
1972    20       57877.21       20321.94        3396.15         437.86          72.69
1972    21       49860.65       27706.24        6362.09         807.07         192.89
1972    22       40979.92       32152.52        9810.14        1293.18         408.72
1972    23       32978.71       33330.18       12997.92        1775.04         619.70
1972    24       27048.42       33290.85       16113.90        2230.13         791.27
1972    25       21760.88       31208.15       18113.42        2655.01        1016.83
1972    26       16261.87       26849.65       18720.12        2914.76        1186.31
1972    27       15349.30       28898.53       24255.02        3844.57        1687.11
1972    28       13885.58       28470.31       27554.28        4612.29        2113.01
1972    29       11848.85       25867.47       27598.32        5094.04        2334.32
1972    30       10806.95       24523.97       28601.61        5757.16        2797.99
1972    31        9649.38       23107.56       28775.76        6397.95        3224.89
1972    32        8906.58       22008.82       28684.94        6862.20        3624.76
1972    33        8301.00       20926.65       28650.10        7184.92        4029.04
1972    34        7801.66       20389.76       28720.05        7763.54        4464.98
1972    35        7445.51       19846.43       28041.37        8161.58        4843.75
1972    36        7204.96       19451.10       27666.02        8312.02        5056.70
1972    37        7315.54       19700.13       28385.82        8952.60        5504.28
1972    38        7348.62       19531.13       28341.38        9619.46        6073.01
1972    39        7192.46       19036.68       28158.70        9969.82        6539.73
1972    40        7371.29       18898.85       28310.71       10389.71        6992.60
1972    41        8102.33       19456.26       28847.54       11059.36        7652.73
1972    42        8442.85       18826.06       27678.11       11141.95        8011.44
1972    43        8834.83       18502.99       27221.32       11496.76        8641.12
1972    44        9066.16       17748.59       25937.13       11399.00        8925.66
1972    45        9856.18       18022.56       25974.32       11790.12        9572.18
1972    46       10570.35       18472.04       26086.72       12273.90       10360.49
1972    47       10400.95       17503.08       24185.07       11873.79       10246.44
1972    48       10594.44       17304.25       23538.87       12027.60       10733.71
1972    49       11268.40       17871.49       24089.57       12489.85       11820.25
1972    50       11841.51       18355.20       24379.94       12854.23       12843.17
1972    51       11144.51       17149.97       22195.38       11977.68       12503.33
1972    52       11709.39       17985.18       23053.07       12449.99       13247.56
1972    53        7225.82       10573.93       13425.66        7321.69        7948.07
1972    54        5866.31        8183.89       10303.20        5676.22        6280.43
1972    55        5937.51        8277.41       10425.74        5743.18        6354.51
1973    12       66158.38           0.00           0.00           0.00           0.00
1973    13       68704.97          23.74           0.00           0.00           0.00
1973    14       71281.41          94.21           2.94           0.00           0.00
1973    15       74636.89         389.48          20.39           2.47           0.00
1973    16       79373.97        1235.29          87.54           4.97           0.00
1973    17       86582.91        3385.51         317.43          23.07           0.48
1973    18       89469.95        8082.95         858.16          76.34           6.44
1973    19       79543.09       14733.94        1856.34         193.66          24.62
1973    20       62594.75       21147.80        3569.80         430.80          76.06
1973    21       48364.21       26533.12        6101.33         811.38         170.20
