Hungary, Female exposure to risk by calendar year, age and parity (based on parity distribution from population register)
Last modified: 08/03/2022
Year   Age            E0x            E1x            E2x            E3x           E4px
1970    12       75114.20           0.00           0.00           0.00           0.00
1970    13       80778.14          16.41           0.92           0.00           0.00
1970    14       90365.35         117.73          11.76           0.00           0.00
1970    15       98311.10         443.04          40.28           0.74           0.00
1970    16       95373.33        1266.12         111.81           7.77           0.00
1970    17       84889.53        3089.06         321.34          21.21           0.79
1970    18       74846.91        6635.08         776.52          72.77           8.54
1970    19       69835.72       13235.61        1821.57         199.01          34.19
1970    20       60075.59       20716.70        3571.60         427.68         102.85
1970    21       48963.53       26310.12        5720.86         742.29         193.87
1970    22       39867.94       30072.51        8375.13        1103.35         304.16
1970    23       31540.98       30693.34       10771.74        1500.10         483.81
1970    24       23077.24       28192.15       12422.18        1816.41         657.30
1970    25       21247.00       31863.10       17519.61        2597.99        1071.83
1970    26       18615.83       32125.72       21287.30        3352.95        1456.67
1970    27       15263.28       29424.36       22699.80        3869.40        1710.40
1970    28       13352.70       27872.33       24695.12        4586.34        2186.66
1970    29       11546.47       25925.41       25873.27        5333.94        2613.43
1970    30       10315.20       24323.98       26639.43        5915.99        3048.06
1970    31        9366.27       22774.53       27169.94        6454.52        3482.50
1970    32        8626.03       21815.66       27713.55        7173.33        3967.09
1970    33        8067.88       20891.42       27456.11        7678.61        4395.97
1970    34        7691.72       20213.84       27355.27        7983.03        4655.11
1970    35        7692.07       20256.75       28251.24        8718.72        5147.44
1970    36        7647.43       19898.23       28343.86        9457.36        5753.39
1970    37        7441.56       19294.13       28217.43        9870.45        6305.86
1970    38        7567.67       19094.66       28370.87       10338.20        6821.61
1970    39        8268.48       19616.03       28900.28       11051.08        7528.79
1970    40        8576.40       18943.24       27782.40       11166.62        7942.32
1970    41        8940.32       18598.09       27343.60       11536.32        8607.47
1970    42        9155.57       17847.92       26076.29       11450.81        8928.40
1970    43        9940.35       18130.59       26129.14       11859.65        9599.66
1970    44       10646.17       18578.61       26242.12       12349.58       10404.21
1970    45       10471.18       17611.74       24336.33       11949.20       10303.56
1970    46       10668.51       17419.00       23696.11       12107.17       10802.18
1970    47       11352.97       18000.14       24265.52       12581.29       11904.32
1970    48       11921.87       18475.85       24542.24       12940.82       12927.64
1970    49       11226.23       17274.48       22357.15       12065.47       12593.98
1970    50       11812.87       18142.61       23255.62       12559.38       13363.95
1970    51        7303.60       10680.56       13564.74        7397.54        8030.41
1970    52        5941.38        8284.83       10430.53        5746.93        6358.66
1970    53        6009.73        8380.12       10550.51        5813.03        6431.80
1970    54        7102.64        9904.12       12469.21        6870.18        7601.47
1970    55        9944.71       13867.17       17458.65        9619.23       10643.14
1971    12       71392.52           0.00           0.00           0.00           0.00
1971    13       75070.13          18.77           1.73           0.00           0.00
1971    14       80649.88         116.36           5.79           0.00           0.00
1971    15       89937.54         461.83          34.41           0.71           0.00
1971    16       97140.54        1432.25         119.42           6.44           0.00
1971    17       92804.60        3479.05         315.48          29.29           1.30
1971    18       80103.03        7162.58         796.30          83.84           5.93
1971    19       67556.14       12679.86        1757.83         199.73          28.53
1971    20       60317.35       20546.52        3636.39         440.14          87.98
1971    21       50205.60       27307.51        6239.92         807.26         213.75
1971    22       40213.03       31028.37        8988.74        1219.87         363.11
1971    23       32671.19       32761.31       12013.01        1635.01         521.53
1971    24       26002.92       31721.02       14363.29        2052.35         734.02
1971    25       19148.42       28053.46       15574.62        2362.79         908.96
1971    26       17796.79       30764.02       21020.58        3205.42        1379.35
1971    27       15843.08       30462.94       24656.31        3976.97        1798.31
1971    28       13252.60       27649.82       25403.86        4508.68        2041.39
1971    29       11845.18       26111.80       26926.43        5198.54        2506.43
1971    30       10441.09       24360.60       27580.50        5908.30        2933.71
1971    31        9495.66       23014.70       27858.27        6444.97        3355.61
1971    32        8736.20       21711.02       28069.72        6880.07        3771.33
1971    33        8146.66       20953.26       28357.65        7522.15        4240.13
1971    34        7698.10       20260.82       27863.23        7955.29        4644.09
1971    35        7397.05       19756.01       27599.78        8177.74        4871.84
1971    36        7465.55       19910.18       28380.88        8873.23        5339.51
1971    37        7470.09       19656.74       28392.71        9559.65        5930.80
1971    38        7288.92       19139.35       28227.40        9931.52        6439.52
1971    39        7436.56       18988.67       28356.26       10383.72        6917.45
1971    40        8155.33       19531.94       28881.21       11075.63        7604.81
1971    41        8484.08       18884.20       27737.42       11166.93        7988.22
1971    42        8868.22       18555.74       27289.58       11524.58        8632.93
1971    43        9091.84       17801.95       26021.82       11431.16        8936.46
1971    44        9877.19       18072.44       26070.31       11831.12        9593.08
1971    45       10588.76       18521.85       26181.17       12321.48       10387.01
1971    46       10414.21       17560.02       24278.86       11916.02       10279.41
1971    47       10607.41       17369.49       23643.99       12074.89       10775.94
1971    48       11285.85       17941.39       24189.94       12545.76       11865.73
1971    49       11863.39       18424.64       24465.32       12909.49       12886.15
1971    50       11163.09       17218.05       22291.21       12028.88       12552.25
1971    51       11731.28       18067.06       23187.87       12514.96       13313.74
1971    52        6960.90       10718.11       13752.35        7421.19        7899.10
1971    53        5442.64        8380.35       10752.78        5802.53        6176.20
1971    54        5504.28        8475.27       10874.57        5868.25        6246.16
1971    55        6504.25       10014.98       12850.17        6934.35        7380.90
1972    12       68737.31           0.00           0.00           0.00           0.00
1972    13       71362.31          20.10           0.25           0.00           0.00
1972    14       74942.22         125.35           8.65           0.49           0.00
1972    15       80245.56         460.68          29.60           0.76           0.00
1972    16       88810.54        1436.58         117.07           6.93           0.00
1972    17       94405.67        3809.92         355.83          27.95           0.74
1972    18       87627.93        7929.57         837.94          87.22           7.76
1972    19       72459.45       13453.68        1819.53         220.50          28.25
1972    20       58407.43       19657.88        3514.96         446.82          78.77
1972    21       50522.17       27038.80        6342.92         826.84         198.22
1972    22       41365.45       31860.93        9691.92        1322.34         403.83
1972    23       33036.60       33413.90       12842.76        1800.38         607.90
1972    24       26982.05       33517.50       15951.63        2235.46         787.94
1972    25       21669.25       31412.32       18015.08        2642.15        1015.48
1972    26       16191.64       27002.57       18632.10        2923.71        1182.69
1972    27       15292.30       29012.87       24174.03        3869.61        1685.71
1972    28       13834.36       28528.42       27503.76        4651.80        2117.12
1972    29       11788.16       25902.10       27596.60        5114.22        2341.93
1972    30       10747.70       24541.32       28640.38        5748.18        2810.10
1972    31        9616.98       23063.39       28830.09        6407.23        3237.86
1972    32        8864.21       21999.58       28707.12        6883.78        3632.62
1972    33        8260.23       20923.69       28665.77        7211.17        4030.85
1972    34        7779.81       20342.46       28769.44        7771.96        4476.33
1972    35        7414.22       19826.93       28097.15        8152.20        4848.13
1972    36        7178.63       19434.22       27719.59        8307.21        5051.15
1972    37        7290.54       19670.86       28428.16        8968.06        5500.74
1972    38        7319.61       19513.73       28390.13        9622.74        6067.40
1972    39        7165.50       19033.38       28203.41        9958.86        6536.23
1972    40        7341.29       18908.11       28330.98       10392.96        6989.82
1972    41        8068.80       19469.39       28855.11       11074.29        7650.62
1972    42        8408.24       18830.42       27690.91       11161.02        8009.83
1972    43        8808.09       18506.03       27234.05       11509.05        8639.80
1972    44        9034.92       17747.14       25960.34       11407.89        8926.26
1972    45        9816.40       18015.94       26006.10       11800.60        9576.31
1972    46       10528.62       18463.33       26120.98       12289.51       10361.06
1972    47       10358.09       17498.93       24222.86       11883.39       10246.06
1972    48       10543.87       17302.56       23577.77       12036.09       10738.58
1972    49       11213.51       17874.01       24116.55       12505.94       11829.54
1972    50       11794.37       18363.39       24395.11       12874.74       12846.45
1972    51       11078.99       17138.12       22294.39       12033.01       12426.37
1972    52       11608.79       17947.14       23253.18       12551.06       13085.02
1972    53        6880.63       10637.43       13782.37        7439.13        7755.61
1972    54        5373.38        8307.22       10763.23        5809.53        6056.68
1972    55        5436.76        8405.21       10890.19        5878.05        6128.13
1973    12       66158.38           0.00           0.00           0.00           0.00
1973    13       68710.66          17.55           0.49           0.00           0.00
1973    14       71253.43         119.46           5.66           0.00           0.00
1973    15       74542.02         472.16          32.33           2.72           0.00
1973    16       79189.51        1391.40         113.32           7.54           0.00
1973    17       86230.84        3682.86         362.20          32.55           0.95
1973    18       89002.52        8452.50         940.04          91.58           7.19
1973    19       79420.56       14689.19        1996.33         215.06          30.49
1973    20       63006.20       20564.84        3705.21         457.85          85.11
