Hungary, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 08/03/2022
Year    ARDY   Cohort       Exposure
1950     12     1938        37494.77
1950     13     1937        71965.18
1950     14     1936        71920.19
1950     15     1935        73072.04
1950     16     1934        73125.82
1950     17     1933        75196.91
1950     18     1932        77125.07
1950     19     1931        75521.45
1950     20     1930        80941.54
1950     21     1929        76976.14
1950     22     1928        79630.75
1950     23     1927        76974.26
1950     24     1926        81030.10
1950     25     1925        83450.13
1950     26     1924        77257.51
1950     27     1923        81975.90
1950     28     1922        85696.44
1950     29     1921        83214.03
1950     30     1920        83136.44
1950     31     1919        71320.43
1950     32     1918        40578.16
1950     33     1917        40086.66
1950     34     1916        41570.67
1950     35     1915        55108.33
1950     36     1914        80708.01
1950     37     1913        78499.33
1950     38     1912        82056.17
1950     39     1911        75174.18
1950     40     1910        79269.66
1950     41     1909        75916.83
1950     42     1908        75223.51
1950     43     1907        72654.34
1950     44     1906        69014.84
1950     45     1905        65367.68
1950     46     1904        66021.00
1950     47     1903        66092.34
1950     48     1902        67425.16
1950     49     1901        62452.33
1950     50     1900        67216.68
1950     51     1899        60024.34
1950     52     1898        61850.84
1950     53     1897        60182.67
1950     54     1896        59197.51
1950     55     1895        56517.34
1951     12     1939        36348.72
1951     13     1938        73518.37
1951     14     1937        71903.12
1951     15     1936        71822.64
1951     16     1935        72973.60
1951     17     1934        73018.33
1951     18     1933        75012.20
1951     19     1932        76915.13
1951     20     1931        75351.63
1951     21     1930        80737.45
1951     22     1929        76857.47
1951     23     1928        79479.59
1951     24     1927        76835.30
1951     25     1926        80892.50
1951     26     1925        83282.39
1951     27     1924        77043.84
1951     28     1923        81742.46
1951     29     1922        85461.06
1951     30     1921        83036.53
1951     31     1920        82881.97
1951     32     1919        71204.19
1951     33     1918        40451.67
1951     34     1917        39993.00
1951     35     1916        41435.67
1951     36     1915        54947.67
1951     37     1914        80387.67
1951     38     1913        78228.17
1951     39     1912        81730.83
1951     40     1911        74943.50
1951     41     1910        78905.00
1951     42     1909        75693.83
1951     43     1908        74902.83
1951     44     1907        72329.33
1951     45     1906        68744.00
1951     46     1905        65094.67
1951     47     1904        65662.67
1951     48     1903        65721.01
1951     49     1902        66952.50
1951     50     1901        62061.67
1951     51     1900        66681.67
1951     52     1899        59647.67
1951     53     1898        61293.84
1951     54     1897        59652.00
1951     55     1896        58554.50
1952     12     1940        38014.17
1952     13     1939        71343.39
1952     14     1938        73392.25
1952     15     1937        71841.18
1952     16     1936        71723.17
1952     17     1935        72879.15
1952     18     1934        72934.84
1952     19     1933        74843.02
1952     20     1932        76726.77
1952     21     1931        75187.12
1952     22     1930        80549.62
1952     23     1929        76797.84
1952     24     1928        79334.85
1952     25     1927        76709.77
1952     26     1926        80783.10
1952     27     1925        83142.38
1952     28     1924        76840.37
1952     29     1923        81520.34
1952     30     1922        85254.21
1952     31     1921        82872.53
1952     32     1920        82639.57
1952     33     1919        71119.16
1952     34     1918        40326.00
1952     35     1917        39895.67
1952     36     1916        41314.34
1952     37     1915        54769.17
1952     38     1914        80076.33
1952     39     1913        77958.83
1952     40     1912        81404.83
1952     41     1911        74736.17
1952     42     1910        78550.00
1952     43     1909        75492.00
1952     44     1908        74612.50
1952     45     1907        71984.83
1952     46     1906        68463.67
1952     47     1905        64835.34
1952     48     1904        65296.34
1952     49     1903        65309.33
1952     50     1902        66478.33
