Hungary, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 08/03/2022
Year       MAB     MAB40
1950     27.27     26.68
1951     27.14     26.56
1952     27.16     26.61
1953     27.35     26.81
1954     27.32     26.82
1955     27.05     26.55
1956     26.69     26.25
1957     26.18     25.78
1958     26.00     25.64
1959     25.87     25.54
1960     25.77     25.46
1961     25.70     25.40
1962     25.72     25.41
1963     25.81     25.54
1964     25.71     25.45
1965     25.60     25.36
1966     25.55     25.33
1967     25.55     25.35
1968     25.53     25.34
1969     25.50     25.30
1970     25.43     25.23
1971     25.36     25.17
1972     25.31     25.11
1973     25.31     25.13
1974     25.40     25.23
1975     25.34     25.18
1976     25.09     24.94
1977     25.00     24.83
1978     24.81     24.67
1979     24.68     24.54
1980     24.65     24.51
1981     24.73     24.59
1982     24.74     24.61
1983     24.81     24.68
1984     24.83     24.71
1985     25.00     24.88
1986     25.20     25.08
1987     25.32     25.19
1988     25.41     25.28
1989     25.52     25.39
1990     25.56     25.43
1991     25.67     25.53
1992     25.78     25.63
1993     25.98     25.82
1994     26.18     26.01
1995     26.32     26.14
1996     26.46     26.28
1997     26.63     26.44
1998     26.81     26.62
1999     27.04     26.84
2000     27.28     27.07
2001     27.57     27.35
2002     27.77     27.53
2003     27.95     27.72
2004     28.21     27.96
2005     28.45     28.19
2006     28.65     28.40
2007     28.83     28.54
2008     28.91     28.62
2009     29.08     28.76
2010     29.31     28.97
2011     29.43     29.07
2012     29.41     29.04
2013     29.42     29.01
2014     29.47     29.06
2015     29.59     29.16
2016     29.54     29.10
2017     29.68     29.21
2018     29.74     29.25
2019     29.78     29.28
2020     29.83     29.33
