Hungary, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 08/03/2022
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1952     27.16     23.72     26.59     28.90     30.89     34.97     26.61     23.60     26.41     28.54     30.28     33.41
1953     27.35     23.77     26.85     29.25     31.05     34.93     26.81     23.63     26.65     28.86     30.43     33.42
1954     27.32     23.62     26.82     29.18     30.97     34.64     26.82     23.50     26.63     28.82     30.43     33.20
1955     27.05     23.38     26.79     29.16     30.99     34.62     26.55     23.27     26.61     28.81     30.38     33.07
1956     26.69     23.27     26.53     28.90     30.76     34.32     26.25     23.16     26.38     28.56     30.23     32.88
1957     26.18     23.00     26.34     28.71     30.55     34.22     25.78     22.91     26.18     28.38     30.01     32.80
1958     26.00     22.96     26.30     28.56     30.34     34.12     25.64     22.88     26.16     28.25     29.83     32.77
1959     25.87     22.90     26.23     28.36     30.16     33.92     25.54     22.82     26.09     28.09     29.69     32.62
1960     25.77     22.86     26.12     28.26     30.04     33.63     25.46     22.79     25.98     28.00     29.57     32.41
1961     25.70     22.84     26.15     28.25     29.74     33.60     25.40     22.77     26.02     28.00     29.28     32.34
1962     25.72     22.91     26.17     28.23     29.85     33.43     25.41     22.84     26.06     27.98     29.41     32.16
1963     25.81     23.01     26.37     28.39     29.90     33.21     25.54     22.94     26.26     28.14     29.45     32.12
1964     25.71     22.96     26.55     28.57     29.90     33.22     25.45     22.90     26.45     28.32     29.43     32.06
1965     25.60     22.94     26.55     28.57     30.02     32.98     25.36     22.87     26.46     28.28     29.56     31.97
1966     25.55     22.89     26.56     28.76     30.20     33.11     25.33     22.83     26.47     28.50     29.73     32.08
1967     25.55     22.87     26.58     28.86     30.22     33.20     25.35     22.82     26.50     28.63     29.82     32.15
1968     25.53     22.84     26.58     28.83     30.39     33.16     25.34     22.79     26.49     28.59     30.00     32.16
1969     25.50     22.82     26.56     28.90     30.41     33.38     25.30     22.77     26.47     28.62     29.97     32.37
1970     25.43     22.82     26.45     28.84     30.30     33.26     25.23     22.76     26.38     28.59     29.76     32.24
1971     25.36     22.74     26.39     28.69     30.33     33.27     25.17     22.69     26.31     28.45     29.86     32.29
1972     25.31     22.72     26.31     28.59     30.12     33.36     25.11     22.66     26.23     28.35     29.62     32.30
1973     25.31     22.71     26.27     28.60     30.12     33.42     25.13     22.65     26.20     28.37     29.65     32.38
1974     25.40     22.67     26.20     28.65     30.21     33.43     25.23     22.62     26.14     28.46     29.66     32.31
1975     25.34     22.53     26.23     28.70     30.25     33.23     25.18     22.49     26.17     28.50     29.76     32.10
1976     25.09     22.42     26.10     28.51     30.26     33.32     24.94     22.39     26.03     28.31     29.76     32.19
1977     25.00     22.43     25.94     28.54     30.29     33.27     24.83     22.39     25.87     28.31     29.69     31.98
1978     24.81     22.43     25.77     28.38     30.07     33.12     24.67     22.39     25.70     28.16     29.58     31.94
1979     24.68     22.42     25.64     28.19     29.76     32.91     24.54     22.38     25.58     27.94     29.26     31.74
1980     24.65     22.44     25.58     28.16     29.60     32.85     24.51     22.40     25.52     27.96     29.01     31.73
1981     24.73     22.55     25.62     28.16     29.56     32.71     24.59     22.51     25.57     27.96     29.06     31.44
1982     24.74     22.57     25.71     28.20     29.67     32.60     24.61     22.54     25.65     27.99     29.17     31.41
1983     24.81     22.66     25.82     28.26     29.51     32.47     24.68     22.63     25.76     28.02     29.03     31.40
1984     24.83     22.71     25.90     28.25     29.75     32.34     24.71     22.67     25.84     28.02     29.31     31.41
1985     25.00     22.80     25.96     28.50     29.72     32.02     24.88     22.76     25.91     28.27     29.28     31.20
1986     25.20     22.87     26.15     28.65     30.08     32.25     25.08     22.82     26.09     28.43     29.60     31.43
1987     25.32     22.95     26.23     28.84     30.25     32.24     25.19     22.90     26.17     28.59     29.82     31.43
1988     25.41     23.06     26.22     28.86     30.32     32.21     25.28     23.02     26.16     28.65     29.81     31.39
1989     25.52     23.10     26.28     28.93     30.27     32.37     25.39     23.06     26.22     28.71     29.79     31.55
1990     25.56     23.09     26.32     28.96     30.44     32.24     25.43     23.06     26.27     28.72     29.99     31.47
1991     25.67     23.19     26.41     29.15     30.51     32.34     25.53     23.14     26.34     28.91     30.07     31.57
1992     25.78     23.31     26.37     29.17     30.59     32.24     25.63     23.27     26.30     28.94     30.13     31.46
